,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Revenue,381521,245495,391343,289478,450922,254088,331194,357269,1496939,333916,425340,292803,495378,123788,140623,142022,641866,264068,129963,287938,Upgrade
1,Revenue Growth (YoY),-15.39%,-3.38%,18.16%,-18.97%,-69.88%,-23.91%,-22.13%,22.02%,202.18%,169.75%,202.47%,106.17%,-22.82%,-53.12%,8.20%,-50.68%,-53.61%,-58.95%,-91.23%,-72.35%,Upgrade
2,Cost of Revenue,311772,155074,290972,198911,319042,165597,223550,252243,958046,198562,281935,198195,379654,110162,169453,125594,496806,147755,150177,171269,Upgrade
3,Gross Profit,69750,90421,100371,90567,131880,88491,107644,105026,538894,135355,143404,94608,115723,13626,-28830,16428,145061,116313,-20215,116668,Upgrade
4,"Selling, General & Admin",16915,37466,66613,45522,84270,48603,39242,52404,235251,54454,55178,25386,76716,39571,46252,33413,94035,69693,71030,83043,Upgrade
5,Operating Expenses,16915,37466,66613,45522,84270,48603,39242,52404,235251,54454,55178,25386,76716,39571,46252,33413,94035,69693,71030,83043,Upgrade
6,Operating Income,52835,52954,33758,45044,47610,39888,68402,52622,303643,80901,88226,69222,39007,-25945,-75083,-16985,51026,46620,-91244,33625,Upgrade
7,Interest Expense,-7165,-7986,-7536,-7936,-,-11107,-18066,-24056,-32739,-30710,-31964,-31119,-49991,-33085,-31023,-33179,-23423,-30809,-37278,-42229,Upgrade
8,Interest & Investment Income,31504,10052,12116,27126,19841,11022,2146,6936,-,11898,7591,7250,4193,11074,7179,8988,8971,19328,18122,19480,Upgrade
9,Currency Exchange Gain (Loss),29.06,437.19,494.8,55.28,1113,23.11,533.68,-23.63,634.9,2.39,51.98,-36.81,120.36,-37.46,83.5,-0,1465,191.07,352.97,-,Upgrade
10,Other Non Operating Income (Expenses),4050,4122,-1792,-5645,-10844,307.8,-3989,2582,-17612,2482,-4280,1795,-4278,353.72,-2549,15250,-26685,-1364,-47.09,620.83,Upgrade
11,EBT Excluding Unusual Items,81253,59579,37040,58644,57720,40133,49026,38060,253926,64573,59624,47112,-10948,-47639,-101392,-25926,11354,33966,-110095,11497,Upgrade
12,Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-150.61,150.61,-,-,-,-,-,31.3,-,-,-,-,-,-,Upgrade
13,Gain (Loss) on Sale of Assets,-,-,-,-,-,-,-,-,14532,-,13727,-,297199,-,933.35,-,28905,-,-,-,Upgrade
14,Other Unusual Items,-,-,4972,-,7020,-,5921,-,13539,-,6619,-,3498,-,3176,-,6630,-,2512,-,Upgrade
15,Pretax Income,81253,59579,42012,58644,64740,40133,54797,38211,281997,64573,79971,47112,289749,-47607,-97283,-25926,46889,33966,-107583,11497,Upgrade
16,Income Tax Expense,13493,10750,24058,23332,32767,11931,18447,13538,82671,22866,36040,21460,-16013,11225,29426,12154,47470,26670,4577,9354,Upgrade
17,Earnings From Continuing Operations,67760,48829,17954,35312,31973,28202,36350,24673,199325,41707,43931,25652,305761,-58832,-126709,-38080,-580.38,7296,-112160,2143,Upgrade
18,Minority Interest in Earnings,-1733,-4617,26025,839.26,12114,9126,4242,4083,-10214,-13853,-17140,9499,-84048,24610,50919,19530,-26887,8680,48670,5675,Upgrade
19,Net Income,66027,44212,43979,36151,44087,37329,40592,28756,189111,27855,26791,35151,221713,-34223,-75790,-18550,-27468,15976,-63490,7818,Upgrade
20,Preferred Dividends & Other Adjustments,-,-,-,-,-,-,-,-,27165,-,-,-,8925,-,-,-,-,-,-,-,Upgrade
21,Net Income to Common,66027,44212,43979,36151,44087,37329,40592,28756,161946,27855,26791,35151,212788,-34223,-75790,-18550,-27468,15976,-63490,7818,Upgrade
22,Net Income Growth,49.76%,18.44%,8.34%,25.72%,-76.69%,34.01%,51.51%,-18.19%,-14.70%,-,-,-,-,-,-,-,-,-59.35%,-,-90.34%,Upgrade
23,Shares Outstanding (Basic),540,540,540,540,540,-,270,270,270,270,270,270,270,270,270,270,270,270,270,270,Upgrade
24,Shares Outstanding (Diluted),540,540,540,540,540,-,270,270,270,270,270,270,270,270,270,270,270,270,270,270,Upgrade
25,Shares Change (YoY),-0.00%,-,100.00%,100.00%,100.00%,-,-,-,-,-,-,-,-,-,-,-,-,-,66.67%,-,Upgrade
26,EPS (Basic),122.18,81.81,81.38,66.90,81.58,-,150.22,106.42,599.34,103.09,99.15,130.09,787.50,-126.65,-280.49,-68.65,-101.65,59.12,-234.97,28.93,Upgrade
27,EPS (Diluted),122.18,81.81,81.38,66.90,81.58,-,150.22,106.42,599.34,103.09,99.15,130.09,787.50,-126.65,-280.49,-68.65,-101.65,59.12,-234.97,28.93,Upgrade
28,EPS Growth,49.77%,-,-45.83%,-37.14%,-86.39%,-,51.51%,-18.19%,-23.89%,-,-,-,-,-,-,-,-,-,-,-,Upgrade
29,Free Cash Flow,93211,-88026,-165824,-317567,-435867,-249374,679868,-357875,240329,76519,90834,-58451,-6229,-42141,-18166,-130494,92364,-57714,-195144,-143366,Upgrade
30,Free Cash Flow Per Share,172.48,-162.89,-306.85,-587.64,-806.54,-,2516.10,-1324.45,889.42,283.19,336.17,-216.32,-23.05,-155.96,-67.23,-482.94,341.83,-213.59,-722.20,-530.58,Upgrade
31,Gross Margin,18.28%,36.83%,25.65%,31.29%,29.25%,34.83%,32.50%,29.40%,36.00%,40.54%,33.72%,32.31%,23.36%,11.01%,-20.50%,11.57%,22.60%,44.05%,-15.55%,40.52%,Upgrade
32,Operating Margin,13.85%,21.57%,8.63%,15.56%,10.56%,15.70%,20.65%,14.73%,20.28%,24.23%,20.74%,23.64%,7.87%,-20.96%,-53.39%,-11.96%,7.95%,17.65%,-70.21%,11.68%,Upgrade
33,Profit Margin,17.31%,18.01%,11.24%,12.49%,9.78%,14.69%,12.26%,8.05%,10.82%,8.34%,6.30%,12.00%,42.95%,-27.65%,-53.90%,-13.06%,-4.28%,6.05%,-48.85%,2.72%,Upgrade
34,Free Cash Flow Margin,24.43%,-35.86%,-42.37%,-109.70%,-96.66%,-98.14%,205.28%,-100.17%,16.05%,22.92%,21.36%,-19.96%,-1.26%,-34.04%,-12.92%,-91.88%,14.39%,-21.86%,-150.15%,-49.79%,Upgrade
35,EBITDA,81908,82252,61504,68228,70888,64796,93388,76123,328858,106322,113671,94726,77740,-922.73,-39337,12226,80418,81315,-56351,68493,Upgrade
36,EBITDA Margin,21.47%,33.50%,15.72%,23.57%,15.72%,25.50%,28.20%,21.31%,21.97%,31.84%,26.72%,32.35%,15.69%,-0.75%,-27.97%,8.61%,12.53%,30.79%,-43.36%,23.79%,Upgrade
37,D&A For EBITDA,29072,29298,27746,23184,23278,24909,24987,23501,25215,25421,25445,25504,38733,25022,35746,29211,29392,34696,34894,34867,Upgrade
38,EBIT,52835,52954,33758,45044,47610,39888,68402,52622,303643,80901,88226,69222,39007,-25945,-75083,-16985,51026,46620,-91244,33625,Upgrade
39,EBIT Margin,13.85%,21.57%,8.63%,15.56%,10.56%,15.70%,20.65%,14.73%,20.28%,24.23%,20.74%,23.64%,7.87%,-20.96%,-53.39%,-11.96%,7.95%,17.65%,-70.21%,11.68%,Upgrade
40,Effective Tax Rate,16.61%,18.04%,57.26%,39.79%,50.61%,29.73%,33.66%,35.43%,29.32%,35.41%,45.07%,45.55%,-,-,-,-,101.24%,78.52%,-,81.36%,Upgrade
41,Revenue as Reported,381521,245495,391343,289478,450922,254088,331194,357269,1496939,333916,425340,292803,495378,123788,140623,142022,641866,264068,129963,287938,Upgrade
