,Fiscal Quarter,Q4 2024,Q4 2023
,Period Ending,"Dec '24 Dec 31, 2024","Dec '23 Dec 31, 2023"
0,Revenue,83747,82454
1,Cost of Revenue,74648,67612
2,Gross Profit,9099,14842
3,"Selling, General & Admin",7790,9885
4,Operating Expenses,7790,9885
5,Operating Income,1310,4957
6,Interest Expense,-199.08,-153.74
7,Interest & Investment Income,1385,756.38
8,Other Non Operating Income (Expenses),-2073,-598.74
9,Pretax Income,422.7,4961
10,Income Tax Expense,84.54,992.27
11,Net Income,338.16,3969
12,Net Income to Common,338.16,3969
13,Shares Outstanding (Basic),4,4
14,Shares Outstanding (Diluted),4,4
15,EPS (Basic),83.00,972.00
16,EPS (Diluted),83.00,972.00
17,Gross Margin,10.87%,18.00%
18,Operating Margin,1.56%,6.01%
19,Profit Margin,0.40%,4.81%
20,EBITDA,2302,-
21,EBITDA Margin,2.75%,-
22,D&A For EBITDA,992.22,-
23,EBIT,1310,4957
24,EBIT Margin,1.56%,6.01%
25,Effective Tax Rate,20.00%,20.00%
26,Revenue as Reported,83747,82454
