,Fiscal Quarter,Current,Q4 2024,Q4 2023
,Period Ending,"Mar '25 Mar 7, 2025","Dec '24 Dec 31, 2024","Dec '23 Dec 31, 2023"
0,Market Capitalization,75915,73466,68977
1,Last Close Price,18600.00,18000.00,15430.43
2,PE Ratio,8.30,17.06,17.38
3,PS Ratio,0.40,0.44,0.84
4,PB Ratio,0.89,0.86,0.81
5,P/TBV Ratio,0.86,0.86,0.81
6,Debt / Equity Ratio,0.07,0.07,0.09
7,Debt / EBITDA Ratio,0.34,0.66,-
8,Quick Ratio,2.31,2.31,2.04
9,Current Ratio,2.76,2.76,2.41
10,Return on Capital Employed (ROCE),16.32%,7.36%,5.80%
11,Earnings Yield,12.05%,5.86%,5.75%
