,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Market Capitalization,938965,1017524,1051192,1036229,947711,885362,966416,978913,830497,932712,1584332,1413141,2610167,2872552,1647326,1346165,744760,579019,486462,504300,469450,Upgrade
1,Market Cap Growth,14.93%,14.93%,8.77%,5.86%,14.11%,-5.08%,-39.00%,-30.73%,-68.18%,-67.53%,-3.82%,4.98%,250.47%,396.11%,238.63%,166.94%,58.65%,-11.73%,42.09%,42.20%,37.13%,Upgrade
2,Enterprise Value,1454509,1553329,1566430,1491704,1403186,1280849,1298651,1319794,1087951,1190166,1817447,1776142,3028273,3322094,2455249,1857272,1001504,834142,740980,729746,548216,Upgrade
3,Last Close Price,25100.00,27200.00,28100.00,27700.00,25333.33,23666.67,25833.33,26166.67,22199.45,24931.69,42349.73,37773.22,69769.71,76783.27,44032.98,35982.63,19907.24,15477.02,13003.00,13479.72,12548.19,Upgrade
4,PE Ratio,61.37,68.78,30.18,23.30,19.59,15.09,20.32,7.29,3.70,3.65,5.61,7.52,28.55,58.91,28.13,26.08,16.30,13.60,-99.69,-,-,Upgrade
5,PS Ratio,1.46,1.67,1.52,1.86,1.75,1.62,1.84,0.93,0.55,0.54,0.82,0.99,2.82,4.04,5.40,5.65,3.47,3.59,1.66,1.61,1.09,Upgrade
6,PB Ratio,0.94,1.19,1.24,1.23,1.13,1.05,1.20,1.25,1.01,1.17,2.03,-,-,6.77,4.40,3.65,2.02,1.44,1.51,1.56,1.44,Upgrade
7,P/TBV Ratio,1.68,1.68,1.73,1.66,1.53,1.43,1.62,1.54,1.38,1.58,2.83,-,-,8.16,5.24,4.38,2.42,1.83,1.86,1.90,1.74,Upgrade
8,P/FCF Ratio,-,-22.81,-,-,-,-,-,-,-,-,-,2.18,11.06,-,-7.05,-,-,-,-,-,-,Upgrade
