,Fiscal Quarter,Current,Q4 2024,Q4 2023,Q2 2016,Q1 2016
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Dec '23 Dec 31, 2023","Jun '16 Jun 30, 2016","Mar '16 Mar 31, 2016"
0,Market Capitalization,454773,350755,54428,-,-
1,Enterprise Value,447494,350382,54054,-,-
2,Last Close Price,37600.00,29000.00,4500.00,-,-
3,PE Ratio,1166.46,74.90,11.91,-,-
4,PS Ratio,9.29,2.49,0.44,-,-
5,PB Ratio,2.36,2.36,0.37,-,-
6,P/TBV Ratio,2.36,2.36,0.37,-,-
7,EV/Sales Ratio,11.85,2.48,0.43,-,-
8,EV/EBIT Ratio,1093.01,-,9.89,-,-
9,Debt / Equity Ratio,-,-,-,0.08,-
10,Debt / EBITDA Ratio,-,-,-,0.67,-
11,Debt / FCF Ratio,-,-,-,5.20,-
12,Quick Ratio,7.49,7.49,3.52,2.46,-
13,Current Ratio,13.45,13.45,4.28,9.25,-
14,Return on Capital Employed (ROCE),0.22%,-,3.69%,4.60%,-
15,Earnings Yield,0.09%,1.34%,8.40%,-,-
