,Fiscal Quarter,Q4 2024,Q3 2024,Q4 2023,Q3 2023,Q4 2019,Q4 2018,Q4 2016,Q4 2015,Q2 2014,Q1 2014,Q2 2013,Q1 2013
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Dec '19 Dec 31, 2019","Dec '18 Dec 31, 2018","Dec '16 Dec 31, 2016","Dec '15 Dec 31, 2015","Jun '14 Jun 30, 2014","Mar '14 Mar 31, 2014","Jun '13 Jun 30, 2013","Mar '13 Mar 31, 2013"
0,Cash & Equivalents,16223,25354,26626,-,197991,86496,14462,35399,20395,20395,-,-
1,Short-Term Investments,-,25431,7000,-,-,-,44567,51870,77400,77400,-,-
2,Trading Asset Securities,32617,-,13246,-,-,-,-,-,-,-,-,-
3,Cash & Short-Term Investments,48840,50785,46871,-,197991,86496,59029,87269,97795,97795,-,-
4,Cash Growth,-75.33%,-41.29%,-20.60%,-,102.46%,-11.55%,-,-,-,-,-,-
5,Accounts Receivable,8372,3826,16666,-,50424,43317,21116,33171,29540,29540,-,-
6,Other Receivables,115695,120633,113457,-,34244,17177,13265,4417,4409,4409,-,-
7,Receivables,141787,124460,131723,-,84668,60494,34381,37588,33950,33950,-,-
8,Inventory,43686,49471,39772,-,238011,345140,77739,15375,5354,5354,-,-
9,Prepaid Expenses,393.29,413.26,87.54,-,-,-,-,-,-,-,-,-
10,Other Current Assets,34465,28527,34878,-,67199,45163,18470,269.31,20280,20280,-,-
11,Total Current Assets,269172,253655,253332,-,587869,537294,189619,140501,157379,157379,-,-
12,"Property, Plant & Equipment",3566,3586,3703,-,4944,1564,5202,114.41,363.02,363.02,-,-
13,Long-Term Investments,-,-,-,-,-,-,-,18346,5000,5000,-,-
14,Other Long-Term Assets,91829,92364,93968,-,48841,10111,1022,4300,6369,6369,-,-
15,Total Assets,364567,349605,351003,-,641655,548968,195844,163262,169111,169111,-,-
16,Accounts Payable,18461,16125,4520,-,12968,13027,5343,9809,4450,4450,-,-
17,Accrued Expenses,65337,66322,70616,-,71750,52783,52066,53039,55066,55066,-,-
18,Short-Term Debt,15360,6100,10907,-,17822,50391,-,-,-,-,-,-
19,Current Income Taxes Payable,-,135.64,-,-,4892,4580,799.6,1008,433.78,433.78,-,-
20,Current Unearned Revenue,30753,692.43,26497,-,-,-,-,-,-,-,-,-
21,Other Current Liabilities,25060,51581,32439,-,339677,217926,20665,9708,20526,20526,-,-
22,Total Current Liabilities,154971,140956,144978,-,447109,338707,78874,73564,80476,80476,-,-
23,Long-Term Debt,-,-,-,-,61562,48966,-,-,-,-,-,-
24,Other Long-Term Liabilities,20514,20472,19950,-,24626,67280,19903,11666,981.79,981.79,-,-
25,Total Liabilities,175485,161429,164928,-,533297,454953,98777,85230,81458,81458,-,-
26,Common Stock,73381,73381,65520,-,65520,65520,65520,43680,43680,43680,-,-
27,Retained Earnings,108517,107611,113371,-,40719,27733,31547,34352,43973,43973,-,-
28,Comprehensive Income & Other,7184,7184,7184,-,2119,763.13,-,-,-,-,-,-
29,Shareholders' Equity,189082,188176,186075,-,108358,94016,97067,78031,87653,87653,-,-
30,Total Liabilities & Equity,364567,349605,351003,-,641655,548968,195844,163262,169111,169111,-,-
31,Total Debt,15360,6100,10907,-,79383,99357,-,-,-,-,-,-
32,Net Cash (Debt),33480,44685,35965,-,118608,-12861,59029,87269,97795,97795,-,-
33,Net Cash Growth,-71.77%,-,-39.07%,-,21.28%,-,-,-,-,-,-,-
34,Net Cash Per Share,3490.69,6057.62,5490.59,-,13383.61,-2088.73,6677.10,13595.26,19963.08,19963.08,-,-
35,Filing Date Shares Outstanding,7.34,7.38,6.55,6.49,8.86,6.16,8.84,6.42,4.9,4.9,4.08,4.08
36,Total Common Shares Outstanding,7.34,7.38,6.55,6.49,8.86,6.16,8.84,6.42,4.9,4.9,4.08,4.08
37,Working Capital,114201,112699,108354,-,140760,198586,110745,66937,76903,76903,-,-
38,Book Value Per Share,25767.04,25509.85,28407.23,-,12227.01,15268.73,10979.87,12156.18,17892.85,17892.85,-,-
39,Tangible Book Value,189082,188176,186075,-,108358,94016,97067,78031,87653,87653,-,-
40,Tangible Book Value Per Share,25767.04,25509.85,28407.23,-,12227.01,15268.73,10979.87,12156.18,17892.85,17892.85,-,-
41,Buildings,5362,-,5362,-,-,-,-,-,-,-,-,-
42,Machinery,1376,-,1376,-,-,-,-,-,-,-,-,-
