,Fiscal Quarter,Q4 2024,Q3 2024,Q4 2023,Q3 2023,Q1 2020,Q4 2019,Q1 2019,Q4 2018,Q4 2017,Q4 2016,Q4 2015,Q4 2014
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Mar '19 Mar 31, 2019","Dec '18 Dec 31, 2018","Dec '17 Dec 31, 2017","Dec '16 Dec 31, 2016","Dec '15 Dec 31, 2015","Dec '14 Dec 31, 2014"
0,Cash & Equivalents,68204,13650,-,-,3150,26379,-,17397,14990,11459,10152,-
1,Short-Term Investments,12000,16088,-,-,6013,4253,-,258,408.55,408.55,340.5,-
2,Trading Asset Securities,4084,-,-,-,-,-,-,-,-,-,-,-
3,Cash & Short-Term Investments,84287,29738,-,-,9163,30631,17655,17655,15398,11868,10493,-
4,Cash Growth,819.90%,-2.92%,-,-,-40.50%,158.10%,68.26%,-,-,-,-,-
5,Accounts Receivable,30315,134107,-,-,12250,4748,-,11293,12587,13795,9859,-
6,Other Receivables,1138,420.94,-,-,1415,1355,-,969.83,1728,1209,632.47,-
7,Receivables,31453,134528,-,-,13665,6103,-,12263,14315,15004,10491,-
8,Inventory,21697,14576,-,-,61341,38824,-,22789,25564,25301,34497,-
9,Prepaid Expenses,978.68,993.03,-,-,6139,3652,-,2137,2065,2135,2120,-
10,Other Current Assets,1430,1667,-,-,526.65,790.41,-,5817,5312,2566,5751,-
11,Total Current Assets,139846,181502,-,-,90834,80000,-,60661,62654,56874,63352,-
12,"Property, Plant & Equipment",8477,8869,-,-,11208,11494,-,11161,10665,11453,12003,-
13,Long-Term Investments,6800,6800,-,-,11970,11815,-,13581,13070,21677,9003,-
14,Other Intangible Assets,7829,7833,-,-,8003,8015,-,7800,7814,7831,7848,-
15,Other Long-Term Assets,288.74,184.54,-,-,560.94,513.26,-,582.47,651.67,720.87,790.08,-
16,Total Assets,163240,205188,-,-,122577,111837,-,93786,94855,98556,92995,-
17,Accounts Payable,26235,61681,-,-,27048,9233,-,6227,3321,9239,3842,-
18,Accrued Expenses,37165,44298,-,-,2276,7244,-,5596,5255,4849,5200,-
19,Short-Term Debt,-,-,-,-,15732,10000,-,-,4747,5073,6945,-
20,Current Income Taxes Payable,1063,179.75,-,-,129.43,704.38,-,216.26,284.31,132.54,153.09,-
21,Current Unearned Revenue,-,-,-,-,26.45,26.45,-,26.45,24.72,24.72,-,-
22,Other Current Liabilities,1476,1485,-,-,510.72,1151,-,2091,3018,8989,9373,-
23,Total Current Liabilities,65939,107644,-,-,45722,28359,-,14157,16650,28307,25513,-
24,Long-Term Unearned Revenue,-,-,-,-,-,-,-,-,-,-,24,-
25,Total Liabilities,65939,107644,-,-,45722,28359,-,14157,16650,28307,25537,-
26,Common Stock,50000,50000,-,-,50000,50000,-,50000,50000,50000,50000,-
27,Retained Earnings,50209,50452,-,-,29762,36386,-,32536,31113,23156,20366,-
28,Treasury Stock,-2907,-2907,-,-,-2907,-2907,-,-2907,-2907,-2907,-2907,-
29,Shareholders' Equity,97301,97545,-,-,76855,83478,79629,79629,78205,70249,67459,-
30,Total Liabilities & Equity,163240,205188,-,-,122577,111837,-,93786,94855,98556,92995,-
31,Total Debt,-,-,-,-,15732,10000,-,-,4747,5073,6945,-
32,Net Cash (Debt),84287,29738,-,-,-6569,20631,17655,17655,10651,6795,3548,-
33,Net Cash Growth,-,44.14%,-,-,-,203.61%,397.57%,-,-,-,-,-
34,Net Cash Per Share,18090.52,7214.28,-,-,-639.30,3670.27,2426.43,3227.63,1828.66,1239.78,758.39,-
35,Filing Date Shares Outstanding,4.66,4.12,4.66,6.21,10.28,5.62,7.28,5.47,5.82,5.48,4.68,3.67
36,Total Common Shares Outstanding,4.66,4.12,4.66,6.21,10.28,5.62,7.28,5.47,5.82,5.48,4.68,3.67
37,Working Capital,73907,73859,-,-,45112,51641,-,46504,46004,28567,37839,-
38,Book Value Per Share,20883.72,23663.83,-,-,7479.03,14850.75,14557.22,14557.22,13426.41,12816.53,14418.06,-
39,Tangible Book Value,89472,89711,-,-,68852,75464,71829,71829,70391,62418,59611,-
40,Tangible Book Value Per Share,19203.35,21763.50,-,-,6700.21,13424.95,13131.27,13131.27,12084.88,11387.80,12740.68,-
