,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Revenue,2655232,2214493,2257724,1770997,2278335,1811661,2007266,1482149,2660809,1653960,2018869,1359212,2834481,1374752,1172843,855344,964638,797356,757587,769074,Upgrade
1,Revenue Growth (YoY),16.54%,22.24%,12.48%,19.49%,-14.37%,9.53%,-0.57%,9.04%,-6.13%,20.31%,72.13%,58.91%,193.84%,72.41%,54.81%,11.22%,23.88%,3.39%,6.78%,42.48%,Upgrade
2,Cost of Revenue,2263437,1845388,1844287,1440993,1932509,1454532,1708139,1162268,2331314,1287855,1741287,1047340,2508398,1102030,985116,654383,811213,643941,636583,622617,Upgrade
3,Gross Profit,391795,369104,413437,330004,345826,357130,299126,319881,329495,366105,277582,311872,326083,272722,187726,200961,153425,153415,121004,146456,Upgrade
4,"Selling, General & Admin",278610,248766,258288,213113,272741,224169,228784,192948,225511,218191,255263,180030,249832,170143,170120,136947,143329,115609,119587,89524,Upgrade
5,Operating Expenses,278610,248766,258288,213113,272741,224169,228784,192948,225511,218191,255263,180030,249832,170143,170120,136947,143329,115609,119587,89524,Upgrade
6,Operating Income,113184,120338,155149,116891,73085,132960,70342,126933,103984,147914,22319,131842,76251,102580,17606,64014,10095,37806,1416,56932,Upgrade
7,Interest Expense,-111942,-114567,-156872,-165319,-139137,-164357,-186541,-168284,-147088,-159700,-168205,-144354,-168240,-125625,-131469,-97146,-97998,-69358,-79585,-66004,Upgrade
8,Interest & Investment Income,80624,74135,61755,65925,95357,59756,101524,43615,72590,40305,73367,23902,33313,25077,31958,8439,5647,23727,28872,8007,Upgrade
9,Earnings From Equity Investments,23488,29608,35449,7448,1284,1835,-810.63,3105,2101,4137,1227,4645,2273,7938,-4319,5703,7236,7972,-383.97,6761,Upgrade
10,Currency Exchange Gain (Loss),968.79,2089,-6738,-875.15,2341,-360.08,-2026,2988,-4678,-1640,-1290,-201.23,-3266,697.56,-1351,-542.61,-696.15,-484.94,-430.53,-29.48,Upgrade
11,Other Non Operating Income (Expenses),-209486,-21667,-23787,-13184,-36563,-18147,-79563,-8214,-62155,-4077,357.23,-5513,32644,1149,-4821,-99.78,-1518,-3180,-2045,663.59,Upgrade
12,EBT Excluding Unusual Items,-103162,89935,64956,10885,-3634,11687,-97074,143.38,-35245,26939,-72225,10321,-27025,11817,-92395,-19632,-77235,-3518,-52155,6329,Upgrade
13,Gain (Loss) on Sale of Investments,163454,-,2639,-,-1784,19068,253236,7048,125659,159,115392,184.81,45530,453.39,23279,27401,74761,8599,75602,-,Upgrade
14,Gain (Loss) on Sale of Assets,-,-,-,-,-,-,-,-,-,-,-,-,492.65,-,-,-,582.31,-,-,-,Upgrade
15,Other Unusual Items,-,-,-,-,-,-,-,-,-,-,-,-,-,-,73555,-,-,-,-,-,Upgrade
16,Pretax Income,60291,89935,67596,10885,-5417,30756,156161,7191,90414,27098,43167,10506,18997,12271,4439,7768,-1891,5081,23446,6329,Upgrade
17,Income Tax Expense,-9101,22641,17760,4809,6153,16571,32486,5545,38511,9706,22639,5477,4217,9632,2362,4519,-431.04,3074,274.86,2962,Upgrade
18,Earnings From Continuing Operations,69393,67294,49836,6076,-11571,14184,123675,1646,51903,17392,20528,5029,14781,2639,2077,3250,-1460,2007,23171,3367,Upgrade
19,Minority Interest in Earnings,-67793,-43566,-32100,-5468,1708,-12229,-75867,-1091,-52441,-14768,-20036,-3220,-8988,-1473,-1956,-1986,11971,698.1,-23101,-3321,Upgrade
20,Net Income,1600,23727,17737,608.27,-9863,1955,47808,554.55,-537.96,2624,491.8,1808,5792,1166,120.64,1264,10510,2705,70.76,46.31,Upgrade
21,Preferred Dividends & Other Adjustments,-,-,-,-,-,-,-,-,-,-,-,-,409.81,-,-,-,21.79,-,-,-,Upgrade
22,Net Income to Common,1600,23727,17737,608.27,-9863,1955,47808,554.55,-537.96,2624,491.8,1808,5383,1166,120.64,1264,10489,2705,70.76,46.31,Upgrade
23,Net Income Growth,-,1113.50%,-62.90%,9.69%,-,-25.50%,9621.16%,-69.34%,-,125.13%,307.65%,43.05%,-44.89%,-56.91%,70.51%,2630.02%,40.03%,-52.38%,-96.09%,-99.24%,Upgrade
24,Shares Outstanding (Basic),141,139,119,119,121,119,119,119,119,119,123,121,109,109,111,105,101,100,100,100,Upgrade
25,Shares Outstanding (Diluted),141,139,119,119,121,119,119,119,119,119,123,121,109,109,111,105,101,100,100,100,Upgrade
26,Shares Change (YoY),16.06%,17.14%,0.33%,-,2.15%,-,-3.29%,-1.37%,8.86%,8.94%,10.72%,14.44%,8.06%,9.15%,11.04%,5.34%,1.09%,0.01%,0.00%,0.00%,Upgrade
27,EPS (Basic),11.35,170.35,148.68,5.12,-81.20,16.44,402.08,4.66,-4.52,22.07,4.00,15.00,49.28,10.68,1.09,12.00,103.75,27.05,0.71,0.46,Upgrade
28,EPS (Diluted),11.00,170.00,148.68,5.12,-81.28,16.00,402.00,4.66,-4.52,22.00,4.00,15.00,49.28,10.68,1.09,12.00,103.75,27.00,0.71,-,Upgrade
29,EPS Growth,-,962.50%,-63.02%,9.69%,-,-27.27%,9950.00%,-68.91%,-,105.99%,268.18%,25.00%,-52.51%,-60.44%,53.56%,-,72.93%,-52.47%,-96.07%,-,Upgrade
30,Free Cash Flow,554842,-211665,-28135,-201402,1129173,-23263,-365471,-538702,-103455,-187010,-746975,-374670,-70320,-135190,-540888,219849,-296702,28436,-8496,71253,Upgrade
31,Free Cash Flow Per Share,3936.00,-1519.63,-235.84,-1693.73,9296.52,-195.64,-3073.74,-4530.34,-870.03,-1572.70,-6075.50,-3107.60,-643.74,-1238.52,-4870.88,2086.85,-2934.97,284.33,-84.95,712.47,Upgrade
32,Gross Margin,14.76%,16.67%,18.31%,18.63%,15.18%,19.71%,14.90%,21.58%,12.38%,22.13%,13.75%,22.95%,11.50%,19.84%,16.01%,23.49%,15.90%,19.24%,15.97%,19.04%,Upgrade
33,Operating Margin,4.26%,5.43%,6.87%,6.60%,3.21%,7.34%,3.50%,8.56%,3.91%,8.94%,1.11%,9.70%,2.69%,7.46%,1.50%,7.48%,1.05%,4.74%,0.19%,7.40%,Upgrade
34,Profit Margin,0.06%,1.07%,0.79%,0.03%,-0.43%,0.11%,2.38%,0.04%,-0.02%,0.16%,0.02%,0.13%,0.19%,0.08%,0.01%,0.15%,1.09%,0.34%,0.01%,0.01%,Upgrade
35,Free Cash Flow Margin,20.90%,-9.56%,-1.25%,-11.37%,49.56%,-1.28%,-18.21%,-36.35%,-3.89%,-11.31%,-37.00%,-27.57%,-2.48%,-9.83%,-46.12%,25.70%,-30.76%,3.57%,-1.12%,9.26%,Upgrade
36,EBITDA,297465,298139,348253,279289,226211,293589,263430,275065,297206,280652,228899,253590,314445,254143,175374,125139,128220,106189,102263,107895,Upgrade
37,EBITDA Margin,11.20%,13.46%,15.42%,15.77%,9.93%,16.21%,13.12%,18.56%,11.17%,16.97%,11.34%,18.66%,11.09%,18.49%,14.95%,14.63%,13.29%,13.32%,13.50%,14.03%,Upgrade
38,D&A For EBITDA,184280,177801,193104,162398,153127,160629,193087,148132,193222,132738,206580,121748,238194,151563,157768,61125,118124,68383,100847,50964,Upgrade
39,EBIT,113184,120338,155149,116891,73085,132960,70342,126933,103984,147914,22319,131842,76251,102580,17606,64014,10095,37806,1416,56932,Upgrade
40,EBIT Margin,4.26%,5.43%,6.87%,6.60%,3.21%,7.34%,3.50%,8.56%,3.91%,8.94%,1.11%,9.70%,2.69%,7.46%,1.50%,7.48%,1.05%,4.74%,0.19%,7.40%,Upgrade
41,Effective Tax Rate,-,25.18%,26.27%,44.18%,-,53.88%,20.80%,77.11%,42.59%,35.82%,52.44%,52.13%,22.20%,78.49%,53.21%,58.16%,-,60.50%,1.17%,46.80%,Upgrade
42,Revenue as Reported,2655232,2214493,2257724,1770997,2278335,1811661,2007266,1482149,2660809,1653960,2018869,1359212,2834481,1374752,1172843,855344,964638,797356,757587,769074,Upgrade
