,Fiscal Quarter,Q4 2024,Q4 2023
,Period Ending,"Dec '24 Dec 31, 2024","Dec '23 Dec 31, 2023"
0,Revenue,39658,42245
1,Cost of Revenue,39460,39262
2,Gross Profit,198.89,2982
3,"Selling, General & Admin",2158,2250
4,Operating Expenses,2158,2250
5,Operating Income,-1959,732.46
6,Interest Expense,-2851,-3986
7,Interest & Investment Income,27.46,119.34
8,Other Non Operating Income (Expenses),-2320,-3257
9,Pretax Income,-7102,-6391
10,Net Income,-7102,-6391
11,Net Income to Common,-7102,-6391
12,Shares Outstanding (Basic),10,10
13,Shares Outstanding (Diluted),10,10
14,EPS (Basic),-710.00,-639.00
15,EPS (Diluted),-710.00,-639.00
16,Free Cash Flow,-1312,-7053
17,Free Cash Flow Per Share,-131.12,-705.23
18,Gross Margin,0.50%,7.06%
19,Operating Margin,-4.94%,1.73%
20,Profit Margin,-17.91%,-15.13%
21,Free Cash Flow Margin,-3.31%,-16.70%
22,EBITDA,2853,6122
23,EBITDA Margin,7.19%,14.49%
24,D&A For EBITDA,4812,5390
25,EBIT,-1959,732.46
26,EBIT Margin,-4.94%,1.73%
27,Revenue as Reported,39658,42245
