,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q3 2021,Q2 2021,Q1 2021,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,+20 Quarters
,Period Ending,"Mar '25 Mar 10, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019",+20 Quarters
0,Market Capitalization,423000,402000,412500,387000,370500,315000,313500,330000,313500,328500,321000,309000,349500,366000,247500,260981,183000,163500,169500,210000,223500,Upgrade
1,Market Cap Growth,27.62%,27.62%,31.58%,17.27%,18.18%,-4.11%,-2.34%,6.80%,-10.30%,-10.25%,29.70%,18.40%,90.98%,123.85%,46.02%,24.28%,-18.12%,-14.17%,-15.04%,0%,12.03%,Upgrade
2,Enterprise Value,-21742,223907,342742,-19213,-35713,141335,214765,212609,121821,100296,182716,251338,148869,240108,206248,172972,214385,269847,151910,146807,252988,Upgrade
3,Last Close Price,28200.00,26800.00,27500.00,25800.00,23300.00,19809.72,19715.38,20753.04,18510.08,19395.73,18952.90,18244.38,20635.64,20529.36,13882.56,14639.79,9548.54,8531.07,8844.14,9894.31,10530.38,Upgrade
4,PE Ratio,5.63,4.34,4.34,3.99,4.11,4.33,4.06,4.41,4.14,4.41,5.00,4.16,7.76,6.42,3.35,5.91,4.07,4.04,3.84,4.63,5.12,Upgrade
5,PS Ratio,0.37,0.28,0.28,0.25,0.27,0.30,0.29,0.33,0.32,0.32,0.27,0.27,0.43,0.37,0.23,0.35,0.28,0.28,0.28,0.33,0.33,Upgrade
6,PB Ratio,0.92,0.87,0.90,0.89,0.89,0.75,-,0.85,0.87,0.87,0.87,0.89,1.11,1.10,0.77,0.89,0.60,0.56,0.64,0.74,0.79,Upgrade
7,P/TBV Ratio,0.88,0.88,0.90,0.89,0.89,0.76,-,0.85,0.88,0.88,0.88,0.90,1.12,1.11,0.77,0.91,0.61,0.57,0.66,0.76,0.81,Upgrade
8,P/FCF Ratio,8.75,8.32,-1.92,-,-,-,-6.17,-,-,-,2.34,2.33,-,1.91,1.31,-,6.90,13.67,-,-,2.14,Upgrade
9,P/OCF Ratio,7.75,7.75,-1.96,-,-,-,-6.20,-,-,-,2.30,2.33,-,1.91,1.31,-,6.90,13.67,-,-,2.14,Upgrade
10,EV/Sales Ratio,0.20,0.15,0.23,-,-,0.13,0.20,0.21,0.13,0.10,0.16,0.22,0.18,0.24,0.19,0.23,0.33,0.46,0.26,0.23,0.38,Upgrade
11,EV/EBITDA Ratio,2.52,1.99,3.01,-,-,1.66,2.31,2.36,1.53,1.26,2.64,2.81,2.33,2.90,1.86,2.44,2.95,4.15,2.17,2.04,3.63,Upgrade
12,EV/EBIT Ratio,2.67,2.08,3.14,-,-,1.76,2.43,2.48,1.62,1.34,2.86,3.00,2.59,3.15,1.99,2.72,3.29,4.72,2.45,2.32,4.16,Upgrade
13,EV/FCF Ratio,-0.45,4.63,-1.60,-,-,-,-4.23,-,-,-,1.33,1.90,-,1.26,1.09,-,8.08,22.56,-,-,2.43,Upgrade
14,Debt / Equity Ratio,0.04,0.04,0.11,0.17,0.05,0.05,-,0.00,-,-,-,0.03,-,0.15,0.13,0.17,0.18,0.17,0.54,0.24,0.13,Upgrade
15,Debt / EBITDA Ratio,0.22,0.36,0.62,0.36,0.20,0.38,-,0.01,-,-,-,0.10,-,0.99,0.23,2.75,0.64,0.30,8.43,2.73,0.67,Upgrade
16,Debt / FCF Ratio,0.40,0.40,-0.23,-,-,-,-,-,-,-,-,0.09,-,0.26,0.22,-,2.10,4.10,-,-,0.36,Upgrade
17,Asset Turnover,0.20,1.85,-,-,-,-,2.95,0.25,0.50,1.89,2.48,-,1.32,2.69,-,1.78,2.41,0.47,0.06,1.50,Upgrade,
18,Inventory Turnover,8.65,0.38,6.19,-,-,-,-,5.40,0.22,1.90,5.53,4.09,-,5.03,5.93,-,5.24,3.78,0.64,-,4.03,Upgrade
19,Quick Ratio,2.34,2.34,1.54,1.17,-,2.03,-,1.20,0.96,1.53,1.20,0.93,0.60,1.17,1.19,0.87,1.33,0.92,0.36,0.70,1.28,Upgrade
20,Current Ratio,2.89,2.89,1.93,1.79,-,2.59,-,1.96,2.64,2.81,1.52,1.55,2.06,1.55,1.67,2.18,1.80,1.74,1.68,2.04,1.95,Upgrade
21,Return on Equity (ROE),12.17%,18.80%,35.49%,19.54%,-,-,33.05%,3.38%,21.46%,23.44%,38.73%,-,11.35%,40.25%,-,18.73%,37.79%,1.63%,5.20%,13.47%,Upgrade,
22,Return on Assets (ROA),3.97%,5.21%,-,-,-,-,15.97%,0.69%,7.33%,6.41%,10.59%,-,3.59%,18.16%,-,8.63%,17.57%,1.20%,2.29%,6.07%,Upgrade,
23,Return on Capital (ROIC),6.20%,9.06%,26.39%,15.12%,-,-,26.65%,1.01%,14.51%,15.62%,21.75%,-,7.20%,30.05%,-,14.29%,25.64%,1.56%,3.24%,9.36%,Upgrade,
24,Return on Capital Employed (ROCE),18.18%,23.28%,23.80%,26.50%,-,19.20%,-,21.92%,20.80%,19.73%,17.29%,24.03%,18.15%,22.73%,31.93%,21.60%,21.20%,19.51%,23.21%,22.16%,21.22%,Upgrade
25,Earnings Yield,17.77%,23.05%,23.05%,25.07%,24.32%,23.11%,24.61%,22.65%,24.16%,22.65%,20.00%,24.03%,12.88%,15.58%,29.87%,16.93%,24.55%,24.74%,26.05%,21.59%,19.53%,Upgrade
26,FCF Yield,11.42%,12.02%,-51.99%,-64.27%,-29.25%,-,-16.21%,-10.92%,20.77%,4.56%,42.68%,42.84%,-5.72%,52.23%,76.13%,-0.00%,14.49%,7.32%,10.94%,28.05%,46.66%,Upgrade
27,Dividend Yield,4.91%,-,-,-,-,-,-,-,-,7.22%,-,-,-,-,-,-,-,-,-,-,-,Upgrade
28,Payout Ratio,28.13%,-,-,27.82%,51.49%,-,-,0.49%,649.92%,-,-,0.48%,1021.09%,-,0.33%,632.15%,-,-,1625.79%,-,-,Upgrade
29,Buyback Yield / Dilution,-14.33%,0.03%,-0.01%,-0.01%,0.20%,39.21%,0.01%,-0.01%,0.06%,-64.49%,0.01%,-0.61%,-0.28%,-0.03%,6.20%,-1.90%,-0.00%,0.02%,-6.96%,2.46%,0.07%,Upgrade
30,Total Shareholder Return,-9.41%,0.03%,-0.01%,-0.01%,0.20%,39.21%,0.01%,-0.01%,0.06%,-57.28%,0.01%,-0.61%,-0.28%,-0.03%,6.20%,-1.90%,-0.00%,0.02%,-6.96%,2.46%,0.07%,Upgrade
