,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q4 2019,Q4 2018
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019","Dec '18 Dec 31, 2018"
0,Cash & Equivalents,58519,58519,67083,77832,81315,87690,90790,73578,88701,67325,58522,58936,54542,-,-,-,-,96161,-
1,Short-Term Investments,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,8000,8000,8000,-,-,-,-,8000,-
2,Accounts Receivable,6012,6012,30200,20212,5989,26652,29792,26933,8338,25807,29998,26192,15498,-,-,-,-,4665,-
3,Other Receivables,5419,5419,3706,3028,6505,3298,3576,2273,6783,3480,2909,2712,2767,-,-,-,-,3765,-
4,Inventory,32346,32346,20536,14423,31987,13307,24253,14925,22187,12804,14700,15179,21691,-,-,-,-,14675,-
5,Prepaid Expenses,7050,7050,4469,5533,4541,2838,4354,3432,3738,1601,2705,1836,3084,-,-,-,-,4007,-
6,Other Current Assets,2875,2875,1248,2885,3119,3750,2521,3307,1645,1421,1521,2320,2453,-,-,-,-,3849,-
7,Total Current Assets,125221,125221,140241,136913,146456,150534,168287,137448,144391,125438,118355,115176,108035,-,-,-,-,135121,-
8,"Property, Plant & Equipment",159897,159897,144505,149147,154030,137917,137991,139445,145049,139419,140871,145433,149329,-,-,-,-,160667,-
9,Other Intangible Assets,4653,4653,2394,2907,3469,1964,2072,2084,2366,1947,2256,2565,2874,-,-,-,-,431.02,-
10,Other Long-Term Assets,4527,4527,3390,3846,4497,3960,4737,5062,6129,6405,6912,5019,5914,-,-,-,-,4376,-
11,Total Assets,294298,294298,290531,292814,308452,294375,313087,284039,297936,273210,268395,268193,266153,-,-,-,-,300595,-
12,Accounts Payable,53658,53658,47975,50573,75646,43917,51533,40958,62463,53700,45482,48912,46237,-,-,-,-,82526,-
13,Accrued Expenses,15203,15203,19640,6865,20038,17853,17344,9528,14669,9720,8626,5670,13661,-,-,-,-,14171,-
14,Short-Term Debt,4943,4943,4943,3707,4943,4032,4943,3707,4943,3965,4943,3707,4943,-,-,-,-,4943,-
15,Current Unearned Revenue,-,-,-,-,-,-,-,-,-,-,2811,-,-,-,-,-,-,-,-
16,Current Income Taxes Payable,6109,6109,5416,3038,1046,1767,7421,4473,4482,2889,3657,12547,6180,-,-,-,-,4838,-
17,Other Current Liabilities,22033,22033,36858,37858,21081,25951,26433,20205,15212,16535,22014,4956,6084,-,-,-,-,10377,-
18,Total Current Liabilities,101946,101946,114831,102041,122754,93520,107674,78871,101770,86810,87533,75791,77105,-,-,-,-,116855,-
19,Long-Term Debt,3467,3467,5938,8410,8410,10881,10881,13352,13352,15824,15824,18295,18295,-,-,-,-,28180,-
20,Other Long-Term Liabilities,616.12,616.12,501.01,548.86,640.19,488.42,692.98,750.64,1057,849.28,776.27,792.17,740.51,-,-,-,-,595.62,-
21,Total Liabilities,106029,106029,121271,111000,131804,104889,119248,92974,116179,103483,104133,94878,96140,-,-,-,-,145631,-
22,Common Stock,95000,95000,95000,95000,95000,95000,95000,95000,95000,95000,95000,95000,95000,-,-,-,-,95000,-
23,Retained Earnings,93269,93269,74260,86814,81647,94486,98839,96065,86757,74727,69262,78315,75012,-,-,-,-,59964,-
24,Shareholders' Equity,188269,188269,169260,181814,176647,189486,193839,191065,181757,169727,164262,173315,170012,-,-,-,-,154964,-
25,Total Liabilities & Equity,294298,294298,290531,292814,308452,294375,313087,284039,297936,273210,268395,268193,266153,-,-,-,-,300595,-
26,Total Debt,8410,8410,10881,12117,13352,14913,15824,17059,18295,19789,20766,22002,23238,-,-,-,-,33123,-
27,Net Cash (Debt),63109,63109,69202,78715,80963,85777,87966,69518,83406,60536,45755,44934,39304,-,-,-,-,71038,-
28,Net Cash Growth,-22.05%,-26.43%,-21.33%,13.23%,-2.93%,41.70%,92.25%,54.71%,112.21%,-,-,-,-,-,-,-,-,-,-
29,Working Capital,23275,23275,25410,34871,23702,57014,60613,58577,42621,38628,30823,39385,30931,-,-,-,-,18266,-
30,Tangible Book Value,183616,183616,166865,178906,173179,187522,191767,188980,179390,167779,162006,170750,167139,-,-,-,-,154533,-
31,Construction In Progress,5907,5907,5617,8166,5430,11299,11424,10342,9941,13542,15069,21620,20286,-,-,-,-,5960,-
