,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2019,Q3 2019,Q4 2018,Q3 2018
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Oct '23 Oct 1, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019","Dec '18 Dec 31, 2018","Sep '18 Sep 30, 2018"
0,Cash & Equivalents,5980,5980,5861,5861,7502,7502,-,-,16181,12795,10940,-
1,Cash & Short-Term Investments,5980,5980,5861,5861,7502,7502,-,-,16181,12795,10940,-
2,Cash Growth,-20.29%,-20.29%,-,-,-53.64%,-41.37%,-,-,-,-,-,-
3,Accounts Receivable,1549,1549,2231,2231,1579,1579,-,-,2021,2571,3441,-
4,Other Receivables,98.32,98.32,3401,3401,81.87,81.87,-,-,1969,12162,9753,-
5,Receivables,1647,1647,5633,5633,1661,1661,-,-,3990,14733,13195,-
6,Inventory,44877,44877,47169,47169,41768,41768,-,-,30575,34784,39077,-
7,Prepaid Expenses,49.45,49.45,325.28,325.28,36.43,36.43,-,-,298.11,538.52,906.71,-
8,Other Current Assets,4635,4635,3342,3342,7079,7079,-,-,84.33,760.11,1002,-
9,Total Current Assets,57188,57188,62329,62329,58047,58047,-,-,51128,63610,65121,-
10,"Property, Plant & Equipment",93064,93064,94120,94120,97195,97195,-,-,51871,52238,46992,-
11,Long-Term Investments,-,-,2000,2000,2000,2000,-,-,2000,2000,2000,-
12,Other Intangible Assets,5649,5649,6416,6416,7185,7185,-,-,13315,13699,14853,-
13,Long-Term Deferred Tax Assets,33.03,33.03,-,-,-,-,-,-,-,-,-,-
14,Other Long-Term Assets,4332,4332,3274,3274,3355,3355,-,-,13534,3422,3723,-
15,Total Assets,160266,160266,168140,168140,167782,167782,-,-,131848,134969,132688,-
16,Accounts Payable,17610,17610,12654,12654,10719,10719,-,-,14910,11136,13269,-
17,Accrued Expenses,14071,14071,13746,13746,21983,21983,-,-,18459,16727,16261,-
18,Short-Term Debt,2642,2642,20663,20663,11599,11599,-,-,7702,11925,16875,-
19,Current Portion of Long-Term Debt,3571,3571,-,-,-,-,-,-,-,-,-,-
20,Current Income Taxes Payable,4402,4402,3396,3396,1451,1451,-,-,3809,3811,2453,-
21,Other Current Liabilities,842.83,842.83,2057,2057,1418,1418,-,-,369.16,1718,1875,-
22,Total Current Liabilities,43139,43139,52517,52517,47170,47170,-,-,45249,45318,50733,-
23,Long-Term Debt,-,-,-,-,1338,1338,-,-,-,-,-,-
24,Total Liabilities,43139,43139,52517,52517,48508,48508,-,-,45249,45318,50733,-
25,Common Stock,90407,90407,90407,90407,90407,90407,-,-,53207,53207,53207,-
26,Additional Paid-In Capital,-,-,-,-,-,-,-,-,80.28,80.28,80.28,-
27,Retained Earnings,24228,24228,22679,22679,26481,26481,-,-,32644,35696,28000,-
28,Treasury Stock,-62.46,-62.46,-62.46,-62.46,-62.46,-62.46,-,-,-62.46,-62.46,-62.46,-
29,Comprehensive Income & Other,2555,2555,2600,2600,2449,2449,-,-,730.4,730.4,730.4,-
30,Shareholders' Equity,117128,117128,115623,115623,119275,119275,-,-,86599,89651,81955,-
31,Total Liabilities & Equity,160266,160266,168140,168140,167782,167782,-,-,131848,134969,132688,-
32,Total Debt,6213,6213,20663,20663,12937,12937,-,-,7702,11925,16875,-
33,Net Cash (Debt),-233.51,-233.51,-14802,-14802,-5435,-5435,-,-,8480,869.67,-5935,-
34,Net Cash Per Share,-20.17,-20.42,-1175.12,-1175.12,-469.39,-469.19,-,-,640.10,75.08,-448.33,-
35,Filing Date Shares Outstanding,11.58,11.44,12.6,12.6,11.58,11.58,11.58,11.58,13.25,11.58,13.24,11.58
36,Total Common Shares Outstanding,11.58,11.44,12.6,12.6,11.58,11.58,11.58,11.58,13.25,11.58,13.24,11.58
37,Working Capital,14049,14049,9813,9813,10877,10877,-,-,5879,18291,14388,-
38,Book Value Per Share,10118.58,10242.10,9179.11,9179.11,10301.20,10296.84,-,-,6536.99,7739.76,6190.82,-
39,Tangible Book Value,111478,111478,109207,109207,112090,112090,-,-,73285,75952,67103,-
40,Tangible Book Value Per Share,9630.56,9748.12,8669.74,8669.74,9680.66,9676.56,-,-,5531.92,6557.07,5068.86,-
41,Buildings,52966,52966,-,-,52966,52966,-,-,-,-,-,-
42,Machinery,85707,85707,-,-,85707,85707,-,-,-,-,-,-
43,Construction In Progress,68825,68825,66033,66033,65126,65126,-,-,10877,9410,6921,-
