,Fiscal Quarter,Q4 2024,Q4 2023,Q3 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,Q2 2019,Q1 2019,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019","Jun '19 Jun 30, 2019","Mar '19 Mar 31, 2019",+20 Quarters
0,Cash & Equivalents,2807,1105,2102,1987,5805,9498,9401,-,8778,13808,15623,10566,9891,11422,9399,-,-,11872,8631,-,Upgrade
1,Short-Term Investments,19340,15300,15300,7500,3500,2000,2000,-,2000,2000,-,-,-,-,-,-,-,-,-,-,Upgrade
2,Cash & Short-Term Investments,22147,16405,17402,9487,9305,11498,11401,-,10778,15808,15623,10566,9891,11422,9399,-,-,11872,8631,3680,Upgrade
3,Cash Growth,138.00%,42.68%,52.63%,-,-13.66%,-27.26%,-27.02%,-,8.97%,38.40%,66.23%,-,-,-3.79%,8.90%,-,-,-,53.03%,-34.75%,Upgrade
4,Accounts Receivable,8518,11411,10414,11839,14676,10137,10900,-,13357,14287,12313,16429,13679,17448,16270,-,-,15775,16660,-,Upgrade
5,Other Receivables,708.46,1438,741.28,3104,3447,4248,3677,-,588.33,353.92,332.52,576.76,920.22,692.66,211.47,-,-,592.72,182.45,-,Upgrade
6,Receivables,9226,12849,11155,14943,18123,14385,14577,-,13945,14641,12646,17006,14599,18141,16482,-,-,16367,16843,-,Upgrade
7,Inventory,63.47,469.74,522.53,1513,913.06,1120,1179,-,1056,1190,990.87,534.92,980.17,1235,1112,-,-,1176,1619,-,Upgrade
8,Prepaid Expenses,125.01,161.28,129.67,286.75,342.27,277.22,275.58,-,272.62,134.94,123.53,174.42,211.13,158.7,153.25,-,-,171.81,190.46,-,Upgrade
9,Other Current Assets,317.83,918.66,-,2852,837.88,-,176.28,-,2689,495,-,8.04,2926,-,-,-,-,36.27,-,-,Upgrade
10,Total Current Assets,31879,30804,29209,29083,29521,27281,27610,-,28740,32268,29383,28289,28608,30957,27146,-,-,29623,27283,-,Upgrade
11,"Property, Plant & Equipment",8696,10492,10128,11371,11987,12632,16451,-,14542,13544,14223,14902,15581,16268,16965,-,-,19074,19777,-,Upgrade
12,Other Intangible Assets,116.92,123.8,125.52,128.96,130.68,132.4,134.12,-,137.56,139.28,140.99,142.71,144.43,146.15,147.87,-,-,153.03,154.75,-,Upgrade
13,Other Long-Term Assets,1177,1915,2235,2543,2864,3224,252.08,-,605.25,762.21,734.56,824.43,866.19,1017,1681,-,-,789.67,844.19,-,Upgrade
14,Total Assets,41869,43334,41698,43126,44503,43269,44447,-,44025,46714,44482,44158,45199,48389,45939,-,-,49640,48059,-,Upgrade
15,Accounts Payable,770.07,1744,964.99,1358,1462,315.85,1574,-,880.18,3603,2164,1704,894.43,3707,2124,-,-,4709,4235,-,Upgrade
16,Accrued Expenses,2016,1570,450.67,478.82,1354,1642,1772,-,2010,1376,1131,1112,2667,1103,501.13,-,-,1071,766.97,-,Upgrade
17,Short-Term Debt,-,1000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
18,Current Income Taxes Payable,186.84,61.27,-,246.53,242.76,158,25.55,-,73.19,509.41,193.94,481.18,260.73,430.53,685.24,-,-,467.52,251.75,-,Upgrade
19,Other Current Liabilities,221.05,521,435.38,142.49,615.59,468.14,528.18,-,183.32,602.22,570.87,594.12,407.02,1665,1666,-,-,1591,1621,-,Upgrade
20,Total Current Liabilities,3194,4896,1851,2226,3675,2584,3899,-,3146,6091,4060,3891,4230,6905,4976,-,-,7838,6875,-,Upgrade
21,Total Liabilities,3194,4896,1851,2226,3675,2584,3899,-,3146,6091,4060,3891,4230,6905,4976,-,-,7838,6875,-,Upgrade
22,Common Stock,20164,20164,20164,20164,20164,20164,20164,-,20164,20164,20164,20164,20164,20164,20164,-,-,20164,20164,-,Upgrade
23,Additional Paid-In Capital,11521,11521,11521,11521,11521,11521,11521,-,11521,11521,11521,11521,11521,11521,11521,-,-,11521,11521,-,Upgrade
24,Retained Earnings,6990,6754,8162,9216,9144,9001,8864,-,9194,8939,8738,8582,9285,9799,9278,-,-,10117,9500,-,Upgrade
25,Shareholders' Equity,38675,38438,39847,40900,40829,40685,40548,-,40879,40623,40422,40267,40970,41484,40963,-,-,41801,41184,42133,Upgrade
26,Total Liabilities & Equity,41869,43334,41698,43126,44503,43269,44447,-,44025,46714,44482,44158,45199,48389,45939,-,-,49640,48059,-,Upgrade
27,Total Debt,-,1000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
28,Net Cash (Debt),22147,15405,17402,9487,9305,11498,11401,-,10778,15808,15623,10566,9891,11422,9399,-,-,11872,8631,3680,Upgrade
