,Fiscal Quarter,Current,Q4 2024,Q4 2023,Q3 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,Q2 2019,Q1 2019,+20 Quarters
,Period Ending,"Dec '24 Dec 20, 2024","Dec '24 Dec 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019","Jun '19 Jun 30, 2019","Mar '19 Mar 31, 2019",+20 Quarters
0,Market Capitalization,26818,26818,19559,22785,34279,34279,34279,34279,31657,24600,29238,27020,26818,27221,17946,20970,36698,46175,58475,54039,47183,Upgrade
1,Market Cap Growth,-21.76%,-21.76%,-42.94%,-33.53%,8.28%,39.34%,17.24%,26.87%,18.05%,-9.63%,62.92%,28.85%,-26.92%,-41.05%,-69.31%,-61.19%,-22.22%,-2.14%,32.42%,20.18%,15.84%,Upgrade
2,Enterprise Value,11413,11413,2157,13298,24973,22781,22877,26900,20879,8792,13614,16454,16927,15799,8547,9099,24827,34304,49844,50359,43503,Upgrade
3,Last Close Price,13300.00,13300.00,9700.00,11150.00,16626.33,16626.33,16626.33,16626.33,15354.90,11931.83,14002.90,12940.61,12844.04,13037.18,7999.20,9347.38,16357.91,20582.20,26064.80,23506.05,20523.94,Upgrade
4,PE Ratio,115.18,-21.41,-,-,59.75,54.04,45.95,42.32,42.55,35.96,-342.40,115.32,56.10,-,11.28,12.44,20.06,23.39,27.42,25.40,20.75,Upgrade
5,PS Ratio,0.86,0.55,0.33,0.35,0.49,0.49,0.49,0.48,0.43,0.34,0.38,0.33,0.31,0.29,0.18,0.21,0.36,0.44,0.53,0.48,0.39,Upgrade
6,PB Ratio,0.69,0.69,0.51,0.57,0.84,0.84,0.84,0.85,-,0.60,0.72,0.67,0.67,0.66,0.43,0.51,-,-,1.40,1.31,1.12,Upgrade
7,P/TBV Ratio,0.70,0.70,0.51,0.57,0.84,0.84,0.85,0.85,-,0.60,0.72,0.67,0.67,0.67,0.43,0.51,-,-,1.40,1.32,1.12,Upgrade
8,P/FCF Ratio,6.78,-,-,-,-19.75,-,-,-,-,-,5.37,3.72,10.51,-,3.05,-,3.85,-,7.29,5.65,9.55,Upgrade
9,P/OCF Ratio,6.78,-,-,-,-6.98,-,-,-,-,-,5.37,3.72,10.51,-,3.05,-,3.85,-,7.29,5.09,7.89,Upgrade
10,EV/Sales Ratio,0.37,0.23,0.04,0.21,0.36,0.32,0.33,0.38,0.29,0.12,0.18,0.20,0.20,0.17,0.09,0.09,0.25,0.33,0.45,0.45,0.36,Upgrade
11,EV/EBITDA Ratio,-,-,-,-,9.72,8.13,11.88,12.46,10.11,-,6.35,6.73,5.69,-,2.00,2.02,5.27,7.05,9.46,9.46,7.73,Upgrade
12,EV/EBIT Ratio,-,-,-,-,-,110.34,-32.90,-,-33.67,-,-22.82,-,86.75,-,5.82,5.42,13.12,16.74,20.54,20.28,15.88,Upgrade
13,EV/FCF Ratio,2.89,-,-,-,-14.39,-,-,-,-,-,2.50,2.26,6.63,-,1.45,-,2.60,-,6.21,5.26,8.80,Upgrade
14,Debt / Equity Ratio,-,-,0.03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
15,Asset Turnover,-,-,-,1.32,1.82,1.53,-,-,1.67,1.61,1.85,1.34,1.92,1.99,-,-,-,2.10,-,-,Upgrade,
16,Inventory Turnover,107.09,-,-,-,42.28,72.88,53.75,-,-,64.72,61.47,99.79,71.54,76.77,72.49,-,-,-,66.22,-,-,Upgrade
17,Quick Ratio,9.81,9.82,5.98,15.43,10.98,7.46,10.02,6.66,-,7.86,5.00,6.96,7.09,5.79,4.28,5.20,-,-,3.60,3.71,-,Upgrade
18,Current Ratio,9.98,9.98,6.29,15.78,13.07,8.03,10.56,7.08,-,9.13,5.30,7.24,7.27,6.76,4.48,5.45,-,-,3.78,3.97,-,Upgrade
19,Return on Equity (ROE),-,-,-,0.70%,1.41%,1.35%,-,-,2.51%,1.99%,1.54%,0.71%,-4.99%,5.06%,-,-,-,5.95%,5.20%,4.88%,Upgrade,
20,Return on Assets (ROA),-,-,-,-0.33%,0.33%,0.08%,-,-,-4.65%,1.16%,-0.72%,0.23%,-3.86%,2.63%,-,-,-,3.61%,-,-,Upgrade,
21,Return on Capital (ROIC),-,-,-,-0.35%,0.36%,0.08%,-,-,-5.18%,1.31%,-0.79%,0.25%,-4.38%,3.01%,-,-,-,4.25%,3.57%,3.45%,Upgrade,
22,Return on Capital Employed (ROCE),-,-,-,-,-,0.51%,-1.71%,-,-,-,-1.47%,-,0.48%,-,3.54%,4.10%,-,-,5.80%,6.03%,-,Upgrade
23,Earnings Yield,0.87%,-4.67%,-8.77%,-0.74%,1.67%,1.85%,2.18%,2.36%,2.35%,2.78%,-0.29%,0.87%,1.78%,2.85%,8.86%,8.04%,4.98%,4.28%,3.65%,3.94%,4.82%,Upgrade
24,FCF Yield,14.74%,-,-,-,-5.06%,-15.83%,-28.77%,-,-15.22%,-3.13%,18.63%,26.89%,9.51%,-,32.78%,-,26.01%,-,13.72%,17.71%,10.47%,Upgrade
25,Dividend Yield,1.13%,-,-,-,-,0.90%,-,-,-,1.26%,-,-,-,1.53%,-,-,-,-,-,-,-,Upgrade
26,Payout Ratio,0.00%,-,-,-,-,210.04%,-,-,-,157.69%,-,-,-,-,-,-,-,-,0.12%,-,-,Upgrade
27,Buyback Yield / Dilution,-,-,-,-0.36%,-0.60%,-0.34%,0.25%,-1.44%,-,0.29%,-0.09%,0.78%,-,-0.18%,-0.08%,0.06%,-0.44%,0.17%,0.25%,0.05%,Upgrade,
