,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+15 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+15 Quarters
0,Revenue,121756,112451,83757,52486,27788,51561,57393,38940,31801,53033,65470,32649,37662,32265,46531,20319,15920,18594,18919,23887,Upgrade
1,Revenue Growth (YoY),338.16%,118.09%,45.94%,34.79%,-12.62%,-2.78%,-12.34%,19.27%,-15.56%,64.37%,40.70%,60.68%,136.57%,73.52%,145.94%,-14.94%,-25.25%,-11.95%,-17.50%,-25.68%,Upgrade
2,Cost of Revenue,46421,29356,24519,28234,12056,26579,31675,23222,6156,15007,33696,7785,12822,14716,29876,13278,13188,13429,14627,11797,Upgrade
3,Gross Profit,75335,83094,59238,24252,15732,24981,25718,15718,25645,38026,31774,24864,24840,17548,16654,7041,2732,5166,4292,12091,Upgrade
4,"Selling, General & Admin",10969,6690,4868,4269,5259,3734,4321,3762,4075,4245,5568,4104,4456,2934,4251,4069,3013,2764,2909,3417,Upgrade
5,Operating Expenses,10969,6690,4868,4269,5259,3734,4321,3762,4075,4245,5568,4104,4456,2934,4251,4069,3013,2764,2909,3417,Upgrade
6,Operating Income,64366,76404,54370,19982,10473,21248,21397,11956,21570,33781,26206,20760,20384,14614,12403,2972,-280.56,2401,1383,8674,Upgrade
7,Interest Expense,-,-,-,-,-,-,-,-,-,-,-,-,-,-4.37,-4.37,-,-,-,-0.62,-,Upgrade
8,Interest & Investment Income,4714,938.18,1113,4220,1771,2140,1807,1356,1255,1319,911.08,836.01,800.77,857.06,593.4,545.28,613.08,693.93,860.2,718.22,Upgrade
9,Other Non Operating Income (Expenses),3617,-3646,7557,-806.69,-3413,-386.4,1896,-898.43,-10263,-377.29,-568,-1138,9591,-667.92,-568.63,2120,-204.59,-174.98,-215.9,-11006,Upgrade
10,Pretax Income,72696,73696,63040,23396,8831,23001,25100,12414,12561,34722,26549,20458,30776,14799,12424,5637,127.93,2920,2026,-1614,Upgrade
