,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+15 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+15 Quarters
0,Market Capitalization,4142880,2908080,926756,667560,566234,429146,590076,572195,578155,557890,721204,536432,418417,441067,429146,445835,417225,452987,452987,429146,464908,Upgrade
1,Market Cap Growth,577.64%,577.64%,57.06%,16.67%,-2.06%,-23.08%,-18.18%,6.67%,38.18%,26.49%,68.06%,20.32%,0.29%,-2.63%,-5.26%,3.89%,-10.26%,-3.31%,-3.31%,-13.46%,1.30%,Upgrade
2,Enterprise Value,3834999,2651554,763631,553794,443183,289108,469644,466780,465895,445630,623539,444660,337625,360274,346701,398105,365268,401492,395277,369805,410184,Upgrade
3,Last Close Price,328800.00,228731.90,78453.73,54644.39,46350.15,32925.13,44308.82,42966.13,42111.28,38464.53,49724.45,34697.39,27063.96,28528.96,27080.89,27541.74,25774.35,27983.59,27983.59,25936.01,28097.34,Upgrade
4,PE Ratio,22.26,15.69,6.92,7.12,8.88,7.82,10.45,8.69,8.61,7.64,8.09,7.33,6.76,8.58,15.80,25.08,43.44,155.44,139.57,123.83,-,Upgrade
5,PS Ratio,11.14,7.85,3.35,3.10,2.99,2.44,3.28,3.16,3.06,3.05,3.82,3.19,2.81,3.22,3.73,4.40,5.66,5.86,5.48,5.04,5.21,Upgrade
6,PB Ratio,12.00,8.42,3.00,3.15,3.44,2.17,2.89,3.08,3.46,-,3.48,2.40,2.16,2.28,2.69,2.78,2.81,3.15,3.15,2.80,3.07,Upgrade
7,P/TBV Ratio,8.52,8.52,3.04,3.22,3.55,2.23,2.97,3.18,3.59,-,3.61,2.48,2.25,2.38,2.85,2.94,3.00,3.39,3.42,3.05,3.37,Upgrade
8,P/FCF Ratio,22.34,15.68,7.93,8.95,14.44,-,9.06,5.99,6.53,8.34,9.39,15.09,6.58,8.58,10.54,12.40,-,112.68,133.21,-,553.34,Upgrade
9,P/OCF Ratio,14.93,14.93,7.34,8.45,13.02,-,8.38,5.50,5.99,7.33,8.44,12.16,5.81,7.79,9.86,12.63,-,103.03,120.14,-,177.28,Upgrade
10,EV/Sales Ratio,10.35,7.16,2.76,2.57,2.34,1.65,2.61,2.58,2.46,2.44,3.30,2.65,2.26,2.63,3.01,3.93,4.95,5.19,4.78,4.34,4.60,Upgrade
11,EV/EBITDA Ratio,17.46,12.07,4.61,5.02,5.65,4.08,5.69,4.90,4.68,4.11,5.82,5.06,4.56,6.44,9.70,16.54,26.73,19.15,18.03,16.57,15.78,Upgrade
12,EV/EBIT Ratio,17.83,12.33,4.74,5.22,6.06,4.44,6.17,5.26,4.98,4.36,6.17,5.43,4.95,7.15,11.67,22.75,56.41,-,31.91,30.60,27.25,Upgrade
13,EV/FCF Ratio,20.68,14.30,6.54,7.43,11.30,-,7.21,4.88,5.26,6.66,8.12,12.51,5.31,7.01,8.52,11.07,-,99.87,116.24,-,488.20,Upgrade
14,Debt / Equity Ratio,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.01,-,-,-,-,Upgrade
15,Debt / EBITDA Ratio,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.06,-,-,-,-,Upgrade
16,Asset Turnover,1.24,1.43,1.42,0.94,0.46,0.89,1.04,-,-,0.84,1.08,0.58,0.73,0.70,1.03,0.48,0.38,0.43,0.43,0.53,Upgrade,
17,Inventory Turnover,4.42,7.76,4.49,3.59,3.68,1.79,5.13,4.34,-,-,3.10,5.47,0.98,1.98,2.87,4.17,1.53,1.56,1.57,1.76,1.55,Upgrade
18,Quick Ratio,4.78,4.78,6.47,4.10,4.11,4.66,5.60,5.54,2.71,-,4.05,6.15,4.68,4.68,6.67,8.17,4.44,6.71,5.12,6.40,4.41,Upgrade
19,Current Ratio,5.17,5.17,7.16,4.86,5.15,5.95,6.38,6.61,3.63,-,4.88,7.15,6.37,6.37,8.48,10.37,7.15,10.97,8.63,10.11,6.90,Upgrade
20,Return on Equity (ROE),70.83%,90.10%,106.18%,41.61%,13.02%,37.85%,45.29%,-,-,51.68%,40.74%,32.58%,55.07%,29.59%,25.75%,14.49%,0.21%,6.59%,4.68%,-3.66%,Upgrade,
21,Return on Assets (ROA),40.93%,60.89%,57.62%,22.45%,10.85%,22.85%,24.17%,-,-,33.39%,27.03%,22.86%,24.74%,19.80%,17.24%,4.36%,-0.42%,3.50%,1.95%,12.04%,Upgrade,
22,Return on Capital (ROIC),49.20%,73.36%,72.24%,27.60%,13.04%,27.25%,30.31%,-,-,39.19%,31.39%,26.79%,28.85%,22.83%,19.99%,5.06%,-0.49%,4.04%,2.27%,14.25%,Upgrade,
23,Return on Capital Employed (ROCE),60.08%,60.08%,50.12%,47.20%,41.21%,30.92%,35.09%,44.65%,51.89%,-,45.92%,34.60%,32.94%,24.34%,17.20%,10.06%,4.00%,-,7.88%,7.26%,9.14%,Upgrade
24,Earnings Yield,4.47%,6.37%,14.46%,14.04%,11.27%,12.78%,9.57%,11.51%,11.61%,13.09%,12.37%,13.65%,14.79%,11.65%,6.33%,3.99%,2.30%,0.64%,0.72%,0.81%,1.35%,Upgrade
25,FCF Yield,4.48%,6.38%,12.61%,11.17%,6.92%,13.28%,11.04%,16.70%,15.32%,11.99%,10.65%,6.63%,15.19%,11.65%,9.49%,8.06%,-0.21%,0.89%,0.75%,0.50%,0.18%,Upgrade
26,Dividend Yield,1.52%,2.19%,-,10.07%,-,13.67%,-,8.15%,-,-,5.03%,-,-,-,6.65%,-,3.10%,-,-,-,-,Upgrade
27,Payout Ratio,36.11%,43.52%,-,-,221.59%,182.39%,-,-,180.82%,-,128.44%,-,37.77%,24.51%,80.56%,-,-,93.50%,386.59%,-,-,Upgrade
28,Buyback Yield / Dilution,-0.04%,0.06%,-5.25%,-5.23%,-5.29%,-11.26%,-0.03%,-0.04%,15.45%,4.96%,0.02%,0.00%,-12.20%,-1.37%,0.20%,0.32%,-2.07%,-3.80%,-0.26%,-0.26%,4.67%,Upgrade
29,Total Shareholder Return,1.48%,2.25%,-5.25%,4.83%,-5.29%,2.41%,-0.03%,8.11%,15.45%,4.96%,5.05%,0.00%,-12.20%,-1.37%,6.85%,0.32%,1.04%,-3.80%,-0.26%,-0.26%,4.67%,Upgrade
