,Fiscal Quarter,Current,Q4 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,+20 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019",+20 Quarters
0,Market Capitalization,709797,734997,713997,934496,997495,911396,944996,835796,650997,758096,692997,661497,705597,718197,713997,797996,629997,503998,440998,482998,535497,Upgrade
1,Market Cap Growth,-19.35%,-19.35%,-24.44%,11.81%,53.23%,20.22%,36.36%,26.35%,-7.74%,5.56%,-2.94%,-17.11%,12.00%,42.50%,61.90%,65.22%,17.65%,-4.38%,-17.65%,4.55%,9.91%,Upgrade
2,Enterprise Value,591274,625874,610917,842088,929701,859026,878287,769214,598137,711248,664391,637213,697902,721493,717293,801951,651929,571910,498701,552363,639929,Upgrade
3,PE Ratio,15.06,14.98,12.06,17.36,20.06,20.36,17.91,14.62,10.79,12.56,12.75,11.76,12.30,12.92,11.96,14.21,12.06,9.63,8.37,9.83,11.48,Upgrade
4,PS Ratio,4.76,4.84,4.19,5.89,6.46,5.94,5.62,4.70,3.61,4.19,4.02,3.78,4.11,4.15,3.66,4.22,3.27,2.73,2.62,2.82,2.99,Upgrade
5,PB Ratio,2.28,-,2.11,2.87,3.19,3.07,2.83,2.56,-,2.47,-,2.07,2.30,2.42,2.24,2.50,2.06,1.70,1.45,1.57,1.81,Upgrade
6,P/FCF Ratio,12.02,-,6.70,10.87,13.97,14.59,-,22.46,13.96,-,-,8.56,9.47,9.18,6.61,8.28,7.80,10.07,101.77,-,-,Upgrade
7,P/OCF Ratio,10.27,-,5.85,9.60,12.85,13.17,-,21.55,12.86,-,-,8.55,9.47,9.18,6.61,7.92,7.40,9.27,50.82,-,-,Upgrade
8,EV/Sales Ratio,3.97,4.13,3.58,5.31,6.02,5.60,5.23,4.33,3.31,3.93,3.86,3.64,4.06,4.17,3.68,4.24,3.38,3.10,2.96,3.23,3.58,Upgrade
