,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+13 Quarters
,Period Ending,"Feb '25 Feb 27, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+13 Quarters
0,Market Capitalization,48467,50307,53988,46626,24540,31902,28221,36810,42332,46013,40491,29448,42945,44172,36810,38651,42945,50921,39878,47853,18405,Upgrade
1,Market Cap Growth,57.69%,57.69%,91.30%,26.67%,-42.03%,-30.67%,-30.30%,25.00%,-1.43%,4.17%,10.00%,-23.81%,0%,-13.25%,-7.69%,-19.23%,133.33%,186.21%,124.14%,129.41%,25.00%,Upgrade
2,Enterprise Value,61252,65412,67982,61924,42978,50340,44101,52171,57640,46491,40394,29241,44071,45706,38065,40442,42275,50251,42051,47155,20005,Upgrade
3,Last Close Price,7900.00,8200.00,8800.00,7600.00,4000.00,5200.00,4600.00,6000.00,6900.00,7500.00,6600.00,4800.00,7000.00,7200.00,6000.00,6300.00,7000.00,8300.00,6500.00,7800.00,3000.00,Upgrade
4,PE Ratio,56.71,-,52.39,47.15,19.80,34.80,30.79,64.34,67.31,66.74,11.11,8.78,25.73,60.57,-,-,-,-,19.71,31.27,20.67,Upgrade
5,PS Ratio,0.42,0.44,0.29,0.23,0.10,0.15,0.13,0.19,0.19,0.20,0.24,0.20,1.00,1.41,1.12,0.57,0.39,0.25,0.17,0.18,0.08,Upgrade
6,PB Ratio,0.70,0.70,0.75,0.65,0.35,0.45,-,0.52,0.60,0.66,0.58,0.42,0.62,0.63,0.55,0.57,0.63,0.74,0.57,0.69,0.27,Upgrade
7,P/TBV Ratio,0.70,0.70,0.75,0.65,0.35,0.45,-,0.52,0.60,0.66,0.58,0.42,0.62,0.63,0.55,0.57,0.63,0.74,0.57,0.69,0.27,Upgrade
8,P/FCF Ratio,-,-,3.08,-,-,1.94,-,7.60,30.90,-,-,-,9.75,21.81,-,52.13,-,-,-9.15,-,-,Upgrade
9,P/OCF Ratio,-,-,3.08,-,-,1.94,-,7.60,30.90,-,-,-,9.75,21.81,-,52.13,-,-,-9.15,-,-,Upgrade
