,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Cash & Equivalents,14781,14781,47316,14485,7191,7191,12245,5175,5498,6072,1100,-,5212,-,3347,3123,2751,4409,4385,3094,Upgrade
1,Cash & Short-Term Investments,14781,14781,47316,14485,7191,7191,12245,5175,5498,6072,1100,5212,5212,-,3347,3123,2751,4409,4385,3094,Upgrade
2,Cash Growth,105.56%,105.56%,286.42%,179.91%,30.80%,18.42%,1013.15%,-0.71%,5.48%,-,-67.13%,66.86%,89.48%,-,-23.69%,0.94%,-3.34%,162.43%,-,2.78%,Upgrade
3,Accounts Receivable,324247,324247,338379,290957,742118,742118,783287,560025,971530,631847,543728,-,446742,-,429874,225149,443200,571458,484703,248855,Upgrade
4,Other Receivables,16.46,16.46,4.77,4419,1861,1861,3837,1644,33.74,747.1,4779,-,1292,-,16356,17008,19430,24397,27164,4411,Upgrade
5,Receivables,324264,324264,338384,295376,743979,743979,787124,561669,971564,632594,548507,-,448034,-,446231,242157,462630,595855,511868,253266,Upgrade
6,Inventory,253066,253066,196062,145971,145716,145716,126051,87817,86488,128654,144144,-,425889,-,465460,381143,410054,447689,353300,224707,Upgrade
7,Prepaid Expenses,-,-,194.33,299.85,34.86,34.86,231.04,351.46,6750,11336,11015,-,21979,-,12106,12244,20533,12670,16321,24778,Upgrade
8,Other Current Assets,9455,9455,4446,4336,7074,7074,9209,13056,6484,10095,2479,-,2932,-,4334,14131,3943,25610,38514,15549,Upgrade
9,Total Current Assets,601566,601566,586402,460468,903995,903995,934859,668069,1076783,788752,707244,-,904045,-,931477,652799,899911,1086233,924389,521395,Upgrade
10,"Property, Plant & Equipment",839510,839510,956331,1041322,1118558,1118558,1363310,1498141,1527305,1601763,1735124,-,1922039,-,2194370,2292669,2394036,2319505,2423779,2572398,Upgrade
11,Other Intangible Assets,1428,1428,1593,1676,1760,1760,2052,2788,3524,4259,4995,-,6495,-,2656,2757,2857,2957,3058,3158,Upgrade
12,Long-Term Deferred Tax Assets,10717,10717,10717,10717,7145,7145,10717,10717,10717,-,-,-,-,-,-,-,-,-,-,-,Upgrade
13,Other Long-Term Assets,151168,151168,137014,143562,148589,148589,165297,180277,249321,259442,278467,-,315324,-,216190,206706,243442,278448,337409,340102,Upgrade
14,Total Assets,1604389,1604389,1692056,1657745,2180046,2180046,2476236,2359992,2867649,2654215,2725829,-,3147903,-,3344693,3154931,3540247,3687144,3688634,3437054,Upgrade
15,Accounts Payable,273995,273995,221960,186995,201769,201769,174135,175579,305226,214122,356639,-,340625,-,273093,187198,263083,266547,128065,180204,Upgrade
16,Accrued Expenses,206305,203547,165153,122609,202223,202223,177081,176039,234421,193009,186642,-,172204,-,117048,65154,88900,39392,28834,49764,Upgrade
17,Short-Term Debt,453910,453910,494101,444587,592061,592061,446919,454352,416060,390619,349878,-,484025,-,497818,498702,235000,296137,188763,259097,Upgrade
18,Current Income Taxes Payable,52960,52960,49211,54845,21697,21697,69414,58856,99650,40000,47701,-,64009,-,91390,86313,76625,83785,82312,106414,Upgrade
