,Fiscal Quarter,Current,Q4 2013,Q4 2012
,Period Ending,"Mar '25 Mar 13, 2025","Dec '13 Dec 31, 2013","Dec '12 Dec 31, 2012"
0,Market Capitalization,146727,116758,65955
1,Enterprise Value,-,102746,-
2,Last Close Price,15000.00,6186.87,4067.73
3,PE Ratio,2.71,2.38,1.68
4,PS Ratio,0.88,0.90,0.62
5,PB Ratio,0.57,0.54,0.32
6,P/TBV Ratio,0.36,0.55,0.36
7,EV/Sales Ratio,-,0.79,-
8,EV/EBITDA Ratio,-,3.66,-
9,EV/EBIT Ratio,-,4.53,-
10,Quick Ratio,2.88,2.67,2.88
11,Current Ratio,3.06,3.01,3.06
12,Return on Capital Employed (ROCE),9.07%,10.41%,9.40%
13,Earnings Yield,26.98%,42.05%,59.47%
