,no,s,n,marketCap,price,change,revenue,url
0,1,hnx/KSV,Vinacomin - Minerals Holding Corporation,38400000000000.0,209200.0,-0.946969696969697,13250634406791.0,quote/hnx/KSV
1,2,hnx/IDC,IDICO Corporation - JSC,18149996095000.0,56600.0,0.0,8847750623476.0,quote/hnx/IDC
2,3,hnx/KSF,Real Tech Group JSC,18030000000000.0,49800.0,9.933774834437086,2327147053692.0,quote/hnx/KSF
3,4,hnx/MBS,MB Securities JSC,17527157964000.002,31100.0,0.3225806451612903,2582720688821.0,quote/hnx/MBS
4,5,hnx/PVS,PetroVietnam Technical Services Corporation,15868480828000.0,33200.0,-1.7751479289940828,23878029780802.0,quote/hnx/PVS
5,6,hnx/PVI,PVI Holdings,15600508342200.0,66600.0,-0.14992503748125938,8847086400475.0,quote/hnx/PVI
6,7,hnx/HUT,Tasco JSC,14637196226000.0,16400.0,-0.6060606060606061,30648032502235.0,quote/hnx/HUT
7,8,hnx/THD,Thaiholdings JSC,14167998969600.0,36100.0,-0.5509641873278237,973630725931.0,quote/hnx/THD
8,9,hnx/NVB,National Citizen Commercial Joint Stock Bank,13155886811200.0,11500.0,-0.8620689655172413,-1736042000000.0,quote/hnx/NVB
9,10,hnx/SHS,SaiGon - Hanoi Securities JSC,11953404195600.0,14500.0,0.6944444444444444,1931718103488.0,quote/hnx/SHS
10,11,hnx/BAB,Bac A Commercial Joint Stock Bank,11496262116000.0,12000.0,0.0,3509550000000.0,quote/hnx/BAB
11,12,hnx/VCS,Vicostone JSC,9488000000000.0,59900.0,2.218430034129693,4322071392821.0,quote/hnx/VCS
12,13,hnx/NTP,Tien Phong Plastic JSC,9449890429200.0,68900.0,-1.5714285714285716,5656563814495.0,quote/hnx/NTP
13,14,hnx/DTK,Vinacomin - Power Holding Corporation,8807700427500.0,12900.0,0.0,12839645638671.0,quote/hnx/DTK
14,15,hnx/CEO,C.E.O Group JSC,7943974550400.0,15000.0,0.6711409395973155,1307837430269.0,quote/hnx/CEO
15,16,hnx/DHT,Ha Tay Pharmaceutical JSC,7262410932000.0,88200.0,0.2272727272727273,2086352824613.0,quote/hnx/DHT
16,17,hnx/VIF,Viet Nam Forestry Corporation - Joint Stock company,6475000000000.0,17800.0,-6.315789473684211,1600198920305.0,quote/hnx/VIF
17,18,hnx/SCG,SCG Construction Group JSC,5695000000000.0,67000.0,0.0,2705064519164.0,quote/hnx/SCG
18,19,hnx/VNR,Vietnam National Reinsurance Corporation,4559786375000.0,25000.0,2.0408163265306123,2333217248720.0,quote/hnx/VNR
19,20,hnx/HGM,Ha Giang Mineral Mechanics JSC,3893400000000.0,309000.0,-1.9047619047619049,370448864861.0,quote/hnx/HGM
20,21,hnx/CDN,Danang Port JSC,3623400000000.0,36500.0,0.8287292817679558,1452619154002.0,quote/hnx/CDN
21,22,hnx/VC3,Nam Mekong Group JSC,3404105540800.0,27200.0,-0.3663003663003663,611367733216.0,quote/hnx/VC3
22,23,hnx/IPA,Ipa Investments Group JSC,3036468005000.0,14200.0,-0.6993006993006993,560054620730.0,quote/hnx/IPA
23,24,hnx/PTI,Post & Telecommunication Joint Stock Insurance Corporation,2894211096000.0,24000.0,1.694915254237288,4073958673178.0,quote/hnx/PTI
24,25,hnx/BVS,Bao Viet Securities JSC,2873565771000.0,40200.0,-0.9852216748768472,852266481158.0,quote/hnx/BVS
25,26,hnx/TNG,TNG Investment and Trading JSC,2783047376200.0,22700.0,-0.8733624454148471,7736065477143.0,quote/hnx/TNG
26,27,hnx/DNP,DongNai Plastic Construction Joint-stock Company,2734741098400.0,19700.0,0.0,8898445300977.0,quote/hnx/DNP
27,28,hnx/MVB,Vinacomin - VietBac Mining Industry Holding Corporation,2404500000000.0,24000.0,8.108108108108109,,quote/hnx/MVB
28,29,hnx/LAS,Lam Thao Fertilizers & Chemicals JSC,2189414160000.0,19500.0,-0.5102040816326531,3465765583539.0,quote/hnx/LAS
29,30,hnx/TIG,Thang Long Investment Group JSC,2187750116500.0,11600.0,0.8695652173913043,1499327044762.0,quote/hnx/TIG
30,31,hnx/PRE,Hanoi Reinsurance JSC,2119320000000.0,20000.0,0.0,1599319090739.0,quote/hnx/PRE
31,32,hnx/PLC,Petrolimex Petrochemical Corporation JSC,2036098663200.0,26500.0,3.11284046692607,6931744246143.0,quote/hnx/PLC
32,33,hnx/SLS,Son La Sugar JSC,2030849393000.0,207400.0,-0.2884615384615385,1293238824269.0,quote/hnx/SLS
33,34,hnx/VFS,Viet First Securities Corporation,1944000000000.0,16300.0,2.515723270440252,233713231787.0,quote/hnx/VFS
34,35,hnx/NET,Net Detergent JSC,1796349594800.0,80200.0,-1.3530135301353017,1652661909097.0,quote/hnx/NET
35,36,hnx/PGS,Southern Gas Trading JSC,1729958272400.0,34600.0,0.0,6438682469797.0,quote/hnx/PGS
36,37,hnx/VGS,Vietnam Germany Steel Pipe JSC,1700336630400.0,31200.0,-0.9523809523809524,7321865829546.0,quote/hnx/VGS
37,38,hnx/L18,Construction and Investment Stock Company No 18,1623764092800.0,45000.0,-1.098901098901099,4924717468479.0,quote/hnx/L18
38,39,hnx/SEB,Mien Trung Power Investment and Development JSC,1577598471700.0,49300.0,0.0,255792104003.0,quote/hnx/SEB
39,40,hnx/OCH,One Capital Hospitality JSC,1500000000000.0,7500.0,0.0,983145588033.0,quote/hnx/OCH
40,41,hnx/BCF,Bich Chi Food Company,1376226847800.0,41700.0,2.70935960591133,761888236324.0,quote/hnx/BCF
