,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Revenue,261583,259474,255620,246848,281905,278943,252515,228825,278343,260419,664732,230846,315570,182128,383291,483806,312057,303259,515358,462186,Upgrade
1,Revenue Growth (YoY),-7.21%,-6.98%,1.23%,7.88%,1.28%,7.11%,-62.01%,-0.88%,-11.80%,42.99%,73.43%,-52.29%,1.13%,-39.94%,-25.63%,4.68%,-58.34%,22.62%,-1.33%,29.65%,Upgrade
2,Cost of Revenue,224958,225170,221841,213925,246025,240194,219870,201211,251982,233373,635263,205630,297733,180219,351132,450691,281264,271816,484653,431877,Upgrade
3,Gross Profit,36625,34304,33779,32924,35880,38749,32645,27614,26362,27045,29469,25216,17836,1909,32159,33115,30793,31443,30706,30309,Upgrade
4,"Selling, General & Admin",26730,25513,24871,24722,23186,24238,21774,19795,14383,23166,20218,17540,15065,4160,15081,21448,22502,20677,19954,20373,Upgrade
5,Other Operating Expenses,641.74,-,-,-,529.82,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
6,Operating Expenses,27372,25513,24871,24722,23715,24238,21774,19795,14383,23166,20218,17540,15065,4160,15081,21448,22502,20677,19954,20373,Upgrade
7,Operating Income,9252,8791,8908,8202,12164,14511,10871,7819,11979,3879,9251,7676,2771,-2252,17078,11667,8291,10766,10752,9937,Upgrade
8,Interest Expense,-414.66,-458.35,-558,-534.42,-497.79,-817.45,-737.77,-464.11,-332.07,-392.88,-430.74,-447.1,-185.25,-30.93,-101.22,-571.39,-656.45,-588.96,-480.44,-503.46,Upgrade
9,Interest & Investment Income,1795,1721,4103,3179,2779,3367,3137,2773,4548,2224,4152,2005,1932,1742,1577,1604,1746,1811,1810,1882,Upgrade
