,Fiscal Quarter,Q4 2017,Q4 2016,Q2 2013,Q1 2013,Q2 2012,Q1 2012
,Period Ending,"Dec '17 Dec 31, 2017","Dec '16 Dec 31, 2016","Jun '13 Jun 30, 2013","Mar '13 Mar 31, 2013","Jun '12 Jun 30, 2012","Mar '12 Mar 31, 2012"
0,Cash & Equivalents,45899,2343,5099,-,-,-
1,Cash & Short-Term Investments,45899,2343,5099,-,-,-
2,Accounts Receivable,80758,73092,36678,-,-,-
3,Other Receivables,740.63,1101,193.03,-,-,-
4,Receivables,81498,74193,36871,-,-,-
5,Inventory,70039,45069,25810,-,-,-
6,Prepaid Expenses,9633,3085,788.31,-,-,-
7,Other Current Assets,281.22,1774,11927,-,-,-
8,Total Current Assets,207350,126464,80495,-,-,-
9,"Property, Plant & Equipment",265140,330414,130578,-,-,-
10,Other Intangible Assets,198.27,19.81,83.44,-,-,-
11,Other Long-Term Assets,3428,710.55,1635,-,-,-
12,Total Assets,476117,457608,212791,-,-,-
13,Accounts Payable,51674,37398,6138,-,-,-
14,Accrued Expenses,28169,21582,11170,-,-,-
15,Short-Term Debt,117229,145585,69957,-,-,-
16,Current Income Taxes Payable,13945,5264,4288,-,-,-
17,Other Current Liabilities,2579,1447,13569,-,-,-
18,Total Current Liabilities,213597,211276,105122,-,-,-
19,Long-Term Debt,74158,102211,-,-,-,-
20,Long-Term Deferred Tax Liabilities,5500,-,-,-,-,-
21,Other Long-Term Liabilities,-,-,9359,-,-,-
22,Total Liabilities,293256,313486,114481,-,-,-
23,Common Stock,109881,109881,72342,-,-,-
24,Additional Paid-In Capital,-,-,928.86,-,-,-
25,Retained Earnings,72981,34241,23616,-,-,-
26,Comprehensive Income & Other,-,-,1423,-,-,-
27,Shareholders' Equity,182861,144122,98310,-,-,-
28,Total Liabilities & Equity,476117,457608,212791,-,-,-
29,Total Debt,191387,247795,69957,-,-,-
30,Net Cash (Debt),-145489,-245452,-64859,-,-,-
31,Net Cash Per Share,-4871.98,-11412.71,-2562.06,-,-,-
32,Filing Date Shares Outstanding,29.86,21.51,25.31,25.33,25.32,25.33
33,Total Common Shares Outstanding,29.86,21.51,25.31,25.33,25.32,25.33
34,Working Capital,-6247,-84812,-24627,-,-,-
35,Book Value Per Share,6123.47,6701.19,3883.47,-,-,-
36,Tangible Book Value,182663,144102,98227,-,-,-
37,Tangible Book Value Per Share,6116.83,6700.27,3880.17,-,-,-
38,Construction In Progress,207.73,8572,6899,-,-,-
