,Fiscal Quarter,Q4 2024,Q3 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019",+20 Quarters
0,Revenue,8653,1785,1128,-3405,1583,1619,1288,6937,1504,1489,1347,1221,892.18,1218,993.56,1548,1567,2455,33304,15689,Upgrade
1,Revenue Growth (YoY),446.47%,10.29%,-12.43%,-,5.31%,8.67%,-4.40%,468.10%,68.53%,22.30%,35.57%,-21.13%,-43.07%,-50.40%,-97.02%,-90.13%,-94.39%,-99.04%,-76.26%,1912.02%,Upgrade
2,Cost of Revenue,3839,954.86,821.92,-846.45,982.95,925.95,907.98,2830,1127,887.34,834.58,1459,555.94,689.04,451.11,731.2,1353,984.16,23578,11870,Upgrade
3,Gross Profit,4814,830.19,305.62,-2559,600.47,692.58,379.68,4107,376.37,602.06,512.34,-238.22,336.23,528.74,542.45,817.04,214.01,1471,9726,3819,Upgrade
4,"Selling, General & Admin",6190,1781,1713,2251,1740,1860,1873,2716,1543,1706,1638,2839,2141,2840,2669,3360,2097,2312,2986,3191,Upgrade
5,Operating Expenses,6190,1781,1713,2251,1740,1860,1873,2716,1543,1706,1638,2839,2141,2840,2669,3360,2097,2312,2986,3191,Upgrade
6,Operating Income,-1377,-950.45,-1408,-4809,-1139,-1168,-1493,1391,-1166,-1103,-1126,-3077,-1805,-2311,-2126,-2543,-1883,-840.66,6740,628.25,Upgrade
7,Interest Expense,-477.97,-477.97,-478.94,-497.46,-557.41,-,-,-432.44,-178.01,-254.43,-,-,-,-,-1.86,-2.56,-,-,-,-,Upgrade
8,Interest & Investment Income,596.83,-,1369,799.71,437.12,1039,512.66,773.85,1177,1.55,127.51,14387,607.62,292.21,105.04,432.97,4.56,321.21,3.37,653.43,Upgrade
9,Earnings From Equity Investments,-,1.36,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
10,Other Non Operating Income (Expenses),5696,-858.69,-,366.95,-1.29,-,-,864.88,1829,-,-154.76,-,-,131.6,4222,-,5617,102.11,0,-,Upgrade
11,EBT Excluding Unusual Items,4438,-2286,-517.55,-4140,-1261,-129.07,-980.6,2597,1662,-1356,-1153,11310,-1197,-1887,2199,-2113,3738,-417.33,6744,1282,Upgrade
12,Pretax Income,4438,-2286,-517.55,-4140,-1261,-129.07,-980.6,2597,1662,-1356,-1153,11310,-1197,-1887,2199,-2113,3738,-417.33,6744,1282,Upgrade
13,Income Tax Expense,97.25,-,-,74.22,-,87.44,-,487.48,-,-,-,1508,-,-,439.8,-,464.86,-,1349,256.34,Upgrade
14,Earnings From Continuing Operations,4341,-2286,-517.55,-4214,-1261,-216.51,-980.6,2109,1662,-1356,-1153,9803,-1197,-1887,1759,-2113,3273,-417.33,5395,1025,Upgrade
15,Minority Interest in Earnings,-5.08,-,-,-5.94,-,-6.99,-,-4.28,-,-,-,-1.46,-,-,-,-,-,-,-,-,Upgrade
16,Net Income,4336,-2286,-517.55,-4220,-1261,-223.5,-980.6,2105,1662,-1356,-1153,9801,-1197,-1887,1759,-2113,3273,-417.33,5395,1025,Upgrade
17,Net Income to Common,4336,-2286,-517.55,-4220,-1261,-223.5,-980.6,2105,1662,-1356,-1153,9801,-1197,-1887,1759,-2113,3273,-417.33,5395,1025,Upgrade
18,Net Income Growth,-,-,-,-,-,-,-,-78.52%,-,-,-,-,-,-,-67.39%,-,20.36%,-,-60.70%,-,Upgrade
19,Shares Outstanding (Basic),18,-,-,-,-,-,-,-,-,-,-,-,-,20,-,-,-,-,-,-,Upgrade
20,Shares Outstanding (Diluted),18,-,-,-,-,-,-,-,-,-,-,-,-,20,-,-,-,-,-,-,Upgrade
21,EPS (Basic),246.76,-,-,-,-,-,-,-,-,-,-,-,-,-94.37,-,-,-,-,-,-,Upgrade
22,EPS (Diluted),246.76,-,-,-,-,-,-,-,-,-,-,-,-,-94.37,-,-,-,-,-,-,Upgrade
23,Free Cash Flow,-1231,-,-804.62,-,-1750,-,-6410,400.72,2784,22279,22279,55766,-2293,-12826,-7166,-,17876,7071,20857,-,Upgrade
24,Free Cash Flow Per Share,-70.05,-,-,-,-,-,-,-,-,-,-,-,-,-641.30,-,-,-,-,-,-,Upgrade
25,Dividend Per Share,-,-,-,500.000,-,-,-,500.000,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
26,Gross Margin,55.63%,46.51%,27.11%,-,37.92%,42.79%,29.49%,59.20%,25.03%,40.42%,38.04%,-19.51%,37.69%,43.42%,54.60%,52.77%,13.66%,59.91%,29.20%,24.34%,Upgrade
27,Operating Margin,-15.91%,-53.24%,-124.85%,-,-71.95%,-72.15%,-115.97%,20.04%,-77.56%,-74.09%,-83.59%,-251.98%,-202.29%,-189.80%,-213.99%,-164.27%,-120.18%,-34.24%,20.24%,4.00%,Upgrade
28,Profit Margin,50.11%,-128.05%,-45.90%,-,-79.63%,-13.81%,-76.15%,30.34%,110.51%,-91.07%,-85.61%,802.64%,-134.18%,-154.99%,177.06%,-136.47%,208.85%,-17.00%,16.20%,6.54%,Upgrade
29,Free Cash Flow Margin,-14.22%,-,-71.36%,-,-110.54%,-,-497.78%,5.78%,185.19%,1495.83%,1654.05%,4566.80%,-257.03%,-1053.22%,-721.26%,-,1140.66%,288.00%,62.63%,-,Upgrade
30,EBITDA,-713.73,119.15,-339,-3763,-112.87,-141.3,-466.8,2376,-22.71,-351.4,-373.75,-,-,-2180,-,-1416,-1524,-481.32,7113,2007,Upgrade
31,EBITDA Margin,-8.25%,6.67%,-30.07%,-,-7.13%,-8.73%,-36.25%,34.25%,-1.51%,-23.59%,-27.75%,-,-,-179.05%,-,-91.45%,-97.25%,-19.60%,21.36%,12.79%,Upgrade
32,D&A For EBITDA,662.83,1070,1069,1046,1026,1026,1026,985.23,1144,752.08,752.08,-,-,130.89,-,1127,359.34,359.34,372.52,1379,Upgrade
33,EBIT,-1377,-950.45,-1408,-4809,-1139,-1168,-1493,1391,-1166,-1103,-1126,-3077,-1805,-2311,-2126,-2543,-1883,-840.66,6740,628.25,Upgrade
34,EBIT Margin,-15.91%,-53.24%,-124.85%,-,-71.95%,-72.15%,-115.97%,20.04%,-77.56%,-74.09%,-83.58%,-251.98%,-202.29%,-189.80%,-213.99%,-164.27%,-120.18%,-34.24%,20.24%,4.00%,Upgrade
35,Effective Tax Rate,2.19%,-,-,-,-,-,-,18.77%,-,-,-,13.33%,-,-,20.00%,-,12.44%,-,20.00%,20.00%,Upgrade
36,Revenue as Reported,8653,1785,1128,-3405,1583,1619,1288,6937,1504,1489,1347,1221,892.18,1218,993.56,1548,1567,2455,33304,15689,Upgrade
