,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+10 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+10 Quarters
0,"Property, Plant & Equipment",7916790,8370741,4083635,4163738,4429415,6569295,6480109,6487515,5417694,8914460,8812318,8778475,8439237,8386708,8001085,7944365,7736707,7394995,7325909,7212069,Upgrade
1,Cash & Equivalents,2188039,1287600,1010417,1108047,1333593,1250511,1236443,1349751,1086920,460100,511987,552820,495132,785655,537586,361466,726543,595398,704732,756312,Upgrade
2,Accounts Receivable,672249,722536,693699,660636,772358,503790,473321,469253,534348,703477,580620,526694,423686,463912,457300,433519,421028,403289,389236,402972,Upgrade
3,Other Receivables,125377,60964,102547,211750,249064,443611,456303,292626,118747,756001,528142,529743,141543,144057,87976,158234,243109,215469,249090,214522,Upgrade
4,Investment In Debt and Equity Securities,387602,372402,203007,153142,173088,236974,152961,155818,215818,2048225,2102096,196012,197043,197406,2136069,1581662,146156,1164327,1364128,1392535,Upgrade
5,Goodwill,32079,35603,39127,42650,46174,49802,53430,68404,72927,521.14,1855,3400,4946,7933,8037,9583,11128,12674,14219,15765,Upgrade
6,Other Intangible Assets,112250,112597,112996,113699,114099,3895695,4032862,4363341,115699,1488861,1614277,1632907,1988884,2035716,2038550,2047926,2011008,2057928,2071412,2069249,Upgrade
7,Loans Receivable Current,310000,990000,990000,835000,890000,144000,144000,84000,94000,-,-,2500,-,-,-,-,71957,107803,138098,132312,Upgrade
8,Other Current Assets,3941178,3463197,3203572,3293689,2732740,2496633,2579632,2274613,2333780,814019,856133,2905759,2858897,2777035,806484,861058,1748926,914205,933033,951725,Upgrade
9,Trading Asset Securities,-,-,-,-,-,-,-,-,-,-,-,84.75,123341,-,-,-,-,-,-,-,Upgrade
10,Deferred Long-Term Tax Assets,180000,171632,160666,139409,130040,22249,21697,20652,20652,9696,9696,9696,9696,9791,9791,9791,9791,10159,10159,10159,Upgrade
11,Other Long-Term Assets,2933971,2547646,6944831,6664631,6849875,1285659,1285880,1861841,7002828,1019645,1234029,1121091,1393430,1292848,1332524,1502030,1403023,1406781,1330662,1378837,Upgrade
12,Total Assets,18799536,18134916,17544497,17386392,17720446,16898218,16916639,17427813,17013411,16215006,16251152,16259182,16075835,16101059,15415402,14909633,14529375,14283027,14530678,14536457,Upgrade
13,Current Portion of Long-Term Debt,610052,548943,620881,482422,358750,300473,351772,327571,354039,275531,273633,248026,278334,169044,204836,220878,322588,234028,-,267737,Upgrade
14,Long-Term Debt,1992309,1865657,2166218,2395118,2584728,2833275,2994106,3024378,2719526,2909583,2850782,2218373,2084650,2231388,2173125,2232757,2088928,2239014,2252781,2207348,Upgrade
15,Accounts Payable,301512,282532,297900,293288,313782,337253,303575,216766,342509,292528,278157,374667,300426,276018,266398,290111,303389,279578,217564,322410,Upgrade
16,Accrued Expenses,958064,401286,263817,264423,252498,278360,258246,243968,211175,111230,109244,87928,128785,94471,85791,92991,133910,188279,203981,132839,Upgrade
17,Current Income Taxes Payable,470194,432157,337130,235937,392257,166997,168592,16817,424324,541632,405331,56044,64906,113451,72986,20610,187563,47131,25626,17184,Upgrade
18,Current Unearned Revenue,1144345,1352852,1122039,498049,660566,211903,238310,330022,172313,146484,204992,310640,204306,212196,273652,324823,162502,183881,225843,262061,Upgrade
19,Other Current Liabilities,514133,1348137,1401493,1583430,1429491,1218254,397262,391069,423296,545700,337094,238545,303368,497586,307664,234383,377024,173522,381219,304207,Upgrade
20,Long-Term Unearned Revenue,4599772,4537830,4523177,4588212,4584182,5159755,5099115,5611725,5190796,3962177,4523147,5931398,6048082,6698072,6627847,6378074,5325284,6010200,5983179,6011680,Upgrade
21,Long-Term Deferred Tax Liabilities,55543,44756,45055,44974,44651,47413,45360,42223,42211,27690,31614,32025,32161,20794,21032,20794,20924,26366,26366,26509,Upgrade
22,Other Long-Term Liabilities,411528,393510,362897,346789,315596,553292,544057,608258,611097,528884,458196,457614,433383,362694,366886,372376,306397,264698,282038,293996,Upgrade
23,Total Liabilities,11591122,11444210,11406445,10894297,11515531,11287373,10713847,11151142,10885488,9863368,9690865,10947298,11047799,11233918,10720181,10440232,9571422,9941539,10399929,10254606,Upgrade
24,Common Stock,3299999,3299999,3299999,3299999,3299999,3299999,3299999,3299999,3299999,3299999,3299999,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,Upgrade
25,Additional Paid-In Capital,44477,44477,44477,44477,44477,44477,44477,44477,44477,44477,41897,41897,41897,41897,41897,41897,41897,41897,41897,41897,Upgrade
26,Retained Earnings,2192474,1844973,1377564,1792789,1592650,1041354,1541036,1756651,1608861,1791570,2058646,1127303,871883,1026473,876261,668851,1177402,555051,394238,508805,Upgrade
27,Treasury Stock,-,-,-,-,-,-,-,-,-,-,-,-,-0.03,-0.03,-0.03,-0.03,-0.03,-,-,-,Upgrade
28,Comprehensive Income & Other,79176,79176,35571,35571,35571,35571,35571,-7268,-7275,-6129,-16329,-14112,-14112,-14112,-24312,-24312,-41248,-56548,-56548,-58633,Upgrade
29,Total Common Equity,5616127,5268626,4757612,5172837,4972698,4421402,4921084,5093860,4946063,5129918,5384213,4155088,3899667,4054257,3893845,3686435,4178050,3540400,3379587,3492069,Upgrade
30,Minority Interest,1592286,1422081,1380441,1319259,1232217,1189443,1281708,1182811,1181860,1221720,1176075,1156796,1128369,812884,801376,782966,779902,801088,751163,789782,Upgrade
31,Shareholders' Equity,7208413,6690707,6138053,6492095,6204915,5610845,6202792,6276671,6127923,6351638,6560288,5311884,5028037,4867141,4695222,4469401,4957952,4341488,4130749,4281851,Upgrade
32,Total Liabilities & Equity,18799536,18134916,17544497,17386392,17720446,16898218,16916639,17427813,17013411,16215006,16251152,16259182,16075835,16101059,15415402,14909633,14529375,14283027,14530678,14536457,Upgrade
33,Total Debt,3136032,2651149,3052937,3039195,3522509,3314146,3659332,3690294,3467767,3707042,3343089,3458439,3532382,2958635,2697925,2706071,2754429,2767885,3054113,2883721,Upgrade
34,Net Cash / Debt,-947993,-1363549,-2042520,-1931148,-2188917,-2063635,-2422889,-2340543,-2380848,-3246942,-2831102,-2905534,-2913909,-2172980,-2160339,-2344605,-2027887,-2172487,-2349381,-2127409,Upgrade
35,Net Cash Per Share,-2872.71,-4133.23,-6191.53,-5851.96,-6634.98,-6039.21,-7340.80,-7168.89,-7936.09,-10279.38,-9918.06,-8804.65,-7958.76,-6584.87,-6547.32,-7103.87,-6154.27,-6589.41,-7124.02,-6446.69,Upgrade
36,Filing Date Shares Outstanding,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,Upgrade
37,Total Common Shares Outstanding,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,Upgrade
38,Book Value Per Share,17018.57,15965.54,14417.01,15675.27,15068.79,13398.19,14912.38,15435.94,14988.07,15545.21,16315.80,12591.17,11817.17,12285.63,11799.53,11171.02,12660.76,10728.48,10241.17,10582.03,Upgrade
39,Tangible Book Value,5471798,5120426,4605489,5016487,4812425,475906,834792,662115,4757438,3640536,3768082,2518780,1905837,2010609,1847258,1628926,2155914,1469798,1293956,1407055,Upgrade
40,Tangible Book Value Per Share,16581.21,15516.45,13956.03,15201.48,14583.11,1442.14,2529.67,2006.41,14416.48,11031.93,11418.43,7632.67,5775.26,6092.75,5597.75,4936.14,6533.07,4453.93,3921.08,4263.80,Upgrade
41,Buildings,5045620,5085377,5073130,5039657,5040297,6853061,6865119,6835831,5059824,6210237,6145478,6060165,6124127,6074315,6070754,6052837,6037580,6001997,5935679,5908355,Upgrade
42,Construction In Progress,4958750,5338008,1009672,1122147,1322665,2680566,2483028,2393412,2048636,5335095,5235681,5052840,4607534,4479260,4042324,3928173,3702500,3257505,3174703,3008356,Upgrade
