,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+10 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+10 Quarters
0,Market Capitalization,17918996,18380996,19007996,19700996,19469996,17192996,15278997,13991997,13529997,10460998,16400996,16599000,24030000,21780000,15600000,10800000,11280000,10650000,7050000,5400000,4800000,Upgrade
1,Market Cap Growth,6.91%,6.91%,24.41%,40.80%,43.90%,64.35%,-6.84%,-15.71%,-43.70%,-51.97%,5.13%,53.69%,113.03%,104.51%,121.28%,100.00%,135.00%,87.83%,-,-,-,Upgrade
2,Enterprise Value,20459275,21166626,22430956,22951402,22891129,20446074,18983594,17515351,17091581,14929660,20408173,20661330,28072204,24765863,18526952,13927571,14095733,13623575,10150544,8317191,7711001,Upgrade
3,Last Close Price,54300.00,55700.00,57600.00,59700.00,56688.09,48628.22,43214.72,37925.66,34884.45,26971.64,42286.76,41470.22,59313.63,53759.92,37527.81,25980.79,27135.49,25619.94,16959.68,12788.47,11367.53,Upgrade
4,PE Ratio,8.98,9.21,8.68,10.71,10.06,12.49,31.73,18.84,8.35,-,7.90,9.11,36.99,-,14.08,10.08,12.86,12.27,39.83,22.17,17.58,Upgrade
5,PS Ratio,2.03,2.08,2.08,2.37,2.27,2.38,2.88,2.36,1.98,1.42,2.03,2.40,4.95,5.15,2.98,1.93,2.10,1.98,1.47,1.12,0.96,Upgrade
6,PB Ratio,3.19,2.55,2.84,3.21,3.00,2.77,2.72,2.26,2.16,1.71,2.58,2.53,4.52,4.33,3.21,2.30,2.52,2.15,1.62,1.31,1.12,Upgrade
7,P/FCF Ratio,5.44,4.73,4.03,5.02,5.62,6.24,6.54,6.14,8.16,5.06,9.36,15.87,20.32,28.13,-,8.40,15.16,20.51,35.63,-,9.09,Upgrade
8,P/OCF Ratio,4.73,4.73,4.03,5.02,5.62,6.24,6.54,6.14,8.16,5.06,9.36,15.87,20.32,28.13,-,8.40,15.16,20.51,35.63,-,9.09,Upgrade
