,Fiscal Quarter,Q4 2024,Q4 2023
,Period Ending,"Dec '24 Dec 31, 2024","Dec '23 Dec 31, 2023"
0,Revenue,12362,6540
1,Cost of Revenue,9993,6411
2,Gross Profit,2369,129.03
3,"Selling, General & Admin",2174,1113
4,Operating Expenses,2174,1113
5,Operating Income,194.29,-984.04
6,Interest Expense,-9.32,-131.95
7,Interest & Investment Income,950.65,739.26
8,Other Non Operating Income (Expenses),-0.65,1447
9,Pretax Income,1135,1070
10,Income Tax Expense,-,56.48
11,Net Income,1135,1014
12,Net Income to Common,1135,1014
13,Shares Outstanding (Basic),12,12
14,Shares Outstanding (Diluted),12,12
15,EPS (Basic),94.58,84.46
16,EPS (Diluted),94.58,84.46
17,Gross Margin,19.16%,1.97%
18,Operating Margin,1.57%,-15.05%
19,Profit Margin,9.18%,15.50%
20,EBIT,194.29,-984.04
21,EBIT Margin,1.57%,-15.05%
22,Effective Tax Rate,-,5.28%
23,Revenue as Reported,12362,6540
