,Fiscal Quarter,Current,Q4 2024,Q4 2023
,Period Ending,"Feb '25 Feb 27, 2025","Dec '24 Dec 31, 2024","Dec '23 Dec 31, 2023"
0,Market Capitalization,60000,56400,43200
1,Last Close Price,5000.00,4700.00,3600.00
2,PE Ratio,-,26.25,42.62
3,PS Ratio,1.29,2.98,6.61
4,PB Ratio,0.50,0.47,0.36
5,P/TBV Ratio,0.47,0.47,0.36
6,Debt / Equity Ratio,0.00,0.00,0.07
7,Quick Ratio,31.40,31.40,6.08
8,Current Ratio,36.98,36.98,7.35
9,Return on Capital Employed (ROCE),-,-0.66%,-
10,Earnings Yield,-1.68%,3.81%,2.35%
