,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q4 2023,Q3 2023
,Period Ending,"Mar '25 Mar 10, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023"
0,Market Capitalization,93000,90000,105000,57000,63000
1,Enterprise Value,126388,124671,85122,37122,43122
2,Last Close Price,3100.00,3000.00,3500.00,1900.00,2100.00
3,PE Ratio,-,-,-,6.89,-
4,PS Ratio,12.51,26.42,-,17.36,-
5,PB Ratio,0.35,0.34,0.39,0.21,-
6,P/TBV Ratio,0.34,0.34,0.39,0.21,-
7,P/FCF Ratio,37.59,53.05,-,137.56,-
8,P/OCF Ratio,37.59,53.05,-,137.56,-
9,EV/Sales Ratio,16.96,36.59,-,11.30,-
10,EV/FCF Ratio,52.07,73.48,-,89.58,-
11,Debt / Equity Ratio,0.13,0.13,0.13,0.13,-
12,Debt / FCF Ratio,14.18,20.01,-,87.12,-
13,Asset Turnover,0.00,-,-,-,
14,Inventory Turnover,-,1.92,-,-,-
15,Quick Ratio,0.68,0.68,5.57,6.78,-
16,Current Ratio,1.29,1.29,7.20,6.83,-
17,Return on Equity (ROE),-6.23%,-,-,-,
18,Return on Assets (ROA),-0.36%,-,-,-,
19,Return on Capital (ROIC),-0.38%,-,-,-,
20,Earnings Yield,-4.78%,3.46%,6.93%,14.51%,-0.57%
21,FCF Yield,2.66%,1.89%,-,0.73%,-
