,Fiscal Quarter,Q4 2024,Q3 2024,Q4 2023,Q3 2023,Q2 2017,Q1 2017,Q2 2016,Q1 2016,Q2 2014,Q1 2014,Q2 2013,Q1 2013
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '17 Jun 30, 2017","Mar '17 Mar 31, 2017","Jun '16 Jun 30, 2016","Mar '16 Mar 31, 2016","Jun '14 Jun 30, 2014","Mar '14 Mar 31, 2014","Jun '13 Jun 30, 2013","Mar '13 Mar 31, 2013"
0,Revenue,162025,50225,46562,21340,56919,54703,36129,28196,35492,28280,34481,25897
1,Revenue Growth (YoY),184.66%,-8.19%,28.88%,-24.32%,60.37%,93.43%,4.78%,8.88%,-,-,-,-
2,Cost of Revenue,152591,43445,43173,15760,52127,48672,31351,23484,26996,21589,27955,19673
3,Gross Profit,9433,6779,3389,5580,4792,6031,4778,4712,8495,6691,6526,6224
4,"Selling, General & Admin",8881,5225,3400,3595,4522,3885,3896,3494,6855,6280,6349,6003
5,Operating Expenses,8881,5225,3400,3595,4522,3885,3896,3494,6855,6280,6349,6003
6,Operating Income,552.89,1555,-11.13,1985,269.97,2146,882.63,1218,1640,410.48,176.96,221.44
7,Interest Expense,-,-,-,-,-15.79,-12.03,-4.47,-5.53,-,-,-,-
8,Interest & Investment Income,3251,1443,358.38,441.39,976.88,537.49,75.01,66.87,228.73,198.9,262.43,201.73
9,Other Non Operating Income (Expenses),-,-114.19,-30.41,236.01,-737.86,-368.98,-223.09,-110.05,-18.61,3.94,-15.06,-139.01
10,Pretax Income,3803,2884,316.85,2663,493.21,2302,730.08,1169,1851,613.32,424.32,284.16
11,Income Tax Expense,760.73,594.39,99.73,532.5,123.71,472.95,191.03,256.38,161.7,134.93,337.97,225.37
12,Earnings From Continuing Operations,3043,2289,217.11,2130,369.5,1829,539.05,912.99,1689,478.39,86.35,58.79
13,Minority Interest in Earnings,-,-,-,-,-,-,-,-,-231.65,-207.54,-484.95,-323.39
14,Net Income,3043,2289,217.11,2130,369.5,1829,539.05,912.99,1457,270.85,-398.6,-264.6
15,Net Income to Common,3043,2289,217.11,2130,369.5,1829,539.05,912.99,1457,270.85,-398.6,-264.6
16,Net Income Growth,723.48%,25.15%,-59.72%,133.30%,-74.64%,575.32%,-,-,-,-,-,-
17,Shares Outstanding (Basic),6,6,4,8,9,6,7,7,6,6,5,6
18,Shares Outstanding (Diluted),6,6,4,8,9,6,7,7,6,6,5,6
19,Shares Change (YoY),-30.67%,-1.28%,-50.15%,17.93%,50.29%,7.32%,58.52%,10.64%,-,-,-,-
20,EPS (Basic),487.00,361.00,61.00,273.00,41.00,284.75,75.50,138.00,243.00,45.25,-88.50,-44.25
21,EPS (Diluted),487.00,361.00,61.00,273.00,41.00,284.75,75.50,138.00,243.00,45.25,-88.50,-44.25
22,EPS Growth,1087.80%,26.78%,-19.21%,97.83%,-83.13%,529.28%,-,-,-,-,-,-
23,Free Cash Flow,-5564,-,-26966,-,-12447,-12447,2526,2526,-1256,-1256,3268,3268
24,Free Cash Flow Per Share,-890.55,-,-7576.33,-,-1381.13,-1937.68,353.85,381.86,-209.53,-209.91,725.48,546.44
25,Dividend Per Share,-,600.000,-,-,-,-,-,-,-,-,-,-
26,Gross Margin,5.82%,13.50%,7.28%,26.15%,8.42%,11.02%,13.23%,16.71%,23.94%,23.66%,18.93%,24.03%
27,Operating Margin,0.34%,3.10%,-0.02%,9.30%,0.47%,3.92%,2.44%,4.32%,4.62%,1.45%,0.51%,0.86%
28,Profit Margin,1.88%,4.56%,0.47%,9.98%,0.65%,3.34%,1.49%,3.24%,4.11%,0.96%,-1.16%,-1.02%
29,Free Cash Flow Margin,-3.43%,-,-57.91%,-,-21.87%,-22.75%,6.99%,8.96%,-3.54%,-4.44%,9.48%,12.62%
30,EBITDA,715.54,1744,178.04,-,379.78,2255,1035,1371,-,-,-,-
31,EBITDA Margin,0.44%,3.47%,0.38%,-,0.67%,4.12%,2.87%,4.86%,-,-,-,-
32,D&A For EBITDA,162.65,189.17,189.17,-,109.81,109.81,152.56,152.56,-,-,-,-
33,EBIT,552.89,1555,-11.13,1985,269.97,2146,882.63,1218,1640,410.48,176.96,221.44
34,EBIT Margin,0.34%,3.10%,-0.02%,9.30%,0.47%,3.92%,2.44%,4.32%,4.62%,1.45%,0.51%,0.85%
35,Effective Tax Rate,20.00%,20.61%,31.48%,20.00%,25.08%,20.54%,26.17%,21.92%,8.74%,22.00%,79.65%,79.31%
36,Revenue as Reported,162025,50225,46562,21340,56919,54703,36129,28196,35492,28280,34481,25897
