,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2018,Q1 2018,+16 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '18 Jun 30, 2018","Mar '18 Mar 31, 2018",+16 Quarters
0,Market Capitalization,41000000,21400000,11060000,7080000,5620000,6000000,7900000,5140000,5400000,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
1,Market Cap Growth,256.67%,256.67%,40.00%,37.74%,4.07%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
2,Enterprise Value,44409952,24884336,15051860,11354522,9894522,10220720,12076459,9655875,9723497,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
3,Last Close Price,205000.00,107000.00,55300.00,35034.30,27809.71,29690.08,37857.46,24631.31,25877.25,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
4,PE Ratio,33.36,14.72,10.41,8.36,17.10,49.98,-61.59,-,-50.68,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
5,PS Ratio,3.09,1.60,0.87,0.54,0.44,0.50,0.64,0.42,0.46,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
6,PB Ratio,11.71,5.42,3.10,2.15,1.93,2.06,2.75,1.81,1.69,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
7,P/TBV Ratio,6.13,6.13,3.60,2.55,2.36,2.52,3.35,2.22,2.05,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
8,P/FCF Ratio,53.19,27.76,11.18,16.04,6.69,11.55,-,6.75,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
9,P/OCF Ratio,20.32,20.32,12.42,17.68,5.67,-,9.24,3.82,9.34,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
10,EV/Sales Ratio,3.35,1.86,1.18,0.87,0.77,0.86,0.98,0.79,0.83,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
11,EV/EBITDA Ratio,14.68,7.61,5.02,4.19,4.99,6.29,11.16,9.69,7.48,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
12,EV/EBIT Ratio,24.70,12.18,8.99,7.76,11.65,16.99,44.67,71.43,24.70,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
13,EV/FCF Ratio,57.62,32.28,15.21,25.73,11.78,19.68,-,12.69,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
14,Debt / Equity Ratio,0.87,0.87,0.97,1.18,1.39,1.39,1.41,1.43,1.33,1.41,-,1.21,-,1.31,1.35,-,1.55,1.55,-,1.37,1.32,Upgrade
15,Debt / EBITDA Ratio,1.13,0.98,1.38,0.97,1.34,1.68,2.97,3.56,2.67,17.50,-,1.63,-,1.74,2.27,-,2.10,1.67,-,3.54,3.35,Upgrade
16,Debt / FCF Ratio,4.45,4.45,3.50,8.83,4.82,7.79,-,5.32,-,-,-,-,-,-,-,-,-21.81,-,-,-,-,Upgrade
17,Asset Turnover,1.50,1.19,-,-,1.21,1.22,1.14,0.84,-,-,-,-,1.22,-,-,-,-,-,0.55,0.91,Upgrade,
18,Inventory Turnover,4.19,4.05,3.34,-,-,4.11,3.75,3.21,2.35,-,-,-,-,3.21,-,-,-,-,-,2.46,4.41,Upgrade
19,Quick Ratio,0.35,0.35,0.32,0.38,-,0.20,0.23,0.19,0.15,0.23,-,0.08,-,0.10,0.21,-,-,0.25,-,0.27,0.44,Upgrade
20,Current Ratio,1.05,1.05,0.97,0.97,-,0.87,0.90,0.92,0.94,0.88,-,0.93,-,0.87,0.91,-,-,0.80,-,0.99,0.93,Upgrade
21,Return on Equity (ROE),40.76%,27.86%,64.92%,39.90%,5.63%,5.00%,-3.05%,11.65%,-,-,-,-,32.42%,-,-,39.14%,-,-,11.58%,12.72%,Upgrade,
22,Return on Assets (ROA),14.65%,8.50%,-,-,5.00%,3.10%,1.64%,4.33%,-,-,-,-,8.47%,-,-,-,-,-,5.53%,4.77%,Upgrade,
23,Return on Capital (ROIC),19.76%,12.17%,24.35%,15.74%,7.22%,4.95%,2.61%,6.51%,-,-,-,-,12.69%,-,-,12.81%,-,-,6.93%,5.99%,Upgrade,
24,Return on Capital Employed (ROCE),34.29%,38.96%,32.23%,27.43%,-,11.04%,4.55%,2.23%,6.58%,-,-,24.33%,-,26.29%,23.18%,-,-,12.54%,-,11.29%,10.72%,Upgrade
25,Earnings Yield,3.00%,6.80%,9.60%,11.96%,5.85%,2.00%,-1.62%,-5.27%,-1.97%,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
26,FCF Yield,1.88%,3.60%,8.95%,6.23%,14.95%,8.66%,3.65%,14.81%,3.70%,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
