,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q1 2020,Q4 2019,Q3 2019,Q2 2019,+8 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019","Jun '19 Jun 30, 2019",+8 Quarters
0,Revenue,1557846,1211021,1188331,1077925,1089324,725538,966030,302578,819430,476325,561861,354580,1564920,400916,433869,447086,241260,817435,874038,18923,Upgrade
1,Revenue Growth (YoY),43.01%,66.91%,23.01%,256.25%,32.94%,52.32%,71.93%,-14.67%,-47.64%,18.81%,29.50%,-20.69%,548.64%,-50.95%,-50.36%,2262.72%,-39.67%,27.40%,-2.89%,44.41%,Upgrade
2,Cost of Revenue,1465039,922644,1023310,953464,983757,676573,917574,274415,788386,445833,530880,332122,1491279,376765,398680,418835,226261,804922,843857,16406,Upgrade
3,Gross Profit,92808,288376,165021,124462,105568,48964,48456,28164,31044,30492,30981,22458,73641,24152,35189,28251,14999,12513,30180,2517,Upgrade
4,"Selling, General & Admin",-16879,109940,89651,68954,66174,19242,20108,15257,17761,16780,18660,14172,43304,13034,24365,18888,13620,18152,24943,1877,Upgrade
5,Operating Expenses,-16879,109940,89651,68954,66174,19242,20108,15257,17761,16780,18660,14172,43304,13034,24365,18888,13620,18152,24943,1877,Upgrade
6,Operating Income,109687,178436,75370,55507,39393,29723,28348,12907,13282,13712,12321,8286,30337,11118,10824,9363,1380,-5639,5238,639.94,Upgrade
7,Interest Expense,-30420,-17207,-18214,-19785,-18097,-15928,-15868,-12808,-10415,-9934,-8763,-7053,-8022,-7332,-5811,-5222,-5959,-5493,-7048,-5630,Upgrade
8,Interest & Investment Income,1516,2203,470.13,305.47,255.64,841.34,2977,172.53,819.14,596.24,1701,356.03,675.51,1152,1095,669.57,2986,1338,2648,4071,Upgrade
9,Earnings From Equity Investments,446.68,149.28,167.43,103.79,236.33,172.17,230.39,94.22,85.3,3.46,261.88,9.11,208.61,201.58,83.75,43.88,9.2,270.23,326.25,-,Upgrade
10,Other Non Operating Income (Expenses),27781,-15864,-21846,-10418,15213,2281,2166,1853,19325,7356,9537,4389,7198,4650,7423,5519,2000,12857,16135,1028,Upgrade
11,Pretax Income,109010,147717,35947,25713,37001,17089,17853,2220,23097,11734,15058,5987,30397,9789,13616,10373,416.04,3333,17299,109.81,Upgrade
12,Income Tax Expense,13628,45245,20758,12002,7403,3600,4208,763.41,4958,2408,3143,1361,6246,2065,2836,2268,102.91,209.23,4115,40.67,Upgrade
13,Earnings From Continuing Operations,95383,102471,15190,13711,29598,13489,13646,1456,18138,9326,11915,4626,24152,7725,10779,8105,313.13,3124,13184,69.14,Upgrade
14,Minority Interest in Earnings,-3795,-10438,-4275,-3253,-4902,-4346,-5183,-911.77,-3945,-3367,-3994,-2067,-5846,-1578,-3514,-2859,-249.76,-4016,-5428,-,Upgrade
15,Net Income,91588,92033,10915,10459,24696,9143,8462,544.35,14194,5959,7921,2559,18305,6147,7266,5246,63.37,-891.97,7757,69.14,Upgrade
16,Net Income to Common,91588,92033,10915,10459,24696,9143,8462,544.35,14194,5959,7921,2559,18305,6147,7266,5246,63.37,-891.97,7757,69.14,Upgrade
17,Net Income Growth,270.87%,906.57%,28.98%,1821.35%,73.99%,53.44%,6.83%,-78.73%,-22.46%,-3.06%,9.02%,-51.23%,28784.13%,-,-6.33%,7487.76%,-97.02%,-,875.69%,-82.57%,Upgrade
18,Shares Outstanding (Basic),38,38,38,-,38,38,38,38,-,-,38,-,-,-,-,-,23,23,23,11,Upgrade
19,Shares Outstanding (Diluted),38,38,38,-,38,38,38,38,-,-,38,-,-,-,-,-,23,23,23,11,Upgrade
20,Shares Change (YoY),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,182.16%,-,-,Upgrade
21,EPS (Basic),2402.84,2414.53,286.35,-,647.90,239.88,222.01,14.28,-,-,207.82,-,-,-,-,-,2.76,-39.00,337.43,6.02,Upgrade
22,EPS (Diluted),2402.84,2414.53,286.35,-,647.90,239.88,222.01,14.28,-,-,207.82,-,-,-,-,-,2.76,-39.00,337.43,6.02,Upgrade
23,EPS Growth,270.87%,906.57%,28.98%,-,-,-,6.83%,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
24,Free Cash Flow,239673,-44513,-60630,-60630,92291,17699,-97001,-268248,-60786,-30481,-,-110108,-244648,19963,-192859,-192859,-40087,-80667,-80667,-,Upgrade
25,Free Cash Flow Per Share,6287.91,-1167.82,-1590.66,-,2421.30,464.33,-2544.85,-7037.58,-,-,-,-,-,-,-,-,-1743.81,-3527.03,-3509.08,-,Upgrade
26,Dividend Per Share,-,-,-,-,-,-,-,-,700.000,-,-,-,-,-,-,-,-,-,-,-,Upgrade
27,Gross Margin,5.96%,23.81%,13.89%,11.55%,9.69%,6.75%,5.02%,9.31%,3.79%,6.40%,5.51%,6.33%,4.71%,6.02%,8.11%,6.32%,6.22%,1.53%,3.45%,13.30%,Upgrade
28,Operating Margin,7.04%,14.73%,6.34%,5.15%,3.62%,4.10%,2.93%,4.27%,1.62%,2.88%,2.19%,2.34%,1.94%,2.77%,2.49%,2.09%,0.57%,-0.69%,0.60%,3.38%,Upgrade
29,Profit Margin,5.88%,7.60%,0.92%,0.97%,2.27%,1.26%,0.88%,0.18%,1.73%,1.25%,1.41%,0.72%,1.17%,1.53%,1.67%,1.17%,0.03%,-0.11%,0.89%,0.37%,Upgrade
30,Free Cash Flow Margin,15.38%,-3.68%,-5.10%,-5.62%,8.47%,2.44%,-10.04%,-88.65%,-7.42%,-6.40%,-,-31.05%,-15.63%,4.98%,-44.45%,-43.14%,-16.62%,-9.87%,-9.23%,-,Upgrade
31,EBIT,109687,178436,75370,55507,39393,29723,28348,12907,13282,13712,12321,8286,30337,11118,10824,9363,1380,-5639,5238,639.94,Upgrade
32,EBIT Margin,7.04%,14.73%,6.34%,5.15%,3.62%,4.10%,2.93%,4.27%,1.62%,2.88%,2.19%,2.34%,1.94%,2.77%,2.49%,2.09%,0.57%,-0.69%,0.60%,3.38%,Upgrade
33,Effective Tax Rate,12.50%,30.63%,57.74%,46.68%,20.01%,21.06%,23.57%,34.40%,21.47%,20.52%,20.87%,22.73%,20.55%,21.09%,20.83%,21.86%,24.73%,6.28%,23.78%,37.03%,Upgrade
34,Revenue as Reported,1557846,1211021,1188331,1077925,1089324,725538,966030,302578,819430,476325,561861,354580,1564920,400916,433869,447086,241260,817435,874038,18923,Upgrade
