,Fiscal Quarter,Q4 2024,Q4 2023,Q2 2022,Q1 2022,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Dec '23 Dec 31, 2023","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,216.7,556.73,407.09,-,-,-
1,Short-Term Investments,-,-,4765,-,-,-
2,Trading Asset Securities,-,5649,-,-,-,-
3,Cash & Short-Term Investments,216.7,6206,5172,-,-,-
4,Accounts Receivable,1830,141.54,6582,-,-,-
5,Other Receivables,-,296.2,296.27,-,-,-
6,Receivables,1830,437.74,6878,-,-,-
7,Inventory,6459,14828,28001,-,-,-
8,Prepaid Expenses,323.8,169.44,44.67,-,-,-
9,Other Current Assets,6998,77.52,0.17,-,-,-
10,Total Current Assets,15827,21718,40096,-,-,-
11,"Property, Plant & Equipment",2444,3582,3800,-,-,-
12,Long-Term Investments,9950,-,-,-,-,-
13,Other Intangible Assets,1034,1081,134.88,-,-,-
14,Other Long-Term Assets,541.36,-,1065,-,-,-
15,Total Assets,29797,26382,45096,-,-,-
16,Accounts Payable,2055,1592,15984,-,-,-
17,Accrued Expenses,60,744.55,489.56,-,-,-
18,Short-Term Debt,-,-,7388,-,-,-
19,Current Income Taxes Payable,1123,158.04,95.43,-,-,-
20,Other Current Liabilities,289.91,66.07,57.5,-,-,-
21,Total Current Liabilities,3528,2560,24015,-,-,-
22,Other Long-Term Liabilities,30,-,30,-,-,-
23,Total Liabilities,3558,2560,24045,-,-,-
24,Common Stock,19999,19999,11000,-,-,-
25,Additional Paid-In Capital,363.35,363.35,3842,-,-,-
26,Retained Earnings,5876,3459,6210,-,-,-
27,Shareholders' Equity,26239,23821,21051,-,-,-
28,Total Liabilities & Equity,29797,26382,45096,-,-,-
29,Total Debt,-,-,7388,-,-,-
30,Net Cash (Debt),216.7,6206,-2216,-,-,-
31,Net Cash Per Share,108.35,3102.96,-1107.29,-,-,-
32,Filing Date Shares Outstanding,2,2,2,2,1.99,1.99
33,Total Common Shares Outstanding,2,2,2,2,1.99,1.99
34,Working Capital,12300,19158,16082,-,-,-
35,Book Value Per Share,13120.00,11911.00,10517.83,-,-,-
36,Tangible Book Value,25205,22740,20917,-,-,-
37,Tangible Book Value Per Share,12603.10,11370.24,10450.44,-,-,-
38,Buildings,3928,4383,-,-,-,-
39,Machinery,43.96,1827,-,-,-,-
40,Construction In Progress,99.64,99.64,-,-,-,-
