,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters
0,Revenue,71787,53124,47728,45319,45325,52420,45408,42847,49046,47166,43470,49612,42400,33767,45306,40429,59205,40559,79077,94237,Upgrade
1,Revenue Growth (YoY),58.38%,1.34%,5.11%,5.77%,-7.59%,11.14%,4.46%,-13.64%,15.68%,39.68%,-4.05%,22.72%,-28.39%,-16.75%,-42.71%,-57.10%,-43.26%,-55.52%,-22.93%,-20.98%,Upgrade
2,Cost of Revenue,49785,37428,33087,33268,37627,39248,37054,34906,40112,38178,35954,37584,36378,31680,40207,32652,53174,38391,61876,73717,Upgrade
3,Gross Profit,22002,15696,14641,12051,7698,13173,8354,7941,8933,8988,7516,12029,6021,2087,5100,7777,6031,2168,17201,20521,Upgrade
4,"Selling, General & Admin",16667,12515,11502,10535,13507,13457,10622,11919,15988,15970,19870,11023,12200,6869,10148,12160,15093,13986,15683,20841,Upgrade
5,Operating Expenses,16667,12515,11502,10535,13507,13457,10622,11919,15988,15970,19870,11023,12200,6869,10148,12160,15093,13986,15683,20841,Upgrade
6,Operating Income,5334,3181,3138,1516,-5808,-283.95,-2268,-3979,-7055,-6983,-12354,1005,-6178,-4782,-5048,-4383,-9062,-11818,1518,-320.51,Upgrade
7,Interest Expense,-963.75,-1153,-1369,-1493,-3285,-821.83,-1093,-1826,-1868,-3351,-424.5,-418.4,-424.28,-540.61,-610.14,-635.14,-1891,-1788,-1713,-1773,Upgrade
8,Interest & Investment Income,33.05,89.71,89.61,126.18,92.92,171.54,436.43,145.17,491.22,638.78,121.61,1462,31358,75.55,70.46,110.12,121.45,198.38,264.2,190.08,Upgrade
9,Other Non Operating Income (Expenses),-1447,-154.35,-210.53,28.2,-864.04,-59.45,56.35,-713.8,-3143,-280.96,-7861,-428.41,33946,-148.72,-372.64,-78.5,3374,142.16,73.12,21753,Upgrade
10,EBT Excluding Unusual Items,2957,1963,1649,177.66,-9865,-993.69,-2869,-6374,-11574,-9976,-20517,1621,58702,-5395,-5961,-4987,-7458,-13265,142.49,19849,Upgrade
11,Asset Writedown,63.64,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
12,Pretax Income,3021,1963,1649,177.66,-9865,-993.69,-2869,-6374,-11574,-9976,-20517,1621,58702,-5395,-5961,-4987,-7458,-13265,142.49,19849,Upgrade
13,Income Tax Expense,-,-,-,-,-,-,-,-,-12.2,21.84,-,-,3298,-,-,-,-,40.03,-,4382,Upgrade
14,Net Income,3021,1963,1649,177.66,-9865,-993.69,-2869,-6374,-11562,-9997,-20517,1621,55403,-5395,-5961,-4987,-7458,-13305,142.49,15468,Upgrade
15,Net Income to Common,3021,1963,1649,177.66,-9865,-993.69,-2869,-6374,-11562,-9997,-20517,1621,55403,-5395,-5961,-4987,-7458,-13305,142.49,15468,Upgrade
16,Shares Outstanding (Basic),13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,8,8,Upgrade
17,Shares Outstanding (Diluted),13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,8,8,Upgrade
18,Shares Change (YoY),-0.03%,-0.57%,-0.10%,-0.05%,-0.07%,0.29%,-0.08%,0.26%,0.01%,0.07%,-0.04%,-0.20%,-0.01%,-0.10%,60.55%,62.02%,62.68%,62.36%,1.13%,0.04%,Upgrade
19,EPS (Basic),238.00,155.00,130.00,14.00,-777.00,-78.00,-226.00,-502.00,-910.00,-786.99,-1615.00,128.00,4361.00,-425.00,-469.00,-393.00,-587.00,-1047.00,18.00,1975.00,Upgrade
20,EPS (Diluted),238.00,155.00,130.00,14.00,-777.00,-78.00,-226.00,-502.00,-910.00,-786.99,-1615.00,128.00,4361.00,-425.00,-469.00,-393.00,-587.00,-1047.00,18.00,1975.00,Upgrade
21,Free Cash Flow,-6045,9653,1143,1317,-,699.64,32.16,1419,-3768,-3768,-9715,-29467,3216,11898,4118,2160,-,-13266,-3364,33062,Upgrade
22,Free Cash Flow Per Share,-476.29,761.99,90.11,103.76,-,54.92,2.53,111.76,-296.60,-296.64,-764.73,-2326.89,253.10,937.22,324.03,170.24,-,-1043.91,-424.93,4221.60,Upgrade
23,Gross Margin,30.65%,29.55%,30.68%,26.59%,16.98%,25.13%,18.40%,18.53%,18.21%,19.05%,17.29%,24.25%,14.20%,6.18%,11.26%,19.24%,10.19%,5.34%,21.75%,21.78%,Upgrade
24,Operating Margin,7.43%,5.99%,6.58%,3.35%,-12.82%,-0.54%,-4.99%,-9.29%,-14.38%,-14.80%,-28.42%,2.03%,-14.57%,-14.16%,-11.14%,-10.84%,-15.31%,-29.14%,1.92%,-0.34%,Upgrade
25,Profit Margin,4.21%,3.70%,3.45%,0.39%,-21.76%,-1.90%,-6.32%,-14.88%,-23.57%,-21.20%,-47.20%,3.27%,130.67%,-15.98%,-13.16%,-12.33%,-12.60%,-32.80%,0.18%,16.41%,Upgrade
26,Free Cash Flow Margin,-8.42%,18.17%,2.39%,2.91%,-,1.33%,0.07%,3.31%,-7.68%,-7.99%,-22.35%,-59.39%,7.58%,35.23%,9.09%,5.34%,-,-32.71%,-4.25%,35.08%,Upgrade
