,Fiscal Quarter,Q4 2024,Q3 2024,Q4 2024,Q1 2024,Q3 2023,Q2 2023,Q1 2023,Q2 2020,Q1 2020,Q4 2019,Q2 2019,Q1 2019,Q4 2018
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Jun '19 Jun 30, 2019","Mar '19 Mar 31, 2019","Dec '18 Dec 31, 2018"
0,Revenue,40625,34447,20966,24630,20575,19697,18147,21240,25925,33191,35115,41313,47807
1,Revenue Growth (YoY),97.45%,74.89%,15.53%,15.96%,-20.64%,-40.66%,-48.32%,-48.59%,-45.77%,-,-,-,-
2,Cost of Revenue,34758,30953,17554,24016,14383,14632,14053,20015,22878,25817,30206,35280,39157
3,Gross Profit,5867,3494,3412,614.63,6192,5064,4094,1226,3048,7374,4908,6034,8650
4,"Selling, General & Admin",6587,4481,2699,2940,2316,1532,2340,1851,3162,3948,3656,4220,4148
5,Operating Expenses,6587,4481,2699,2940,2316,1532,2340,1851,3162,3948,3656,4220,4148
6,Operating Income,-720.3,-987.08,712.53,-2325,3876,3533,1754,-625.13,-114.21,3425,1252,1814,4502
7,Interest Expense,-242.52,-94.59,-259.53,-46.93,-107.32,-541.74,-262.23,-425.57,-485.52,-443.65,-501.55,-526.34,-440.71
8,Interest & Investment Income,5280,10563,2244,23169,20635,6274,8671,410.45,209.44,234.99,1531,2597,355.35
9,Other Non Operating Income (Expenses),2744,-479.58,820.82,-2429,-163.5,6963,-188.07,10.56,85.21,-27.22,116.53,23.16,-100.99
10,Pretax Income,7061,9002,3518,18369,24240,16228,9975,-629.7,-305.08,3189,2398,3908,4316
11,Income Tax Expense,1649,1595,-380.1,3338,4921,1116,562.24,-,-,633,298.32,693.17,814.67
12,Earnings From Continuing Operations,5412,7406,3898,15031,19320,15111,9412,-629.7,-305.08,2556,2100,3215,3501
13,Minority Interest in Earnings,1081,252.79,251.07,279.74,0.74,1.4,0.83,-,-,-,-,-,-
14,Net Income,6493,7659,4149,15310,19320,15113,9413,-629.7,-305.08,2556,2100,3215,3501
15,Net Income to Common,6493,7659,4149,15310,19320,15113,9413,-629.7,-305.08,2556,2100,3215,3501
16,Net Income Growth,-66.39%,-49.32%,-55.93%,-,-,491.15%,348.26%,-,-,-,-,-,-
17,Shares Outstanding (Basic),15,15,15,-,15,-,-,-,-,15,15,15,15
18,Shares Outstanding (Diluted),15,15,15,-,15,-,-,-,-,15,15,15,15
19,Shares Change (YoY),-0.04%,-,-,-,-,-,-,-,-,-,-,-,-
20,EPS (Basic),429.00,506.00,274.00,-,1276.00,-,-,-,-,169.00,139.00,212.50,231.00
21,EPS (Diluted),429.00,506.00,274.00,-,1276.00,-,-,-,-,169.00,139.00,212.50,231.00
22,EPS Growth,-66.38%,-,-,-,-,-,-,-,-,-,-,-,-
23,Free Cash Flow,26394,93710,-,-30730,58774,-29425,-29425,2693,2693,-,7949,7949,-
24,Free Cash Flow Per Share,1743.83,6190.90,-,-,3881.69,-,-,-,-,-,526.19,525.49,-
25,Gross Margin,14.44%,10.14%,16.27%,2.50%,30.10%,25.71%,22.56%,5.77%,11.76%,22.22%,13.98%,14.60%,18.09%
26,Operating Margin,-1.77%,-2.87%,3.40%,-9.44%,18.84%,17.94%,9.66%,-2.94%,-0.44%,10.32%,3.57%,4.39%,9.42%
27,Profit Margin,15.98%,22.23%,19.79%,62.16%,93.90%,76.73%,51.87%,-2.96%,-1.18%,7.70%,5.98%,7.78%,7.32%
28,Free Cash Flow Margin,64.97%,272.04%,-,-124.76%,285.66%,-149.39%,-162.14%,12.68%,10.39%,-,22.64%,19.24%,-
29,EBITDA,-592.17,800.97,-,-705.9,4423,4475,2697,671.81,1183,4762,2599,3160,-
30,EBITDA Margin,-1.46%,2.33%,-,-2.87%,21.50%,22.72%,14.86%,3.16%,4.56%,14.35%,7.40%,7.65%,-
31,D&A For EBITDA,128.13,1788,-,1619,546.32,942.85,942.85,1297,1297,1337,1347,1347,-
32,EBIT,-720.3,-987.08,712.53,-2325,3876,3533,1754,-625.13,-114.21,3425,1252,1814,4502
33,EBIT Margin,-1.77%,-2.87%,3.40%,-9.44%,18.84%,17.93%,9.66%,-2.94%,-0.44%,10.32%,3.57%,4.39%,9.42%
34,Effective Tax Rate,23.35%,17.72%,-,18.17%,20.30%,6.88%,5.64%,-,-,19.85%,12.44%,17.74%,18.88%
35,Revenue as Reported,-,34447,-,24630,20575,19697,18147,21240,25925,33191,35115,41313,47807
