,Fiscal Quarter,Q4 2024,Q3 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,+18 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019",+18 Quarters
0,Cash & Equivalents,93795,12383,73983,-,78433,-,72058,72058,22896,153721,137344,41328,35090,5095,20441,15997,25285,7993,19540,5258,Upgrade
1,Short-Term Investments,1100,1100,1450,-,1100,-,106100,106100,134500,-,-,-,-,-,-,-,-,-,-,-,Upgrade
2,Cash & Short-Term Investments,94895,13483,75433,79533,79533,178158,178158,178158,157396,153721,137344,41328,35090,5095,20441,15997,25285,7993,19540,5258,Upgrade
3,Cash Growth,19.31%,-92.43%,-57.66%,-55.36%,-49.47%,15.90%,29.72%,331.09%,348.55%,2916.85%,571.92%,158.34%,38.78%,-36.25%,4.61%,204.25%,35.56%,-22.97%,46.69%,-35.91%,Upgrade
4,Accounts Receivable,318582,408791,384281,-,288464,-,395933,395933,249083,213061,144755,226081,183877,259467,158568,65771,97905,145486,187415,77857,Upgrade
5,Other Receivables,7394,6464,5857,-,135191,-,16659,16659,0.15,0.2,5970,5971,5970,5970,17196,11357,-,1.26,0.16,119501,Upgrade
6,Receivables,325976,415255,390138,-,423654,-,412593,412593,249083,213061,150726,232052,189847,265437,175763,77128,97905,145487,187415,197358,Upgrade
7,Inventory,413196,277753,280473,-,348768,-,330536,330536,259901,193022,191936,117170,112629,94253,92832,97519,86410,67869,45556,64927,Upgrade
8,Prepaid Expenses,58.02,32.44,1.85,-,77.97,-,4.5,4.5,35.69,80.56,25.27,87.79,154.99,222.56,2,95.38,113.47,94.1,32.92,59.1,Upgrade
9,Other Current Assets,128139,289241,217202,-,152369,-,193644,193644,378390,66439,115611,118956,147201,105998,215733,89730,54057,67474,292.06,58990,Upgrade
10,Total Current Assets,962265,995765,963248,-,1004403,-,1114936,1114936,1044805,626324,595642,509594,484922,471007,504772,280469,263770,288917,252837,326592,Upgrade
