,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Interest and Dividend Income,330361,309653,301026,305658,269213,236269,228229,192784,235547,235255,242167,252496,233917,209308,165767,142937,126926,98671,95819,98261,Upgrade
1,Total Interest Expense,138928,139342,124456,125428,109515,103445,79527,71100,102934,95973,97389,96925,97087,82712,77635,62446,50667,41582,43163,51873,Upgrade
2,Net Interest Income,191433,170311,176571,180230,159698,132824,148702,121684,132613,139283,144777,155570,136831,126596,88132,80491,76259,57089,52655,46388,Upgrade
3,Brokerage Commission,131380,132818,179361,184596,171192,213983,136332,93110,135637,151326,174172,255639,304477,244393,222128,160584,129706,83337,80683,56375,Upgrade
4,Trading & Principal Transactions,-1175,-4666,-5454,-4338,-3358,-4861,-7115,-10299,-8222,-10857,-10910,-14196,-17659,-13377,-9220,-6125,-4770,-8686,-7567,-5767,Upgrade
5,Asset Management Fee,15696,11035,21740,5943,24818,7618,8165,8613,10211,8573,12047,26862,42569,37348,30165,10738,44291,17215,58293,16520,Upgrade
6,Underwriting & Investment Banking Fee,-,200,-,-,-16364,5784,-,-,-,-,-,-,-,-,-,-,18.11,-,-,-,Upgrade
7,Gain on Sale of Investments (Rev),270603,342616,372046,170116,82228,68237,24325,39576,24984,12923,73618,52139,46260,50692,172396,59349,43292,45818,46024,28014,Upgrade
8,Other Revenue,10970,10701,10439,9549,9708,7837,5041,3936,3976,21987,9246,23996,28725,-26062,53278,28793,11100,5938,5802,26275,Upgrade
9,Revenue,618907,663014,754703,546096,427922,431421,315451,256619,299200,323234,402950,500010,541203,419591,556879,333829,299896,200710,235890,167806,Upgrade
10,Revenue Growth (YoY),44.63%,53.68%,139.25%,112.80%,43.02%,33.47%,-21.71%,-48.68%,-44.72%,-22.96%,-27.64%,49.78%,80.46%,109.05%,136.08%,98.94%,43.83%,12.60%,14.04%,7.94%,Upgrade
11,Cost of Services Provided,211374,190205,199396,201889,198942,214998,156772,102366,174905,167366,211519,225412,326178,237106,236142,161742,178553,108179,123071,87071,Upgrade
12,Other Operating Expenses,265.26,204,-39.6,13519,-417.86,-794.89,54.48,1050,13238,-2705,-10047,1652,-5130,-108263,82342,21263,-25030,1733,-527.37,247.4,Upgrade
13,Total Operating Expenses,211640,190409,199356,215408,198524,214203,156826,103416,188143,164660,201472,227065,321049,128843,318484,183005,153523,109912,122544,87319,Upgrade
14,Operating Income,407268,472606,555346,330688,229398,217218,158625,153203,111057,158574,201478,272945,220154,290747,238395,150824,146373,90797,113347,80488,Upgrade
15,Currency Exchange Gains,0.01,-,0.08,-,-0.01,-,-759.82,-1899,-2810,-2809,1233,1550,335,1983,-,-,-,-,12.59,-,Upgrade
16,Other Non-Operating Income (Expenses),-12595,733.99,2171,1065,-4604,916.41,1567,439.41,8147,673.82,2333,-,3584,20581,2475,488.22,2131,45.45,534.96,366.69,Upgrade
17,EBT Excluding Unusual Items,394673,473340,557517,331753,224794,218134,159432,151743,116393,156439,205045,274495,224073,313311,240870,151312,148504,90843,113894,80854,Upgrade
18,Gain (Loss) on Sale of Investments,-188190,-249818,-286884,-102134,-24216,-10021,-4836,505.04,-11536,-4544,-54409,-22075,158594,-83080,-75985,-26175,-26654,-11375,-12381,-47738,Upgrade
19,Other Unusual Items,-,-,-,-,363.05,-,-,-,0.55,-,-,-,-,-,-,-,158.44,-,-,-,Upgrade
20,Pretax Income,206870,223521,270633,229620,201189,208114,154596,152248,105617,151895,150636,252420,216021,230232,164885,125137,122008,79467,101513,33116,Upgrade
21,Income Tax Expense,41538,44591,53914,47049,28304,41803,31008,31016,33185,30708,30225,52245,45045,46450,32807,25162,24207,15840,20656,6697,Upgrade
22,Net Income,165332,178931,216720,182571,172885,166311,123588,121232,72432,121188,120410,200176,170976,183782,132078,99975,97802,63627,80857,26420,Upgrade
23,Preferred Dividends & Other Adjustments,44613,-,-,-,35041,-,-,-,30852,-,-,-,-,-,-,-,-,-,-,-,Upgrade
24,Net Income to Common,120718,178931,216720,182571,137844,166311,123588,121232,41580,121188,120410,200176,170976,183782,132078,99975,97802,63627,80857,26420,Upgrade
25,Net Income Growth,-4.37%,7.59%,75.36%,50.60%,138.69%,37.23%,2.64%,-39.44%,-57.64%,-34.06%,-8.83%,100.23%,74.82%,188.84%,63.35%,278.41%,66.65%,39.82%,19.87%,-54.57%,Upgrade
26,Shares Outstanding (Basic),573,547,438,438,438,438,438,438,438,369,369,365,369,369,470,261,304,227,241,213,Upgrade
27,Shares Outstanding (Diluted),573,547,438,438,438,438,438,438,438,369,369,365,369,369,470,261,304,227,241,213,Upgrade
28,Shares Change (YoY),30.88%,25.00%,-0.00%,-0.00%,-0.00%,18.51%,18.52%,19.78%,18.52%,-0.00%,-21.42%,40.10%,21.52%,62.48%,94.67%,22.33%,42.55%,6.62%,13.24%,-0.00%,Upgrade
29,EPS (Basic),210.76,327.08,495.20,417.17,314.97,380.02,282.39,277.01,95.01,328.18,326.08,547.88,463.01,497.66,281.05,383.37,321.84,279.94,334.95,123.93,Upgrade
