,Fiscal Quarter,Q4 2024,Q3 2024,Q4 2023,Q3 2023,Q4 2020,Q4 2019,Q4 2017,Q4 2016
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019","Dec '17 Dec 31, 2017","Dec '16 Dec 31, 2016"
0,Revenue,4885,7100,2416,4763,9418,23642,15857,13297
1,Revenue Growth (YoY),-48.13%,-69.97%,-84.76%,-64.18%,-,-,-,-
2,Cost of Revenue,2433,4647,2462,3438,7562,18731,13738,8625
3,Gross Profit,2452,2452,-45.94,1326,1856,4911,2119,4671
4,"Selling, General & Admin",1410,1645,574.58,1060,1439,2553,1428,1851
5,Operating Expenses,1410,1645,574.58,1060,1439,2553,1428,1851
6,Operating Income,1042,807.78,-620.51,265.25,416.7,2358,691.03,2820
7,Interest Expense,-67.85,-117.16,-116.19,-116.19,-52.93,-52.93,-17.04,-
8,Interest & Investment Income,18.93,0.82,0.31,0.25,0.32,0.51,1.17,258.09
9,Other Non Operating Income (Expenses),-51.05,-,605.56,-,241.69,66.58,513.22,134.88
10,EBT Excluding Unusual Items,942.01,691.44,-130.83,149.31,605.78,2372,1188,3213
11,Gain (Loss) on Sale of Assets,-,122.73,-,-,-,-,-,-
12,Pretax Income,942.01,814.17,-130.83,149.31,605.78,2372,1188,3213
13,Income Tax Expense,202.15,162.83,159.32,29.86,4.62,474.41,237.68,643.75
14,Net Income,739.86,651.34,-290.15,119.44,601.16,1898,950.71,2570
15,Net Income to Common,739.86,651.34,-290.15,119.44,601.16,1898,950.71,2570
16,Net Income Growth,23.07%,-65.68%,-,-95.35%,-,-,-,-
17,Shares Outstanding (Basic),6,6,6,6,12,6,6,6
18,Shares Outstanding (Diluted),6,6,6,6,12,6,6,6
19,Shares Change (YoY),-52.09%,-10.16%,-4.25%,-4.15%,-,-,-,-
20,EPS (Basic),131.00,115.00,-51.00,21.00,51.00,301.00,160.00,433.00
21,EPS (Diluted),131.00,115.00,-51.00,21.00,51.00,301.00,160.00,433.00
22,EPS Growth,156.86%,-61.79%,-,-95.15%,-,-,-,-
23,Free Cash Flow,3538,-,2545,-,-,-,-,-
24,Free Cash Flow Per Share,626.45,-,447.32,-,-,-,-,-
25,Gross Margin,50.20%,34.54%,-1.90%,27.83%,19.71%,20.77%,13.36%,35.13%
26,Operating Margin,21.33%,11.38%,-25.68%,5.57%,4.42%,9.97%,4.36%,21.21%
27,Profit Margin,15.15%,9.17%,-12.01%,2.51%,6.38%,8.03%,6.00%,19.32%
28,Free Cash Flow Margin,72.43%,-,105.33%,-,-,-,-,-
29,EBIT,1042,807.78,-620.51,265.25,416.7,2358,691.03,2820
30,EBIT Margin,21.33%,11.38%,-25.68%,5.57%,4.42%,9.97%,4.36%,21.21%
31,Effective Tax Rate,21.46%,20.00%,-,20.00%,0.76%,20.00%,20.00%,20.03%
32,Revenue as Reported,4885,7100,2416,4763,9418,23642,15857,13297
