,Fiscal Quarter,Q4 2024,Q3 2024,Q4 2023,Q3 2023,Q2 2022,Q1 2022,Q2 2021,Q1 2021,Q2 2018,Q1 2018,Q2 2017,Q1 2017,Q4 2015,Q4 2014
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jan '24 Jan 1, 2024","Sep '23 Sep 30, 2023","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jun '18 Jun 30, 2018","Mar '18 Mar 31, 2018","Jun '17 Jun 30, 2017","Mar '17 Mar 31, 2017","Dec '15 Dec 31, 2015","Dec '14 Dec 31, 2014"
0,Cash & Equivalents,3506,2739,8733,-,5315,-,-,-,1990,-,-,-,1885,-
1,Cash & Short-Term Investments,3506,2739,8733,-,5315,-,-,-,1990,-,-,-,1885,-
2,Cash Growth,-34.04%,-,-,-,167.07%,-,-,-,5.60%,-,-,-,-,-
3,Accounts Receivable,13098,15743,23191,-,30050,-,-,-,32480,-,-,-,36177,-
4,Other Receivables,22930,23028,21734,-,13397,-,-,-,4313,-,-,-,4393,-
5,Receivables,36027,38771,44925,-,43447,-,-,-,36793,-,-,-,40570,-
6,Inventory,19166,17261,17157,-,10528,-,-,-,4973,-,-,-,117889,-
7,Prepaid Expenses,55.38,55.38,96.45,-,-,-,-,-,-,-,-,-,365.75,-
8,Other Current Assets,21058,21213,27028,-,26161,-,-,-,29008,-,-,-,25288,-
9,Total Current Assets,79813,80039,97940,-,85451,-,-,-,72765,-,-,-,185998,-
10,"Property, Plant & Equipment",42881,43395,46041,-,48874,-,-,-,47941,-,-,-,3507,-
11,Long-Term Investments,4181,4181,4181,-,8601,-,-,-,8601,-,-,-,8601,-
12,Other Intangible Assets,110,110,110,-,-,-,-,-,-,-,-,-,578.8,-
13,Other Long-Term Assets,87.05,150.67,564.24,-,672.13,-,-,-,41,-,-,-,15,-
14,Total Assets,127071,127875,148836,-,143598,-,-,-,129347,-,-,-,198700,-
15,Accounts Payable,28283,28699,35494,-,37873,-,-,-,30791,-,-,-,47753,-
16,Accrued Expenses,7639,7716,7865,-,196.3,-,-,-,179.04,-,-,-,9950,-
17,Short-Term Debt,750,4183,7791,-,8851,-,-,-,11425,-,-,-,29317,-
18,Current Portion of Long-Term Debt,1245,-,492.5,-,-,-,-,-,-,-,-,-,-,-
19,Current Income Taxes Payable,20936,21158,21439,-,21823,-,-,-,23479,-,-,-,22875,-
20,Current Unearned Revenue,-,-,-,-,-,-,-,-,-,-,-,-,15376,-
21,Other Current Liabilities,9339,7704,15478,-,16947,-,-,-,5943,-,-,-,17813,-
22,Total Current Liabilities,68192,69460,88560,-,85691,-,-,-,71817,-,-,-,143083,-
23,Long-Term Debt,3493,3130,5593,-,3705,-,-,-,3600,-,-,-,3600,-
24,Other Long-Term Liabilities,2204,2204,1700,-,1700,-,-,-,1700,-,-,-,-,-
25,Total Liabilities,73889,74794,95853,-,91096,-,-,-,77117,-,-,-,146683,-
26,Common Stock,41039,41039,41039,-,41039,-,-,-,41039,-,-,-,41039,-
27,Additional Paid-In Capital,149.85,149.85,149.85,-,149.85,-,-,-,149.85,-,-,-,149.85,-
28,Retained Earnings,8650,8549,8451,-,7970,-,-,-,11041,-,-,-,10247,-
29,Comprehensive Income & Other,3343,3343,3343,-,3343,-,-,-,-,-,-,-,581.1,-
30,Shareholders' Equity,53183,53082,52983,-,52502,-,-,-,52230,-,-,-,52017,-
31,Total Liabilities & Equity,127071,127875,148836,-,143598,-,-,-,129347,-,-,-,198700,-
32,Total Debt,5488,7313,13876,-,12556,-,-,-,15025,-,-,-,32917,-
33,Net Cash (Debt),-1982,-4574,-5143,-,-7240,-,-,-,-13035,-,-,-,-31032,-
34,Net Cash Per Share,-477.63,-1184.76,-141.62,-,-1875.30,-,-,-,-3263.13,-,-,-,-,-
35,Filing Date Shares Outstanding,4.1,3.86,36.31,4.25,3.86,3.94,3.93,3.99,3.99,4.07,4.29,4.25,-,-
36,Total Common Shares Outstanding,4.1,3.86,36.31,4.25,3.86,3.94,3.93,3.99,3.99,4.07,4.29,4.25,-,-
37,Working Capital,11621,10579,9380,-,-239.63,-,-,-,947.74,-,-,-,42915,-
38,Book Value Per Share,12958.97,13748.81,1459.10,-,13598.19,-,-,-,13075.39,-,-,-,-,-
39,Tangible Book Value,53073,52972,52873,-,52502,-,-,-,52230,-,-,-,51439,-
40,Tangible Book Value Per Share,12932.17,13720.32,1456.07,-,13598.19,-,-,-,13075.39,-,-,-,-,-
41,Buildings,1243,-,1243,-,-,-,-,-,-,-,-,-,-,-
42,Machinery,68251,-,72109,-,-,-,-,-,-,-,-,-,-,-
43,Construction In Progress,36077,36077,37477,-,45396,-,-,-,47277,-,-,-,39.09,-
