,Fiscal Quarter,Q4 2024,Q4 2023
,Period Ending,"Dec '24 Dec 31, 2024","Dec '23 Dec 31, 2023"
0,Revenue,414396,310357
1,Cost of Revenue,399698,308478
2,Gross Profit,14698,1879
3,"Selling, General & Admin",1645,937.74
4,Operating Expenses,1645,937.74
5,Operating Income,13053,940.99
6,Interest Expense,-8138,-11229
7,Interest & Investment Income,5975,9578
8,Other Non Operating Income (Expenses),-2322,23504
9,Pretax Income,8568,22793
10,Income Tax Expense,3170,4404
11,Net Income,5398,18390
12,Net Income to Common,5398,18390
13,Shares Outstanding (Basic),76,76
14,Shares Outstanding (Diluted),76,76
15,EPS (Basic),71.02,241.95
16,EPS (Diluted),71.02,241.95
17,Gross Margin,3.55%,0.61%
18,Operating Margin,3.15%,0.30%
19,Profit Margin,1.30%,5.93%
20,EBITDA,13095,-
21,EBITDA Margin,3.16%,-
22,D&A For EBITDA,42.18,-
23,EBIT,13053,940.99
24,EBIT Margin,3.15%,0.30%
25,Effective Tax Rate,37.00%,19.32%
