,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+16 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+16 Quarters
0,Cash & Equivalents,12413,11681,25065,9222,18648,22275,-,8115,3968,-,20956,-,19762,19762,37765,-,23158,24990,21513,26834,Upgrade
1,Short-Term Investments,4000,4000,4000,4000,4000,8122,-,13000,18000,-,31000,-,34000,34000,40000,-,47000,42000,50000,30000,Upgrade
2,Cash & Short-Term Investments,16413,15681,29065,13222,22648,30397,-,21115,21968,51956,51956,-,53762,53762,77765,-,70158,66990,71513,56834,Upgrade
3,Cash Growth,-27.53%,-48.41%,-,-37.38%,3.09%,-41.49%,-,-,-59.14%,-3.36%,-33.19%,-,-23.37%,-19.75%,8.74%,-,31.02%,76.89%,-,114.65%,Upgrade
4,Accounts Receivable,22336,25325,23310,26685,24332,22010,-,17518,19005,-,18537,-,21909,21909,22234,-,25813,22175,21129,23212,Upgrade
5,Other Receivables,2408,1861,1136,1528,3037,1326,-,1386,563.36,-,1436,-,684.99,684.99,1834,-,5852,2210,2386,1727,Upgrade
6,Receivables,24744,27186,24445,28213,27369,23336,-,18904,19568,-,19974,-,22594,22594,24068,-,31665,24385,23515,24939,Upgrade
7,Inventory,2930,2652,2633,1892,1952,2637,-,1701,1898,-,1762,-,2426,2426,1650,-,1206,1580,1609,1983,Upgrade
8,Prepaid Expenses,646.8,822.91,902.46,484,698.84,192.15,-,475.11,664.01,-,369.87,-,1394,1394,20.45,-,358.41,175.37,306.54,290.97,Upgrade
9,Other Current Assets,5232,4023,2209,3973,5579,4292,-,11672,13615,-,9511,-,8964,8964,17445,-,10341,9533,6694,250,Upgrade
10,Total Current Assets,49966,50365,59255,47786,58247,60853,-,53868,57713,-,83572,-,89139,89139,120950,-,113728,102664,103637,84296,Upgrade
