,Fiscal Quarter,Q4 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,Q2 2019,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019","Jun '19 Jun 30, 2019",+20 Quarters
0,Revenue,11084,19349,8534,57356,48593,142906,68740,56668,36391,34488,18314,40525,36210,19966,6687,13179,9282,11171,21589,48624,Upgrade
1,Revenue Growth (YoY),-77.19%,-86.46%,-87.58%,1.21%,33.53%,314.37%,275.34%,39.83%,0.50%,72.73%,173.86%,207.50%,290.11%,78.74%,-69.02%,-72.90%,-65.58%,-84.45%,-74.66%,34.43%,Upgrade
2,Cost of Revenue,9876,19680,9311,54052,45797,132265,62504,50169,32467,32877,18072,36870,33901,17063,6610,11833,8753,10431,17890,42849,Upgrade
3,Gross Profit,1208,-330.33,-776.42,3305,2795,10640,6236,6499,3923,1611,242.7,3655,2309,2903,77.24,1346,528.82,739.7,3699,5774,Upgrade
4,"Selling, General & Admin",1002,741.81,665.78,902.24,888.19,3494,1128,1125,1083,830.33,715.39,1030,1096,905.83,603.05,851.72,601.98,8788,886.94,1034,Upgrade
5,Operating Expenses,1002,741.81,665.78,902.24,888.19,3494,1128,1125,1083,830.33,715.39,1030,1096,905.83,603.05,851.72,601.98,8788,886.94,1034,Upgrade
6,Operating Income,205.75,-1072,-1442,2402,1907,7147,5108,5375,2840,780.47,-472.69,2625,1212,1997,-525.81,493.86,-73.15,-8048,2812,4740,Upgrade
7,Interest Expense,-578.59,-930.1,-657.69,-899.98,-634.87,-707.12,-313.27,-384.2,-401.66,-497.76,-508.76,-694.66,-471.97,-487.21,-266.25,-320.36,-333.33,-433.62,-530.48,-508,Upgrade
8,Interest & Investment Income,1467,1908,1807,1614,1544,2491,1159,894.48,1525,2651,2873,3258,2016,1017,1720,1132,1035,1318,889.39,868.8,Upgrade
9,Other Non Operating Income (Expenses),1.76,15.93,-5,82.75,2.92,-1160,-23.06,-4171,-1150,-3324,-628.87,-568.79,-1441,-45.97,254.55,-0.49,-0.49,7822,-,-30.14,Upgrade
10,EBT Excluding Unusual Items,1096,-78.31,-297.57,3199,2820,7771,5930,1714,2814,-390.5,1263,4619,1315,2481,1182,1305,627.73,658.98,3171,5071,Upgrade
11,Pretax Income,1096,-78.31,-297.57,3199,2820,7771,5930,1714,2814,-390.5,1263,4619,1315,2481,1182,1305,627.73,658.98,3171,5071,Upgrade
12,Income Tax Expense,126.34,33.32,58.72,776.51,656.28,1890,1245,219.8,546.03,107.39,317.72,900.92,391.92,213.87,171.07,280.53,125.55,140.02,634.19,1024,Upgrade
13,Earnings From Continuing Operations,969.91,-111.63,-356.29,2422,2163,5882,4685,1494,2268,-497.89,945.33,3718,923.09,2267,1011,1025,502.18,518.96,2537,4047,Upgrade
14,Minority Interest in Earnings,67.04,61.65,83.65,92.43,81.13,164.98,99.34,86.87,98.2,154.57,160.15,128.66,134.56,89.64,-,-,-,-,-,-,Upgrade
15,Net Income,1037,-49.98,-272.64,2515,2244,6047,4784,1581,2366,-343.32,1105,3847,1058,2357,1011,1025,502.18,518.96,2537,4047,Upgrade
16,Net Income to Common,1037,-49.98,-272.64,2515,2244,6047,4784,1581,2366,-343.32,1105,3847,1058,2357,1011,1025,502.18,518.96,2537,4047,Upgrade
