,Fiscal Quarter,Q4 2024,Q3 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters
0,Revenue,21988,12490,4091,4717,3355,2975,2578,3398,6150,15504,8331,4824,3616,13018,7157,12807,17380,21478,21527,30945,Upgrade
1,Revenue Growth (YoY),555.37%,319.79%,58.70%,38.79%,-45.45%,-80.81%,-69.06%,-29.56%,70.10%,19.10%,16.39%,-62.33%,-79.20%,-39.39%,-66.75%,-58.61%,-38.47%,-7.37%,-13.09%,28.99%,Upgrade
2,Cost of Revenue,19620,10153,2795,3468,2322,1382,1351,1798,2969,9931,6209,3866,2711,8477,5126,7938,13096,16081,15727,22831,Upgrade
3,Gross Profit,2369,2337,1296,1249,1033,1593,1227,1601,3181,5573,2121,957.98,904.19,4541,2031,4868,4284,5397,5800,8114,Upgrade
4,"Selling, General & Admin",1448,1274,1516,1699,1794,1377,1498,1812,1478,1645,1538,1984,1404,1990,1659,1674,1870,2286,2370,3055,Upgrade
5,Operating Expenses,1448,1274,1516,1699,1794,1377,1498,1812,1478,1645,1538,1984,1404,1990,1659,1674,1870,2286,2370,3055,Upgrade
6,Operating Income,920.65,1064,-219.95,-450.28,-761.01,216.03,-270.95,-211.42,1703,3928,583.34,-1026,-500.08,2551,371.34,3195,2413,3111,3430,5059,Upgrade
7,Interest Expense,-,-,-51.24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
8,Interest & Investment Income,62.19,60.99,396.85,435.96,501.32,601.33,592.27,464.83,468.34,482.07,443.93,4799,6540,159.14,162.51,1769,179.03,188.37,215.55,1839,Upgrade
9,Other Non Operating Income (Expenses),-1396,-33.39,-402.66,-192.73,-494.82,-115.52,-458.09,-3874,-403.01,-127.82,175.95,-525.16,-27.87,12.17,-130.51,-399.16,-5.4,-3.5,-6.25,-154.61,Upgrade
10,EBT Excluding Unusual Items,-413.1,1091,-277,-207.06,-754.51,701.83,-136.76,-3621,1768,4282,1203,3247,6012,2722,403.33,4564,2587,3296,3639,6744,Upgrade
11,Pretax Income,-413.1,1091,-277,-207.06,-754.51,701.83,-136.76,-3621,1768,4282,1203,3247,6012,2722,403.33,4564,2587,3296,3639,6744,Upgrade
12,Income Tax Expense,264.36,231.37,87.62,190.98,67.96,224.16,91.55,-758.84,185.54,459.81,294.87,66.78,1347,583.28,219.67,800.51,-62.59,776.19,774.97,1027,Upgrade
13,Earnings From Continuing Operations,-677.46,859.78,-364.62,-398.03,-822.47,477.68,-228.31,-2862,1583,3822,908.35,3181,4666,2139,183.67,3764,2650,2520,2864,5717,Upgrade
14,Minority Interest in Earnings,17.35,0.66,0.52,8.49,8.14,1.39,3.14,-4.21,-11.21,-22.63,-0.09,8.19,3.78,-2.99,2.02,3.25,0.62,0.91,-2.58,-4.8,Upgrade
15,Net Income,-660.11,860.44,-364.1,-389.54,-814.33,479.07,-225.17,-2866,1572,3800,908.26,3189,4669,2136,185.68,3767,2650,2521,2862,5712,Upgrade
16,Net Income to Common,-660.11,860.44,-364.1,-389.54,-814.33,479.07,-225.17,-2866,1572,3800,908.26,3189,4669,2136,185.68,3767,2650,2521,2862,5712,Upgrade
17,Net Income Growth,-,79.61%,-,-,-,-87.39%,-,-,-66.34%,77.92%,389.14%,-15.35%,76.19%,-15.28%,-93.51%,-34.05%,24.03%,30.76%,17.99%,121.15%,Upgrade
18,Shares Outstanding (Basic),3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Upgrade
19,Shares Outstanding (Diluted),3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Upgrade
20,Shares Change (YoY),0.18%,0.02%,-9.72%,0.22%,-0.02%,-0.20%,-0.47%,0.06%,0.03%,0.04%,0.01%,-0.02%,-0.05%,-0.00%,-0.08%,-0.04%,-0.01%,-0.09%,0.02%,-0.03%,Upgrade
21,EPS (Basic),-195.00,255.00,-120.00,-115.00,-241.00,142.00,-67.00,-848.00,465.00,1124.00,269.00,944.00,1382.00,632.00,55.00,1115.00,784.00,746.00,847.00,1690.00,Upgrade
22,EPS (Diluted),-195.00,255.00,-120.00,-115.00,-241.00,142.00,-67.00,-848.00,465.00,1124.00,269.00,944.00,1382.00,632.00,55.00,1115.00,784.00,746.00,847.00,1690.00,Upgrade
23,EPS Growth,-,79.58%,-,-,-,-87.37%,-,-,-66.35%,77.85%,389.09%,-15.34%,76.28%,-15.28%,-93.51%,-34.02%,24.05%,30.88%,17.97%,121.20%,Upgrade
24,Free Cash Flow,7326,-,2136,2995,1960,-,-2578,-7148,-2318,7443,3374,-9590,-2058,4023,2710,8613,579.61,-3798,151.9,7680,Upgrade
25,Free Cash Flow Per Share,2164.28,-,703.95,884.08,580.13,-,-767.01,-2114.90,-685.92,2201.56,999.24,-2838.89,-609.09,1190.63,802.81,2549.31,171.47,-1123.88,44.96,2272.16,Upgrade
26,Dividend Per Share,-,-,-,-,-,-,-,900.000,-,-,-,2000.000,-,1500.000,-,-,-,-,-,-,Upgrade
27,Dividend Growth,-,-,-,-,-,-,-,-55.00%,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
28,Gross Margin,10.77%,18.71%,31.68%,26.47%,30.78%,53.55%,47.59%,47.11%,51.72%,35.95%,25.46%,19.86%,25.01%,34.88%,28.37%,38.01%,24.65%,25.13%,26.94%,26.22%,Upgrade
29,Operating Margin,4.19%,8.52%,-5.38%,-9.55%,-22.68%,7.26%,-10.51%,-6.22%,27.69%,25.34%,7.00%,-21.27%,-13.83%,19.59%,5.19%,24.95%,13.89%,14.49%,15.93%,16.35%,Upgrade
30,Profit Margin,-3.00%,6.89%,-8.90%,-8.26%,-24.27%,16.10%,-8.74%,-84.34%,25.55%,24.51%,10.90%,66.10%,129.14%,16.41%,2.59%,29.42%,15.25%,11.74%,13.29%,18.46%,Upgrade
31,Free Cash Flow Margin,33.32%,-,52.21%,63.49%,58.43%,-,-100.00%,-210.35%,-37.69%,48.00%,40.50%,-198.77%,-56.92%,30.91%,37.87%,67.25%,3.33%,-17.68%,0.71%,24.82%,Upgrade
32,EBITDA,3074,-,-,-,-,-,-,-,-,-,-,-,-,3268,-,-,-,-,-,-,Upgrade
33,EBITDA Margin,13.98%,-,-,-,-,-,-,-,-,-,-,-,-,25.10%,-,-,-,-,-,-,Upgrade
34,D&A For EBITDA,2154,-,-,-,-,-,-,-,-,-,-,-,-,717.58,-,-,-,-,-,-,Upgrade
35,EBIT,920.65,1064,-219.95,-450.28,-761.01,216.03,-270.95,-211.42,1703,3928,583.34,-1026,-500.08,2551,371.34,3195,2413,3111,3430,5059,Upgrade
36,EBIT Margin,4.19%,8.52%,-5.38%,-9.55%,-22.68%,7.26%,-10.51%,-6.22%,27.69%,25.34%,7.00%,-21.27%,-13.83%,19.59%,5.19%,24.95%,13.89%,14.49%,15.93%,16.35%,Upgrade
37,Effective Tax Rate,-,21.20%,-,-,-,31.94%,-,-,10.49%,10.74%,24.51%,2.06%,22.40%,21.43%,54.46%,17.54%,-,23.55%,21.29%,15.23%,Upgrade
38,Revenue as Reported,21988,12490,4091,4717,3355,2975,2578,3398,6150,15504,8331,4824,3616,13018,7157,12807,17380,21478,21527,30945,Upgrade
