,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+9 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+9 Quarters
0,Cash & Equivalents,470.45,470.45,542.05,554.27,897.61,897.61,624.21,-,1328,2689,2289,-,5742,2863,1838,-,13458,5614,5089,7461,Upgrade
1,Cash & Short-Term Investments,470.45,470.45,542.05,554.27,897.61,897.61,624.21,-,1328,2689,2289,5742,5742,2863,1838,-,13458,5614,5089,7461,Upgrade
2,Cash Growth,-47.59%,-47.59%,-13.16%,-,-32.39%,-66.62%,-72.73%,-,-76.88%,-6.10%,24.57%,-,-57.34%,-48.99%,-63.89%,-,-90.28%,-95.87%,-97.38%,-,Upgrade
3,Accounts Receivable,5393,5393,4770,7833,2357,2357,11748,-,4880,9375,154166,-,373534,118368,2333,-,41001,49605,69806,24377,Upgrade
4,Other Receivables,347870,347870,416008,438763,791171,791171,725267,-,446265,841762,541104,-,414816,110177,106418,-,281876,247902,252565,260521,Upgrade
5,Receivables,353263,353263,420777,446596,793528,793528,737016,-,451145,851137,695270,-,788349,228546,108750,-,322878,297507,322371,284898,Upgrade
6,Inventory,12976,12976,13009,11569,11572,11572,61134,-,11134,362.53,76878,-,51122,41638,36117,-,8182,94174,93690,94710,Upgrade
7,Prepaid Expenses,18.06,18.06,10.52,16.72,58.99,58.99,4314,-,9334,2545,4543,-,2095,1472,2301,-,3074,2402,2141,2428,Upgrade
8,Other Current Assets,1552,1552,1522,1831,1955,1955,2856,-,53104,58318,198608,-,494361,263188,265598,-,189188,188533,188647,190508,Upgrade
9,Total Current Assets,368279,368279,435860,460567,808011,808011,805943,-,526045,915051,977588,-,1341669,537707,414604,-,536781,588231,611938,580005,Upgrade
10,"Property, Plant & Equipment",116002,116002,116471,121967,116978,116978,117486,-,201743,221569,119969,-,109278,111983,112265,-,115673,15616,13642,10225,Upgrade
11,Long-Term Investments,102747,102747,102510,102376,102175,102175,101607,-,100798,100444,100122,-,-,-,-,-,-,-,-,-,Upgrade
12,Goodwill,-,-,-,-,-,-,-,-,-,-,-,-,1068,1115,1162,-,1257,1304,1351,1398,Upgrade
13,Other Intangible Assets,58636,58636,58740,119648,58845,58845,58950,-,59055,59107,59159,-,59264,59316,59369,-,57786,57786,57786,57786,Upgrade
14,Long-Term Deferred Tax Assets,-,-,-,-,-,-,9000,-,9000,11400,11400,-,14818,14818,14818,-,14818,14818,14818,14818,Upgrade
15,Other Long-Term Assets,1360647,1360647,1360766,1234708,997196,997196,1060504,-,1471828,1051848,746751,-,496759,637675,637928,-,42324,25687,32186,32415,Upgrade
16,Total Assets,2006310,2006310,2074348,2039264,2083205,2083205,2153489,-,2368468,2359419,2194090,-,2022856,1362616,1240148,-,768639,703443,731722,696648,Upgrade
17,Accounts Payable,4075,4075,6754,6348,6706,6706,9788,-,10503,989.11,727.42,-,8455,9511,6062,-,3816,2758,3131,1605,Upgrade
