,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+9 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+9 Quarters
0,Market Capitalization,493857,440943,255747,405668,449762,423306,493857,511494,335117,398170,1268589,1340468,2160623,2315189,591524,609632,745441,419499,353279,300839,187680,Upgrade
1,Market Cap Growth,4.17%,4.17%,-48.21%,-20.69%,34.21%,6.31%,-61.07%,-61.84%,-84.49%,-82.80%,114.46%,119.88%,189.84%,451.89%,67.44%,102.64%,297.19%,70.78%,-37.09%,-49.25%,-48.72%,Upgrade
2,Enterprise Value,995147,977064,791868,942739,996330,972074,1163301,1227229,1062394,1170333,1877450,1818102,2638257,2401054,680237,641129,776938,450996,385269,331977,184380,Upgrade
3,Last Close Price,5600.00,5000.00,2900.00,4600.00,5100.00,4800.00,5600.00,5800.00,3800.00,4300.00,13700.00,14476.19,23333.33,26190.48,17777.78,18322.00,22403.63,12607.71,11057.12,9033.07,5635.31,Upgrade
4,PE Ratio,-,-,-,-,9.93,16.43,-7.66,-,-,-,3.45,3.15,7.87,12.43,12.90,-,-,6.75,11.73,5.41,-,Upgrade
5,PS Ratio,100.70,85.52,46.52,73.11,43.67,85.91,118.86,13.16,-,1.80,2.33,2.15,4.16,5.22,3.38,5.23,3.77,2.02,1.18,0.65,0.36,Upgrade
6,PB Ratio,0.48,0.36,0.21,0.32,0.35,0.33,0.38,0.41,-,0.29,0.89,1.02,1.87,2.00,0.60,0.67,-,0.88,0.83,0.71,0.48,Upgrade
7,P/TBV Ratio,0.43,0.43,0.25,0.38,0.44,0.39,0.45,0.49,-,0.35,1.05,1.07,1.98,2.12,0.65,0.72,-,1.02,0.97,0.83,0.58,Upgrade
8,P/FCF Ratio,9.75,7.18,2.88,3.07,3.42,3.44,7.94,-,-1.16,-,-,-,-,-,-1.07,-,-,-,-1.94,-,-,Upgrade
9,P/OCF Ratio,9.75,7.18,2.88,3.07,3.42,3.44,7.94,-,-1.16,-,-,-,-,-,-1.08,-,-,-,-1.99,-1.16,-,Upgrade
10,EV/Sales Ratio,193.26,189.51,144.02,-,96.74,197.29,279.98,31.57,-,5.28,3.45,2.91,5.08,5.41,3.89,5.50,3.93,2.18,1.29,0.72,0.36,Upgrade
11,EV/EBITDA Ratio,-,-,-,-,-,14.53,-33.49,-,-,-,4.37,4.20,8.25,9.73,27.87,-,-,8.16,8.22,4.06,-,Upgrade
12,EV/EBIT Ratio,-,-,-,-,-,14.80,-32.14,-,-,-,4.39,4.22,8.30,9.81,30.23,-,-,8.31,8.38,4.10,-,Upgrade
13,EV/FCF Ratio,21.61,15.90,8.92,7.12,7.58,7.89,18.70,-,-3.66,-,-,-,-,-,-1.23,-,-,-,-2.12,-,-,Upgrade
14,Debt / Equity Ratio,0.29,0.29,0.29,0.30,0.30,0.31,0.31,0.41,-,0.43,0.44,0.47,0.42,0.42,0.09,0.10,-,0.16,0.08,0.08,0.09,Upgrade
15,Debt / EBITDA Ratio,-,-,-,-,-,1.37,4.61,-,-,-,2.14,2.20,3.31,0.48,0.28,-,-,0.69,0.83,0.18,-,Upgrade
16,Debt / FCF Ratio,7.83,5.76,3.99,2.94,2.97,3.24,6.42,-,-,-,-,-,-,-,-0.15,-,-,-,-0.18,-,-,Upgrade
17,Asset Turnover,0.00,0.00,-,0.01,0.00,0.00,-,-,0.00,0.06,-,-,0.77,0.35,-,-,0.30,0.32,0.46,0.06,Upgrade,
18,Inventory Turnover,0.05,0.05,0.05,-,0.51,0.01,0.01,-,-,0.03,0.01,-,-,2.21,0.83,-,-,0.48,0.77,0.42,0.29,Upgrade
19,Quick Ratio,0.64,0.64,0.64,0.74,0.86,1.40,1.40,1.11,-,0.63,1.40,1.80,-,1.87,1.62,1.20,-,2.85,3.96,3.31,2.79,Upgrade
