,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q1 2021,Q4 2020,Q3 2019,Q3 2018
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '19 Sep 30, 2019","Sep '18 Sep 30, 2018"
0,Revenue,33070,19366,26726,27598,33563,17050,30396,34827,36968,25883,36795,34661,43297,25637,48875,6564,8833
1,Revenue Growth (YoY),-1.47%,13.58%,-12.08%,-20.76%,-9.21%,-34.13%,-17.39%,0.48%,-14.62%,0.96%,-24.72%,428.09%,390.15%,-,-,-,-
2,"Selling, General & Admin",1655,1010,980,1002,1705,1085,987.76,970.38,1529,1114,1124,933.99,1505,1043,1638,850.34,870.87
3,Other Operating Expenses,14089,10959,11289,11369,14252,10622,12028,12711,13500,12277,12962,11890,16651,10681,17717,8084,8375
4,Total Operating Expenses,15744,11968,12269,12372,15957,11706,13016,13681,15030,13391,14085,12824,18157,11724,19355,8934,9246
5,Operating Income,17326,7398,14457,15226,17606,5344,17380,21146,21938,12492,22710,21838,25140,13913,29520,-2370,-412.58
6,Interest Expense,-73.74,-243.12,-409.86,-480.68,-790.51,-838.31,-989.53,-1195,-1371,-1518,-1678,-1837,-1876,-2413,-2664,-3481,-3555
7,Interest Income,23.68,35.08,55.84,62.47,106.33,106.99,142.14,116.28,68.67,49.77,35.72,4.74,1.8,20.12,0.47,65.95,1.18
8,Net Interest Expense,-50.06,-208.04,-354.01,-418.21,-684.18,-731.31,-847.39,-1079,-1302,-1468,-1642,-1832,-1874,-2393,-2664,-3415,-3554
9,Other Non-Operating Income (Expenses),-,-1.86,-13.53,-11.28,3.6,-,-,-10.06,-0.36,-3.42,-7.11,-,-11.24,-,-,-17.4,-95.76
10,EBT Excluding Unusual Items,17276,7188,14090,14797,16925,4613,16533,20057,20636,11021,21060,20006,23254,11521,26856,-5803,-4062
11,Pretax Income,17276,7188,14090,14797,16925,4613,16533,20057,20636,11021,21060,20006,23254,11521,26856,-5803,-4062
12,Income Tax Expense,877.56,368.36,712.35,748.91,859.42,237.93,834.05,1012,1041,558.66,1060,1009,1174,584.87,598.81,-,-
13,Net Income,16399,6819,13377,14048,16066,4375,15699,19045,19594,10462,20001,18997,22081,10936,26257,-5803,-4062
14,Net Income to Common,16399,6819,13377,14048,16066,4375,15699,19045,19594,10462,20001,18997,22081,10936,26257,-5803,-4062
15,Net Income Growth,2.07%,55.88%,-14.79%,-26.24%,-18.01%,-58.19%,-21.51%,0.25%,-11.26%,-4.33%,-23.83%,-,-,-,-,-,-
16,Shares Outstanding (Basic),11,11,11,11,11,11,11,11,11,11,11,11,11,11,13,11,11
17,Shares Outstanding (Diluted),11,11,11,11,11,11,11,11,11,11,11,11,11,11,13,11,11
18,Shares Change (YoY),-0.01%,0.05%,0.01%,-0.01%,0.02%,0.05%,0.05%,0.02%,-0.01%,-0.09%,-14.70%,-0.06%,-0.02%,-,-,-,-
19,EPS (Basic),1518.00,631.00,1238.00,1300.50,1487.00,405.00,1453.00,1763.00,1814.00,969.00,1852.00,1759.00,2044.00,1012.00,2074.00,-537.00,-376.00
20,EPS (Diluted),1518.00,631.00,1238.00,1300.50,1487.00,405.00,1453.00,1763.00,1814.00,969.00,1852.00,1759.00,2044.00,1012.00,2074.00,-537.00,-376.00
21,EPS Growth,2.08%,55.80%,-14.80%,-26.23%,-18.03%,-58.20%,-21.54%,0.23%,-11.25%,-4.25%,-10.70%,-,-,-,-,-,-
22,Free Cash Flow,21403,19408,4062,4062,14917,20787,18925,24828,14168,11132,31972,18191,-,-9946,-,-,-
23,Free Cash Flow Per Share,1981.20,1795.87,375.90,376.04,1380.62,1924.43,1751.62,2298.34,1311.68,1031.08,2960.52,1684.33,-,-920.37,-,-,-
24,Dividend Per Share,-,-,1000.000,-,-,-,1000.000,1000.000,2500.000,-,-,-,-,-,-,-,-
25,Profit Margin,49.59%,35.21%,50.05%,50.90%,47.87%,25.66%,51.65%,54.68%,53.00%,40.42%,54.36%,54.81%,51.00%,42.66%,53.72%,-88.41%,-45.99%
26,Free Cash Flow Margin,64.72%,100.22%,15.20%,14.72%,44.44%,121.92%,62.26%,71.29%,38.33%,43.01%,86.89%,52.48%,-,-38.79%,-,-,-
27,EBIT,17326,7398,14457,15226,17606,5344,17380,21146,21938,12492,22710,21838,25140,13913,29520,-2370,-412.58
28,EBIT Margin,52.39%,38.20%,54.09%,55.17%,52.46%,31.34%,57.18%,60.72%,59.34%,48.26%,61.72%,63.00%,58.06%,54.27%,60.40%,-36.11%,-4.67%
29,Effective Tax Rate,5.08%,5.12%,5.06%,5.06%,5.08%,5.16%,5.04%,5.05%,5.05%,5.07%,5.03%,5.04%,5.05%,5.08%,2.23%,-,-
30,Revenue as Reported,33070,19366,26726,27598,33563,17050,30396,34827,36968,25883,36795,34661,43297,25637,48875,6564,8833
