,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Interest Income on Loans,-1285225,1435367,1355139,1423410,1434361,1520297,1729920,1749041,1573109,988979,1072394,1128812,1178041,1492423,1321279,1550772,1768558,1479519,1350896,1359801,Upgrade
1,Total Interest Income,-1285225,1435367,1355139,1423410,1434361,1520297,1729920,1749041,1573109,988979,1072394,1128812,1178041,1492423,1321279,1550772,1768558,1479519,1350896,1359801,Upgrade
2,Interest Paid on Deposits,1265744,1161137,1082201,1201802,1454988,1513257,1518699,1489446,1092205,991113,879357,868842,1006900,1053032,1067476,1155888,1166174,1128484,1106485,1123889,Upgrade
3,Net Interest Income,-2550969,274230,272938,221608,-20627,7040,211221,259595,480904,-2134,193037,259970,171141,439391,253803,394884,602384,351035,244411,235912,Upgrade
4,Net Interest Income Growth (YoY),-,3795.31%,29.22%,-14.63%,-,-,9.42%,-0.14%,181.00%,-,-23.94%,-34.17%,-71.59%,25.17%,3.84%,67.39%,32.79%,45.06%,-15.41%,35.69%,Upgrade
5,Income From Trading Activities,4881,4316,122225,-,8749,101190,50545,-,2939,24205,79081,60523,269021,54620,13270,19803,71890,12760,48265,25626,Upgrade
6,Gain (Loss) on Sale of Investments,-,-,-68548,68548,-,-,-237,237,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
7,Other Non-Interest Income,21132,54052,80433,22656,1842,11328,38498,49771,81062,38944,34937,83526,46032,-37287,67308,10121,33105,15163,15232,-860,Upgrade
8,Total Non-Interest Income,26013,58368,134110,91204,10591,112518,88806,50008,84001,63149,114018,144049,315053,17333,80578,29924,104995,27923,63497,24766,Upgrade
9,Non-Interest Income Growth (YoY),145.61%,-48.13%,51.01%,82.38%,-87.39%,78.18%,-22.11%,-65.28%,-73.34%,264.33%,41.50%,381.38%,200.06%,-37.93%,26.90%,20.83%,83.68%,-,400.37%,36.31%,Upgrade
10,Revenues Before Loan Losses,-2524956,332598,407048,312812,-10036,119558,300027,309603,564905,61015,307055,404019,486194,456724,334381,424808,707379,378958,307908,260678,Upgrade
11,Provision for Loan Losses,165012,36779,51839,9914,83629,21901,1290,40130,53527,47526,60398,106624,97366,132098,13321,272,10074,2000,16261,20000,Upgrade
12,Revenue,-2689968,295819,355209,302898,-93665,97657,298737,269473,511378,13489,246657,297395,388828,324626,321060,424536,697305,376958,291647,240678,Upgrade
13,Revenue Growth (YoY),-,202.92%,18.90%,12.40%,-,623.98%,21.11%,-9.39%,31.52%,-95.84%,-23.17%,-29.95%,-44.24%,-13.88%,10.09%,76.39%,47.54%,66.05%,4.68%,25.33%,Upgrade
14,Salaries and Employee Benefits,-,-,166595,203046,154031,-,143844,151122,200789,-,151561,133158,132662,-,115138,117137,109693,-,-,98551,Upgrade
15,Occupancy Expenses,-,-,61142,58075,67535,-,56167,52027,58902,-,47033,46671,52193,-,47260,47813,48295,-,-,46414,Upgrade
16,Federal Deposit Insurance,-,-,28443,27598,25162,-,24165,22401,21718,-,20386,22615,23044,-,23867,22008,20433,-,-,18544,Upgrade
17,"Selling, General & Administrative",-,-,46459,49010,70979,-,66259,38206,48615,-,33874,29181,57728,-,35861,30234,42746,-,-,31688,Upgrade
18,Other Non-Interest Expense,2380478,360647,3487,7068,24574,341869,173,207,242,212406,232,298,275,244791,262,320,767,201644,183394,508,Upgrade
19,Total Non-Interest Expense,2380478,360647,306126,344797,342281,341869,290608,263963,330266,212406,253086,231923,265902,244791,222388,217512,221934,201644,183394,195705,Upgrade
20,EBT Excluding Unusual Items,-5070446,-64828,49083,-41899,-435946,-244212,8129,5510,181112,-198917,-6429,65472,122926,79835,98672,207024,475371,175314,108253,44973,Upgrade
21,Pretax Income,-5070446,-64828,49083,-41899,-435946,-244212,8129,5510,181112,-198917,-6429,25472,-203221,79835,98672,27024,-24802,5314,8253,14973,Upgrade
22,Income Tax Expense,-895,597,1146,-,263,-447,2119,1102,149,-2728,-1285,5094,-40196,15967,19734,5405,-4866,2522,1876,2994,Upgrade
23,Net Income,-5069551,-65425,47937,-41899,-436209,-243765,6010,4408,180963,-196189,-5144,20378,-163025,63868,78938,21619,-19936,2792,6377,11979,Upgrade
24,Preferred Dividends & Other Adjustments,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,Upgrade
25,Net Income to Common,-5069551,-65425,47937,-41899,-436209,-243765,6010,4408,180963,-196189,-5144,20378,-163025,63868,78938,21619,-19937,2792,6377,11979,Upgrade
26,Net Income Growth,-,-,697.62%,-,-,-,-,-78.37%,-,-,-,-5.74%,-,2187.54%,1137.85%,80.47%,-,9.49%,10.58%,12.09%,Upgrade
27,Basic Shares Outstanding,1175,557,557,557,557,557,557,-,557,557,407,407,407,407,407,407,407,407,407,407,Upgrade
28,Diluted Shares Outstanding,1175,557,557,557,557,557,557,-,557,557,407,407,407,407,407,407,407,407,407,407,Upgrade
29,Shares Change (YoY),110.96%,-,-,-,-,-,36.87%,-,36.87%,36.87%,-,-,-,-,-,-,-,-,-,36.66%,Upgrade
30,EPS (Basic),-4315.86,-117.50,86.09,-75.25,-783.42,-437.79,10.79,-,325.00,-352.35,-12.64,50.09,-400.75,157.00,194.04,53.14,-49.01,6.86,15.68,29.45,Upgrade
31,EPS (Diluted),-4315.86,-117.50,86.09,-75.25,-783.42,-437.79,10.79,-,325.00,-352.35,-12.64,50.09,-400.75,157.00,194.04,53.14,-49.01,6.86,15.68,29.45,Upgrade
32,EPS Growth,-,-,697.62%,-,-,-,-,-,-,-,-,-5.74%,-,2187.54%,1137.85%,80.47%,-,9.49%,10.58%,-17.98%,Upgrade
33,Effective Tax Rate,-,-,2.33%,-,-,-,26.07%,20.00%,0.08%,-,-,20.00%,-,20.00%,20.00%,20.00%,-,47.46%,22.73%,20.00%,Upgrade
