,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Mar '25 Mar 3, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Market Capitalization,61914,62394,66713,60954,55674,54714,57114,59514,53755,58554,120948,51355,201580,70553,52795,47995,49915,38396,34557,36956,27357,Upgrade
1,Market Cap Growth,14.04%,14.04%,16.81%,2.42%,3.57%,-6.56%,-52.78%,15.89%,-73.33%,-17.01%,129.09%,7.00%,303.85%,83.75%,52.78%,29.87%,82.46%,31.15%,-20.00%,-32.63%,-50.13%,Upgrade
2,Enterprise Value,36091,66282,26178,-15844,7334,-14616,22821,18475,-3051,-7722,124890,49697,190144,76219,58460,55209,75564,64045,60206,62605,49023,Upgrade
3,Last Close Price,12900.00,13000.00,12986.86,11865.69,10837.96,10651.09,10362.21,10797.59,9752.67,10623.44,21943.50,8994.03,35303.65,12356.28,9246.20,7726.39,8035.44,6181.11,5563.00,5269.40,3900.72,Upgrade
4,PE Ratio,7.61,7.67,7.07,7.46,6.94,6.82,8.86,11.68,8.02,8.67,21.07,6.89,29.38,12.16,5.26,4.47,6.33,4.84,4.16,11.11,8.03,Upgrade
5,PS Ratio,0.17,0.17,0.18,0.16,0.15,0.15,0.17,0.19,0.15,0.16,0.35,0.15,0.65,0.21,0.16,0.13,0.15,0.12,0.13,0.18,0.12,Upgrade
6,PB Ratio,0.90,0.91,0.94,0.89,0.83,0.82,0.84,-,-,0.90,1.92,0.77,3.15,1.12,-,0.74,0.80,0.62,0.55,-,0.44,Upgrade
7,P/TBV Ratio,1.10,0.91,0.94,0.89,0.83,0.82,0.84,-,-,0.90,1.92,0.77,3.15,1.12,-,0.74,0.80,0.62,0.55,-,0.44,Upgrade
8,P/FCF Ratio,-,-9.69,-,-,20.67,-,-,-,-,-,2.05,-,-,-,0.71,2.28,-,2.09,3.27,-1.55,-,Upgrade
9,P/OCF Ratio,-,-12.91,-,-,7.35,-,-,-,-,-,1.99,-,-,-,0.71,2.19,-,2.03,3.14,-1.57,-,Upgrade
10,EV/Sales Ratio,0.10,0.18,0.07,-,0.02,-,0.07,0.06,-,-,0.36,0.14,0.61,0.23,0.18,0.15,0.23,0.20,0.23,0.30,0.22,Upgrade
11,EV/EBITDA Ratio,2.28,4.19,1.60,-,0.51,-,1.74,1.52,-,-,8.02,2.67,9.86,4.18,2.47,2.24,3.52,2.91,2.66,3.71,2.92,Upgrade
12,EV/EBIT Ratio,3.81,6.99,2.40,-,0.82,-,3.45,3.51,-,-,16.54,5.02,19.29,9.40,4.40,3.87,6.81,5.54,4.94,10.03,8.10,Upgrade
13,EV/FCF Ratio,-5.60,-10.29,-,-,2.72,-,-,-,-,-,2.12,-,-,-,0.79,2.62,-,3.48,5.70,-2.62,-,Upgrade
