,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Market Capitalization,1987620,1809865,2003780,2141135,2779436,2504725,2730958,3029909,2690559,1817945,2238093,1955301,3894443,3345019,3199584,2133056,2254252,2343129,1834105,1203884,888773,Upgrade
1,Market Cap Growth,-27.74%,-27.74%,-26.63%,-29.33%,3.30%,37.78%,22.02%,54.96%,-30.91%,-45.65%,-30.05%,-8.33%,72.76%,42.76%,74.45%,77.18%,153.64%,156.64%,62.14%,4.93%,-32.52%,Upgrade
2,Enterprise Value,2761934,2996754,3246411,3481624,3449832,3484211,3831242,4257108,3693247,3090853,2874780,2275092,4369516,3777869,3500996,2871746,2981082,3204560,2459368,1988417,1922314,Upgrade
3,Last Close Price,24600.00,22400.00,24800.00,26500.00,33068.39,29800.00,32491.61,36048.39,32010.97,21629.03,25148.42,21970.82,41823.79,35923.33,34361.45,22907.63,23748.95,24685.29,18598.93,11124.55,8212.75,Upgrade
4,PE Ratio,46.07,41.93,55.05,46.22,36.17,26.43,39.93,41.11,29.82,-,23.62,20.69,31.23,-,20.66,12.11,14.53,17.78,12.53,9.28,7.97,Upgrade
5,PS Ratio,0.29,0.26,0.29,0.29,0.37,0.31,0.33,0.37,0.32,0.21,0.28,0.26,0.53,0.49,0.49,0.33,0.38,0.42,0.32,0.22,0.15,Upgrade
6,PB Ratio,1.59,1.45,1.62,1.75,2.09,1.91,2.11,2.39,2.13,1.48,1.70,1.52,2.75,2.44,2.38,1.61,1.73,1.86,1.40,0.86,0.66,Upgrade
7,P/TBV Ratio,1.46,1.46,1.63,1.75,2.10,1.91,2.12,2.39,2.14,1.48,1.70,1.52,2.76,2.44,2.38,1.61,1.73,1.87,1.40,0.86,0.66,Upgrade
8,P/FCF Ratio,-,-51.55,-15.10,-27.89,-,7.05,7.77,-7.34,-,-4.40,-,-,8.61,-,-,4.14,-,5.48,-,1.13,0.85,Upgrade
9,P/OCF Ratio,-,-1826.87,-23.38,-89.72,-,6.05,6.92,-8.08,-,-4.84,-,-,7.95,10.22,-,3.74,-,4.86,-,1.00,0.76,Upgrade
10,EV/Sales Ratio,0.40,0.43,0.46,0.47,0.45,0.44,0.46,0.52,0.44,0.36,0.36,0.30,0.60,0.55,0.53,0.44,0.51,0.57,0.43,0.36,0.33,Upgrade
11,EV/EBITDA Ratio,10.98,11.91,15.28,13.18,11.69,10.98,9.75,10.52,8.43,7.02,8.03,7.43,14.13,12.09,11.05,7.85,9.44,10.18,7.29,6.18,5.46,Upgrade
12,EV/EBIT Ratio,19.73,21.40,26.09,20.27,17.09,15.75,13.17,14.07,11.03,9.15,11.32,11.35,21.49,18.39,16.82,10.93,13.64,14.62,9.82,8.24,7.09,Upgrade
13,EV/FCF Ratio,-78.67,-85.36,-24.47,-45.34,-,9.80,10.90,-10.32,-,-7.48,-,-,9.66,-,-,5.57,-,7.49,-,1.87,1.83,Upgrade
14,Debt / Equity Ratio,1.38,1.38,1.51,1.66,1.56,1.04,1.33,1.35,1.48,1.44,1.55,1.34,1.10,1.13,1.32,1.18,1.23,1.50,1.60,1.48,1.35,Upgrade
15,Debt / EBITDA Ratio,6.83,4.29,18.41,8.21,8.07,5.60,5.58,4.62,5.41,3.24,5.77,3.43,4.40,7.06,12.03,3.03,4.39,7.95,6.10,6.58,5.00,Upgrade
16,Debt / FCF Ratio,-,-48.96,-14.06,-26.47,-,3.84,4.89,-4.16,-,-4.29,-,-,3.44,-,-,3.04,-,4.41,-,1.96,1.73,Upgrade
17,Asset Turnover,2.07,1.45,1.71,1.51,2.03,1.78,1.74,1.75,2.16,1.40,1.66,1.70,1.57,1.11,1.55,1.47,1.42,1.08,0.95,1.18,Upgrade,
18,Inventory Turnover,5.06,6.34,4.50,5.50,4.30,5.81,5.34,5.11,5.03,5.84,3.93,5.21,6.00,5.49,4.37,5.94,5.89,5.41,4.09,3.52,4.53,Upgrade
19,Quick Ratio,0.76,0.75,0.64,0.74,0.70,0.64,0.68,0.68,0.66,0.64,0.60,0.66,0.74,0.71,0.72,0.74,0.73,0.71,0.72,0.77,0.73,Upgrade
20,Current Ratio,1.15,1.15,1.14,1.14,1.16,1.15,1.13,1.12,1.11,1.09,1.10,1.08,1.11,1.10,1.07,1.07,1.06,1.04,1.06,1.09,1.09,Upgrade
21,Return on Equity (ROE),6.53%,2.15%,0.31%,4.64%,6.34%,5.16%,9.95%,10.68%,2.03%,6.70%,14.22%,11.66%,8.07%,6.46%,23.81%,14.76%,7.45%,12.64%,16.66%,7.16%,Upgrade,
22,Return on Assets (ROA),3.65%,0.11%,2.31%,2.40%,2.58%,2.84%,3.90%,3.33%,5.89%,2.98%,4.91%,3.20%,1.48%,0.35%,5.55%,3.62%,1.72%,3.10%,2.91%,3.52%,Upgrade,
23,Return on Capital (ROIC),4.95%,0.14%,2.82%,3.34%,3.90%,4.10%,5.53%,4.89%,8.95%,4.76%,8.34%,5.35%,2.49%,0.60%,8.86%,5.39%,2.51%,4.49%,4.41%,5.32%,Upgrade,
24,Return on Capital Employed (ROCE),11.05%,11.05%,9.96%,13.86%,15.10%,16.75%,22.37%,23.67%,26.43%,27.38%,19.26%,15.55%,14.37%,14.95%,15.45%,19.80%,16.62%,16.89%,18.42%,16.15%,18.53%,Upgrade
25,Earnings Yield,2.17%,2.39%,2.17%,2.50%,3.02%,4.07%,3.21%,3.07%,4.07%,6.43%,6.16%,7.04%,4.31%,5.22%,5.34%,9.01%,7.60%,6.31%,8.49%,11.55%,13.60%,Upgrade
26,FCF Yield,-1.77%,-1.94%,-6.62%,-3.59%,-3.13%,14.19%,12.87%,-13.62%,-29.50%,-22.72%,-32.61%,-12.91%,11.61%,8.49%,14.74%,24.16%,7.31%,18.26%,27.33%,88.14%,117.90%,Upgrade
27,Dividend Yield,4.88%,-,-,-,-,4.03%,-,-,-,5.55%,-,-,-,4.18%,-,-,-,6.08%,13.44%,-,-,Upgrade
28,Payout Ratio,224.19%,-,0.91%,9889.75%,-,-,-,179.92%,0.11%,620.06%,-,251.87%,-,123.59%,-,94.87%,0.11%,195.25%,282.29%,-,-,Upgrade
29,Buyback Yield / Dilution,-0.05%,-0.10%,0.20%,-1.73%,0.34%,-0.04%,0.35%,0.08%,-0.18%,0.57%,-0.15%,10.23%,-0.02%,-0.51%,-0.03%,-11.49%,0.13%,0.05%,-0.03%,0.09%,16.74%,Upgrade
