,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Revenue,137060,122728,137174,101223,132242,146099,103673,103172,126849,121511,107150,116764,139044,46016,112631,116541,129600,112080,90600,128484,Upgrade
1,Revenue Growth (YoY),3.64%,-16.00%,32.31%,-1.89%,4.25%,20.24%,-3.24%,-11.64%,-8.77%,164.06%,-4.87%,0.19%,7.29%,-58.94%,24.32%,-9.30%,2.31%,-3.94%,-16.60%,13.93%,Upgrade
2,Cost of Revenue,84452,74058,87029,65433,85092,98841,64657,66543,80756,73188,61549,70425,87524,35110,69159,74947,83442,67948,52321,80565,Upgrade
3,Gross Profit,52608,48670,50145,35791,47149,47258,39016,36629,46093,48323,45600,46340,51520,10905,43473,41594,46158,44132,38279,47919,Upgrade
4,"Selling, General & Admin",31776,22722,23510,18721,24376,22650,19995,18624,23937,24737,23881,23034,25161,7137,22107,20507,23965,22764,20600,23472,Upgrade
5,Operating Expenses,31776,22722,23510,18721,24376,22650,19995,18624,23937,24737,23881,23034,25161,7137,22107,20507,23965,22764,20600,23472,Upgrade
6,Operating Income,20832,25947,26635,17070,22773,24608,19021,18005,22157,23586,21720,23306,26359,3768,21366,21087,22193,21368,17679,24447,Upgrade
7,Interest & Investment Income,-,864.94,3685,1137,8144,1318,9584,807.31,6556,706.8,5261,653.49,4378,692.18,3770,523.14,2492,1355,2590,1366,Upgrade
8,Currency Exchange Gain (Loss),-,-,-,-,1.08,-,-0,-,0.99,-,-1.56,-42.45,11.2,-,3.33,12.77,-82.92,-,10.03,-31.21,Upgrade
