,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Mar '25 Mar 6, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Market Capitalization,259264,229737,234058,217494,223255,203090,187246,170682,165641,158439,164200,169242,187966,164921,156999,136113,144035,108027,96504,95063,71298,Upgrade
1,Market Cap Growth,13.12%,13.12%,25.00%,27.43%,34.78%,28.18%,14.04%,0.85%,-11.88%,-3.93%,4.59%,24.34%,30.50%,52.67%,62.69%,43.18%,102.02%,17.19%,6.35%,5.60%,-28.78%,Upgrade
2,Enterprise Value,280419,239767,243551,256599,278659,217588,201243,200434,213701,194932,203418,203234,231811,168545,160623,139738,210193,140550,127740,163948,140183,Upgrade
3,Last Close Price,36000.00,31900.00,32500.00,30200.00,28491.55,25918.12,23896.14,21782.25,19226.65,18390.71,19059.47,19644.62,20012.44,17558.81,16715.37,14491.77,13815.50,10361.62,9256.38,9118.23,6106.08,Upgrade
4,PE Ratio,8.58,7.22,8.39,6.29,7.23,6.97,7.60,7.37,5.90,5.75,6.27,7.99,8.61,7.20,6.69,4.84,6.19,5.14,4.90,5.47,3.83,Upgrade
5,PS Ratio,0.20,0.17,0.16,0.14,0.15,0.14,0.14,0.12,0.11,0.10,0.11,0.14,0.18,0.18,0.16,0.13,0.15,0.11,0.10,0.09,0.07,Upgrade
6,PB Ratio,1.49,1.32,1.47,1.37,1.25,1.18,1.16,1.11,0.97,0.95,1.03,1.07,-,1.01,-,0.83,0.88,0.68,0.63,0.64,-,Upgrade
7,P/TBV Ratio,1.33,1.33,1.48,1.38,1.26,1.19,1.17,1.12,0.98,0.96,1.03,1.08,-,1.02,-,0.84,0.89,0.69,0.64,0.65,-,Upgrade
8,P/FCF Ratio,4.55,-,6.46,8.60,49.04,-,-,5.65,16.98,-,12.86,-,-47.22,-,9.93,-,5.05,-,-,-,1.19,Upgrade
9,P/OCF Ratio,3.16,3.16,5.67,7.40,29.45,-,-,5.33,14.33,-,11.85,-,-47.22,-,9.22,-,4.77,-,-,-,1.13,Upgrade
10,EV/Sales Ratio,0.20,0.17,0.16,0.17,0.19,0.15,0.15,0.14,0.14,0.12,0.14,0.17,0.22,0.18,0.16,0.14,0.22,0.14,0.14,0.16,0.13,Upgrade
11,EV/EBITDA Ratio,5.28,5.23,5.57,5.31,6.32,5.11,5.16,5.97,5.84,5.67,6.35,6.64,7.53,5.52,5.21,4.06,7.08,4.82,4.58,6.15,4.62,Upgrade
12,EV/EBIT Ratio,6.40,6.57,7.14,6.75,8.21,6.71,6.97,8.48,7.97,7.89,9.02,9.63,10.91,8.01,7.55,5.60,10.39,7.16,6.92,9.18,6.74,Upgrade
13,EV/FCF Ratio,4.92,-,6.73,10.15,61.21,-,-,6.64,21.90,-,15.93,-,-58.23,-,10.16,-,7.38,-,-,-,2.33,Upgrade
