,Fiscal Quarter,Q4 2024,Q3 2024,Q4 2023,Q3 2023
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023"
0,Revenue,839537,565613,1074651,715067
1,Cost of Revenue,822562,548628,1068500,697396
2,Gross Profit,16974,16985,6151,17670
3,"Selling, General & Admin",11910,12443,10203,13641
4,Operating Expenses,11910,12443,10203,13641
5,Operating Income,5065,4542,-4052,4029
6,Interest Expense,-92.52,-41.95,-613.64,-113.78
7,Interest & Investment Income,700.53,464.59,24.91,93.62
8,Currency Exchange Gain (Loss),0.35,-,0.2,-
9,Other Non Operating Income (Expenses),-0.45,-27.44,883.86,1917
10,Pretax Income,5673,4937,-3757,5926
11,Income Tax Expense,1299,1029,-674.17,1185
12,Net Income,4374,3908,-3082,4741
13,Net Income to Common,4374,3908,-3082,4741
14,Shares Outstanding (Basic),21,21,21,21
15,Shares Outstanding (Diluted),21,21,21,21
16,EPS (Basic),206.00,184.00,-145.06,223.00
17,EPS (Diluted),206.00,184.00,-145.06,223.00
18,Free Cash Flow,45792,-,85777,-
19,Free Cash Flow Per Share,2156.71,-,4036.83,-
20,Gross Margin,2.02%,3.00%,0.57%,2.47%
21,Operating Margin,0.60%,0.80%,-0.38%,0.56%
22,Profit Margin,0.52%,0.69%,-0.29%,0.66%
23,Free Cash Flow Margin,5.45%,-,7.98%,-
24,EBITDA,5440,4918,-3663,-
25,EBITDA Margin,0.65%,0.87%,-0.34%,-
26,D&A For EBITDA,374.82,375.82,389.34,-
27,EBIT,5065,4542,-4052,4029
28,EBIT Margin,0.60%,0.80%,-0.38%,0.56%
29,Effective Tax Rate,22.90%,20.85%,-,20.00%
30,Revenue as Reported,839537,565613,1074651,715067
