,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q3 2021,Q4 2019,Q4 2018,Q2 2014,Q1 2014,Q2 2013,Q1 2013,Q4 2010
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Dec '19 Dec 31, 2019","Dec '18 Dec 31, 2018","Jun '14 Jun 30, 2014","Mar '14 Mar 31, 2014","Jun '13 Jun 30, 2013","Mar '13 Mar 31, 2013","Dec '10 Dec 31, 2010"
0,Cash & Equivalents,55885,65539,71689,3049,8567,11993,6197,8086,2475,533.12,-,-,-,10856,-,3472,-,-,-,18912
1,Short-Term Investments,56438,42554,20620,57420,35281,36487,18030,16518,12888,12134,-,-,-,35645,-,7815,-,-,-,134345
2,Cash & Short-Term Investments,112323,108093,92308,60469,43848,48480,24227,24604,15363,12667,-,-,-,46501,-,11287,-,-,-,153257
3,Cash Growth,156.16%,122.96%,281.01%,145.77%,185.41%,282.72%,-,-,-,-72.76%,-,-,-,-,-,-92.64%,-,-,-,-
4,Accounts Receivable,21099,21299,-40473,21599,21599,36602,36602,36602,36602,21599,-,-,-,27291,-,43076,-,-,-,75088
5,Other Receivables,-17812,-9984,54139,-10809,14153,112080,133220,129191,134370,154788,-,-,-,9049,-,13251,-,-,-,187516
6,Receivables,3287,11315,13666,10790,35752,148682,169821,165793,170971,176387,-,-,-,36340,-,56326,-,-,-,262605
7,Inventory,1218,1218,1218,1218,1218,1218,1218,1218,1218,1218,-,-,-,1218,-,17411,-,-,-,727.57
8,Prepaid Expenses,108.02,232,95.99,72.76,72.76,41.77,46.02,56.28,25.68,44.86,-,-,-,-,-,-,-,-,-,65.31
9,Other Current Assets,966.31,962.78,874.63,921.01,867.01,830.88,868.68,868.68,868.68,596.99,-,-,-,532.14,-,808.75,-,-,-,902.74
10,Total Current Assets,117903,121821,108163,73471,81759,199252,196182,192540,188447,190915,-,-,-,84592,-,85833,-,-,-,417558
11,"Property, Plant & Equipment",33293,181677,181791,181724,181630,186999,186946,186809,186632,184596,-,-,-,155527,-,125503,-,-,-,117433
12,Long-Term Investments,20890,20540,20540,20540,12259,11370,11370,11370,11370,16730,-,-,-,36814,-,37536,-,-,-,83504
13,Other Intangible Assets,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14.05
14,Other Long-Term Assets,83496,79100,91513,126551,124467,5171,5171,5171,5171,5171,-,-,-,4625,-,27506,-,-,-,-
15,Total Assets,255581,403138,402007,402286,400114,402793,399669,395890,391621,397412,-,-,-,281557,-,276377,-,-,-,618509
16,Accounts Payable,17.21,15.25,16.24,12.04,10.04,14.04,18.42,16.42,32.01,10.04,-,-,-,311.07,-,1008,-,-,-,1026
17,Accrued Expenses,830.91,1296,900.47,931.33,1331,917.18,1153,1140,1236,1020,-,-,-,1028,-,1747,-,-,-,940.18
18,Short-Term Debt,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,166680
19,Current Income Taxes Payable,22781,139.13,144.65,203.85,48.85,25.42,25.42,25.42,27.29,25.42,-,-,-,773.52,-,32.3,-,-,-,2221
20,Other Current Liabilities,4144,154188,154122,154119,154106,154141,154124,154051,154101,153985,-,-,-,44123,-,29698,-,-,-,53451
21,Total Current Liabilities,27773,155639,155183,155267,155496,155098,155321,155233,155397,155040,-,-,-,46235,-,32485,-,-,-,224318
22,Long-Term Unearned Revenue,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,47.5
23,Total Liabilities,27773,155639,155183,155267,155496,155098,155321,155233,155397,155040,-,-,-,46235,-,32485,-,-,-,224366
24,Common Stock,373500,373500,373500,373500,373500,373500,373500,373500,373500,373500,-,-,-,373500,-,373500,-,-,-,373500
