,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Investments in Debt Securities,2836072,3005188,1383165,1087081,1326434,1476290,1849364,1870373,1700370,2373889,1892704,1468003,968003,1283003,703003,353003,353003,423003,423003,423391,Upgrade
1,Investments in Equity & Preferred Securities,7402,7572,7325,22779,24251,24932,25164,26165,27876,28342,31735,29412,29430,26061,26675,26397,85152,95234,-,-,Upgrade
2,Other Investments,11240360,11961832,11398548,11402671,9983735,11293525,9516576,9037448,7456419,7641527,8563218,8455215,8784936,8028861,7317159,8016059,7571459,7588809,7614815,8009599,Upgrade
3,Total Investments,15083462,15981705,15048889,14579679,12865872,14151244,12899298,13175043,11636362,12580961,13175957,12207619,11748895,12027043,11321525,11685813,10968249,11551971,11485111,11331148,Upgrade
4,Cash & Equivalents,388793,622973,613506,927544,877163,1000179,1640364,956233,1423600,801476,702509,1863691,1015036,1151831,1638648,1176675,1143601,939080,904740,731444,Upgrade
5,Reinsurance Recoverable,13621048,14360105,12753613,12574247,10683265,10911390,11373379,11156549,10782380,10444745,10281662,10050453,9570637,8688663,8851124,8474438,8112302,8980766,8355374,9710929,Upgrade
6,Other Receivables,1386823,1376473,1531611,1407666,1335579,1193819,1272064,889139,1065799,865399,1202505,854716,915216,857276,1264771,845463,1112840,622066,929943,880382,Upgrade
7,"Property, Plant & Equipment",271598,276373,283086,284415,284792,277998,268836,270389,273720,268546,273878,279977,287622,295561,297994,300422,310387,321119,305807,302968,Upgrade
8,Other Intangible Assets,58300,59238,60361,64658,69315,73001,76981,81492,85856,90440,42795,43187,43628,54561,44730,46557,48495,50069,52708,55897,Upgrade
9,Other Current Assets,832103,742249,815119,727180,694536,673942,731694,745711,717929,705439,689498,651617,567538,482282,517475,479974,443618,439947,446078,432065,Upgrade
10,Long-Term Deferred Tax Assets,18748,25356,33231,22599,16086,12274,15888,12371,13801,28999,46397,45812,42931,39142,38242,44693,41245,40294,40880,40563,Upgrade
