,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Revenue,4726,3669,2418,5190,6408,2484,2418,2281,22129,11781,26095,21393,33405,19244,49016,20352,83454,14967,37141,9250,Upgrade
1,Revenue Growth (YoY),-26.25%,47.70%,0.02%,127.55%,-71.04%,-78.91%,-90.73%,-89.34%,-33.76%,-38.78%,-46.76%,5.11%,-59.97%,28.57%,31.97%,120.02%,24.68%,12.47%,102.88%,-61.62%,Upgrade
2,Cost of Revenue,2130,1477,992.39,3542,4726,927.65,942.32,647.21,14600,7736,18585,16138,25329,14089,37891,15079,71554,9938,26467,6536,Upgrade
3,Gross Profit,2596,2192,1426,1647,1682,1556,1476,1634,7529,4045,7509,5254,8076,5156,11125,5272,11900,5029,10674,2715,Upgrade
4,"Selling, General & Admin",1750,1920,1792,1929,1789,1662,1741,1515,3520,3018,4699,3014,3935,2934,5941,3221,7702,4013,6263,2926,Upgrade
5,Operating Expenses,1750,1920,1792,1929,1789,1662,1741,1515,3520,3018,4699,3014,3935,2934,5941,3221,7702,4013,6263,2926,Upgrade
6,Operating Income,845.13,272.07,-365.43,-281.4,-107.44,-105.32,-265.16,118.61,4009,1027,2810,2240,4141,2222,5184,2051,4199,1016,4411,-211.1,Upgrade
7,Interest Expense,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-50.4,-,-,-,-,-,Upgrade
8,Interest & Investment Income,137.51,470.91,407.79,285.42,137.55,199.25,572.35,104.06,563.58,443.33,60.81,27.19,200.57,105.14,1043,22.48,2007,755.61,2126,1825,Upgrade
9,Other Non Operating Income (Expenses),74.51,-2.39,387.28,231.29,67.69,172.77,140.74,329.9,-346.68,-58.9,-854.28,-44.39,5103,-127.25,-155.89,27.54,14.94,160.38,-109.03,-39.98,Upgrade
10,EBT Excluding Unusual Items,1057,740.59,429.64,235.31,97.8,266.7,447.93,552.57,4226,1412,2016,2223,9444,2199,6021,2101,6221,1932,6428,1574,Upgrade
11,Pretax Income,1057,740.59,429.64,235.31,97.8,266.7,447.93,552.57,4226,1412,2016,2223,9444,2199,6021,2101,6221,1932,6428,1574,Upgrade
12,Income Tax Expense,198.23,137.82,22.12,61.29,8.16,66.5,5.31,124.31,857.13,222.94,426,457.15,663.91,451.89,1144,442.84,-632.23,280.64,1251,335.1,Upgrade
13,Earnings From Continuing Operations,858.93,602.77,407.51,174.02,89.64,200.2,442.62,428.26,3369,1189,1590,1766,8780,1748,4877,1659,6853,1651,5177,1239,Upgrade
14,Minority Interest in Earnings,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-62.25,Upgrade
15,Net Income,858.93,602.77,407.51,174.02,89.64,200.2,442.62,428.26,3369,1189,1590,1766,8780,1748,4877,1659,6853,1651,5177,1177,Upgrade
16,Net Income to Common,858.93,602.77,407.51,174.02,89.64,200.2,442.62,428.26,3369,1189,1590,1766,8780,1748,4877,1659,6853,1651,5177,1177,Upgrade
17,Net Income Growth,858.21%,201.08%,-7.93%,-59.36%,-97.34%,-83.16%,-72.17%,-75.74%,-61.63%,-31.98%,-67.39%,6.45%,28.12%,5.85%,-5.80%,40.97%,-1.58%,155.37%,346.85%,-68.43%,Upgrade
18,Shares Outstanding (Basic),14,14,-,-,-,-,-,-,14,-,-,-,-,-,-,-,-,-,-,-,Upgrade
19,Shares Outstanding (Diluted),14,14,-,-,-,-,-,-,14,-,-,-,-,-,-,-,-,-,-,-,Upgrade
20,EPS (Basic),61.98,43.49,-,-,-,-,-,-,243.06,-,-,-,-,-,-,-,-,-,-,-,Upgrade
21,EPS (Diluted),61.98,43.49,-,-,-,-,-,-,243.06,-,-,-,-,-,-,-,-,-,-,-,Upgrade
22,Free Cash Flow,-8423,-8423,-468.84,777.97,1849,451.91,-1011,-2437,-,-1021,-3848,6447,10485,-4997,-,-11701,-13550,-100797,35708,-16090,Upgrade
23,Free Cash Flow Per Share,-607.81,-607.81,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
24,Dividend Per Share,-,-,-,-,-,-,-,-,300.000,-,-,-,-,-,-,-,-,-,363.636,-,Upgrade
25,Gross Margin,54.92%,59.75%,58.97%,31.74%,26.24%,62.66%,61.03%,71.62%,34.02%,34.34%,28.78%,24.56%,24.18%,26.79%,22.70%,25.91%,14.26%,33.60%,28.74%,29.35%,Upgrade
26,Operating Margin,17.88%,7.42%,-15.11%,-5.42%,-1.68%,-4.24%,-10.97%,5.20%,18.12%,8.72%,10.77%,10.47%,12.40%,11.54%,10.58%,10.08%,5.03%,6.79%,11.88%,-2.28%,Upgrade
27,Profit Margin,18.18%,16.43%,16.85%,3.35%,1.40%,8.06%,18.31%,18.78%,15.22%,10.09%,6.10%,8.25%,26.28%,9.08%,9.95%,8.15%,8.21%,11.03%,13.94%,12.72%,Upgrade
28,Free Cash Flow Margin,-178.25%,-229.58%,-19.39%,14.99%,28.85%,18.19%,-41.83%,-106.85%,-,-8.67%,-14.75%,30.14%,31.39%,-25.97%,-,-57.50%,-16.24%,-673.45%,96.14%,-173.94%,Upgrade
29,EBIT,845.13,272.07,-365.43,-281.4,-107.44,-105.32,-265.16,118.61,4009,1027,2810,2240,4141,2222,5184,2051,4199,1016,4411,-211.1,Upgrade
30,EBIT Margin,17.88%,7.42%,-15.11%,-5.42%,-1.68%,-4.24%,-10.97%,5.20%,18.12%,8.72%,10.77%,10.47%,12.40%,11.54%,10.58%,10.08%,5.03%,6.79%,11.88%,-2.28%,Upgrade
31,Effective Tax Rate,18.75%,18.61%,5.15%,26.05%,8.34%,24.93%,1.19%,22.50%,20.28%,15.79%,21.13%,20.57%,7.03%,20.55%,19.00%,21.07%,-,14.53%,19.47%,21.29%,Upgrade
32,Revenue as Reported,4726,3669,2418,5190,6408,2484,2418,2281,22129,11781,26095,21393,33405,19244,49016,20352,83454,14967,37141,9250,Upgrade
