,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Jan '24 Jan 1, 2024","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Cash & Equivalents,64762,70011,37934,18710,55316,-,22245,64064,61843,32107,33870,47074,47523,-,15739,-,19157,35611,21885,-,Upgrade
1,Short-Term Investments,55000,61502,59502,59502,46500,-,66002,66002,63502,100002,86002,94002,104002,-,48002,-,44002,48002,41002,-,Upgrade
2,Trading Asset Securities,2.15,-,-,-,2.15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
3,Cash & Short-Term Investments,119764,131513,97436,78212,101819,-,88247,130066,125346,132109,119872,141076,151526,-,63741,63159,63159,83613,62887,34580,Upgrade
4,Cash Growth,17.63%,-,10.41%,-39.87%,-18.77%,-,-26.38%,-7.80%,-17.28%,-,88.06%,123.36%,139.91%,-,1.36%,82.65%,82.65%,-,191.82%,-27.00%,Upgrade
5,Accounts Receivable,41147,49617,36392,43435,29317,-,40493,40206,44679,45295,34624,27166,28933,-,47920,-,35757,38467,29745,-,Upgrade
6,Other Receivables,1791,822.62,884.62,36683,1795,-,2340,1646,1847,1148,1496,31486,2028,-,628.82,-,948.04,1272,457.26,-,Upgrade
7,Receivables,42938,50440,37277,80118,31112,-,42833,41852,46526,46443,36120,58653,30961,-,48549,-,36705,39739,30202,-,Upgrade
8,Inventory,63738,73046,93464,93042,90109,-,97662,84004,65672,62433,61997,43698,39839,-,91362,-,86030,83213,87440,-,Upgrade
9,Prepaid Expenses,161.59,261.36,57.5,126.21,189.87,-,41.25,129.82,180.85,259.17,67.94,213.92,370.75,-,940.74,-,182.57,440.3,396.04,-,Upgrade
10,Other Current Assets,8199,8387,8524,7256,8444,-,7768,5707,5164,4569,3375,1596,-,-,2054,-,659.25,1002,1078,-,Upgrade
11,Total Current Assets,234801,263648,236758,258755,231673,-,236552,261759,242889,245813,221432,245236,222696,-,206647,-,186736,208008,182002,-,Upgrade
12,"Property, Plant & Equipment",4347,4442,4983,4923,6482,-,9716,10430,12187,13479,12850,13204,14428,-,14590,-,16853,18278,19627,-,Upgrade
13,Other Intangible Assets,19739,19739,19739,19739,19739,-,19777,19795,19814,19833,19852,19870,19889,-,19739,-,19739,19739,19739,-,Upgrade
14,Long-Term Deferred Tax Assets,-,-,-,-,-,-,-,-,-,-,-,78.47,78.47,-,229.16,-,454.47,646.01,646.01,-,Upgrade
15,Other Long-Term Assets,208.1,48.1,48.1,48.1,61.43,-,70.67,57.21,64.7,60.32,66.56,70.2,39,-,39,-,40.26,40.26,40.26,-,Upgrade
16,Total Assets,259095,287877,261529,283465,257956,-,266115,292041,274954,279185,254200,278460,257131,-,241244,-,223823,246711,222055,-,Upgrade
17,Accounts Payable,11288,17081,17607,19317,3840,-,15096,16859,17645,12429,12554,19503,8795,-,21675,-,11462,24837,14086,-,Upgrade
18,Accrued Expenses,64182,84672,77170,68021,68374,-,85160,70886,63689,83140,76042,61998,56641,-,63190,-,40611,58820,55094,-,Upgrade
19,Current Income Taxes Payable,3084,8207,4226,3938,3549,-,8335,4727,5137,8682,3874,4749,3893,-,3685,-,4236,7858,10165,-,Upgrade
20,Other Current Liabilities,1659,10142,7690,3377,5242,-,7627,9825,12370,10737,11931,15024,24207,-,13941,-,14602,13642,13356,-,Upgrade
21,Total Current Liabilities,80214,120101,106693,94653,81006,-,116218,102297,98841,114988,104401,101274,93535,-,102491,-,70911,105157,92701,-,Upgrade
22,Total Liabilities,80214,120101,106693,94653,81006,-,116218,102297,98841,114988,104401,101274,93535,-,102491,-,70911,105157,92701,-,Upgrade
23,Common Stock,120466,120466,120466,120466,120466,-,120466,120466,120466,100558,100558,100558,100558,-,100558,-,100558,100558,100558,-,Upgrade
24,Retained Earnings,58416,47310,34369,68347,56484,-,29431,69278,55647,63639,49242,76628,63038,-,38196,-,52355,40996,28796,-,Upgrade
25,Shareholders' Equity,178881,167775,154835,188812,176950,-,149897,189744,176113,164197,149799,177186,163596,-,138753,152912,152912,141554,129354,137597,Upgrade
26,Total Liabilities & Equity,259095,287877,261529,283465,257956,-,266115,292041,274954,279185,254200,278460,257131,-,241244,-,223823,246711,222055,-,Upgrade
27,Net Cash (Debt),119764,131513,97436,78212,101819,-,88247,130066,125346,132109,119872,141076,151526,-,63741,63159,63159,83613,62887,34580,Upgrade
28,Net Cash Growth,17.63%,-,10.41%,-39.87%,-18.77%,-,-26.38%,-7.80%,-17.28%,-,88.06%,123.36%,139.91%,-,1.36%,82.65%,82.65%,-,191.82%,-27.00%,Upgrade
29,Net Cash Per Share,9942.58,10915.32,8084.10,6494.30,8448.43,-,7328.17,12938.58,5675.18,10968.02,9947.00,11706.62,12584.11,-,5289.45,5242.90,5245.13,6939.18,5221.71,2439.76,Upgrade
30,Filing Date Shares Outstanding,12.05,12.05,12.05,12.04,12.05,12.05,12.04,10.05,22.09,12.04,12.05,12.05,12.04,12.05,12.05,12.05,12.04,12.05,12.04,14.17,Upgrade
31,Total Common Shares Outstanding,12.05,12.05,12.05,12.04,12.05,12.05,12.04,10.05,22.09,12.04,12.05,12.05,12.04,12.05,12.05,12.05,12.04,12.05,12.04,14.17,Upgrade
32,Working Capital,154587,143546,130065,164102,150667,-,120333,159461,144047,130825,117031,143962,129161,-,104156,-,115825,102851,89301,-,Upgrade
33,Book Value Per Share,14849.14,13925.01,12846.46,15677.89,14682.48,-,12447.68,18875.14,7973.71,13632.07,12430.39,14703.07,13586.53,-,11514.23,12698.74,12698.74,11747.77,10740.74,11424.02,Upgrade
34,Tangible Book Value,159142,148036,135096,169073,157211,-,130120,169949,156299,144364,129948,157316,143707,-,119014,133173,133173,121815,109615,117858,Upgrade
35,Tangible Book Value Per Share,13210.58,12286.71,11208.74,14038.88,13044.63,-,10805.40,16905.97,7076.61,11985.50,10783.11,13054.21,11934.76,-,9876.22,11059.50,11059.50,10109.61,9101.73,9785.19,Upgrade
36,Buildings,82322,-,-,-,81534,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
37,Machinery,71077,-,-,-,70007,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
38,Construction In Progress,-,-,-,-,-,-,-,-,-,-,-,57.24,-,-,-,-,-,-,-,-,Upgrade
