,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Cash & Equivalents,71440,106178,137974,-,138098,-,-,-,-,90232,75657,63015,33814,25806,20980,32937,30465,48858,-,49411,Upgrade
1,Short-Term Investments,118580,92111,32111,-,32672,-,-,-,-,29500,29500,29500,29500,29500,29500,29500,-,-,-,-,Upgrade
2,Cash & Short-Term Investments,190020,198289,170084,170770,170770,-,-,108505,-,119732,105157,92515,63314,55306,50480,62437,30465,48858,-,49411,Upgrade
3,Cash Growth,11.27%,-,-,57.38%,-,-,-,17.28%,-,116.49%,108.31%,48.17%,107.83%,13.20%,-,26.36%,78.55%,-0.99%,-,-44.55%,Upgrade
4,Accounts Receivable,242368,298596,322754,-,298995,-,-,-,-,368083,493809,518493,527543,561363,479909,483218,496686,481493,-,507405,Upgrade
5,Other Receivables,49096,56187,54168,-,62077,-,-,-,-,77884,70730,81843,65883,70187,64070,62746,60199,62700,-,64161,Upgrade
6,Receivables,291464,354783,376922,-,361072,-,-,-,-,445967,564539,600336,593426,631550,543979,545964,559074,544193,-,571566,Upgrade
7,Inventory,228630,231769,244143,-,254350,-,-,-,-,345625,355922,350570,344362,367013,381138,365106,323945,329519,-,332002,Upgrade
8,Prepaid Expenses,2170,2543,1420,-,516.16,-,-,-,-,255.13,25.76,57.32,99.32,64,802.56,117.62,520.21,1038,-,7002,Upgrade
9,Other Current Assets,43810,66310,71827,-,74168,-,-,-,-,136225,131610,132578,156538,174291,180956,167189,170403,200336,-,159824,Upgrade
10,Total Current Assets,756094,853694,864396,-,860876,-,-,-,-,1047804,1157253,1176056,1157739,1228224,1157356,1140814,1084407,1123944,-,1119805,Upgrade
