,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q1 2020,Q4 2019,Q3 2019,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019",+20 Quarters
0,Cash & Equivalents,20243,28313,19735,16468,30999,-,-,-,-,16640,26932,9785,-,-,11380,23593,13393,-,28506,-,Upgrade
1,Short-Term Investments,76000,101000,101000,101000,123000,-,-,-,-,101006,101006,102006,-,-,127006,97006,97006,-,44951,-,Upgrade
2,Cash & Short-Term Investments,96243,129313,120735,117468,153999,-,-,86687,-,117646,127938,111792,-,-,138386,120599,110399,-,73458,72856,Upgrade
3,Cash Growth,-37.50%,-,-,35.51%,-,-,-,-22.46%,-,-,-7.55%,-7.30%,-,-,88.39%,65.53%,51.53%,-,7.06%,-55.83%,Upgrade
4,Accounts Receivable,188898,194176,180720,185627,269125,-,-,-,-,248597,211660,216538,-,-,146503,166195,125375,-,29546,-,Upgrade
5,Other Receivables,12606,52759,79826,97461,54090,-,-,-,-,20036,16992,19249,-,-,26004,17090,12060,-,17288,-,Upgrade
6,Receivables,201504,246935,260546,283088,323215,-,-,-,-,268633,228652,235787,-,-,172507,183285,137434,-,46834,-,Upgrade
7,Inventory,99733,124942,144199,131749,133855,-,-,-,-,207868,185593,162557,-,-,119775,116204,107148,-,107644,-,Upgrade
8,Prepaid Expenses,16022,11225,4241,4204,6681,-,-,-,-,5803,8970,6987,-,-,1237,936.74,922.35,-,-,-,Upgrade
9,Other Current Assets,22160,18045,14438,75626,13670,-,-,-,-,24212,23987,17242,-,-,26612,8884,4171,-,28127,-,Upgrade
10,Total Current Assets,435661,530460,544159,612135,631420,-,-,-,-,624163,575140,534365,-,-,458516,429909,360075,-,256063,-,Upgrade
11,"Property, Plant & Equipment",362130,368010,374536,304334,311182,-,-,-,-,358182,361742,366211,-,-,362393,374638,385750,-,311880,-,Upgrade
12,Long-Term Investments,13201,13342,13342,13459,13459,-,-,-,-,15234,15234,16538,-,-,15805,15805,16357,-,53168,-,Upgrade
13,Goodwill,1304,1400,1495,1591,1686,-,-,-,-,2163,2259,2354,-,-,2736,2831,2927,-,3213,-,Upgrade
14,Other Intangible Assets,-,-,-,-,-,-,-,-,-,14207,14220,14234,-,-,14287,14300,14148,-,-,-,Upgrade
