,Fiscal Quarter,Q4 2024,Q3 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Jan '24 Jan 1, 2024","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters
0,Cash & Equivalents,4588,5192,2946,4209,4221,3771,2262,5259,6338,21209,15064,12967,10155,6808,-,11088,2414,3147,3315,2872,Upgrade
1,Short-Term Investments,-,-,-,-,2450,2450,2450,-,-,-,-,-,-,-,-,-,-,-,2000,4000,Upgrade
2,Cash & Short-Term Investments,4588,5192,2946,4209,6671,6221,4712,5259,6338,21209,15064,12967,10155,6808,-,11088,2414,3147,5315,6872,Upgrade
3,Cash Growth,-31.22%,-16.54%,-37.47%,-19.97%,5.26%,-70.67%,-68.72%,-59.44%,-37.59%,211.50%,-,16.95%,320.65%,116.36%,-,61.36%,-53.19%,-40.11%,0.14%,-12.22%,Upgrade
4,Accounts Receivable,26955,24751,25287,20924,27056,25563,22646,17873,23216,22499,26279,25125,30260,33734,-,30250,32517,29550,30664,25487,Upgrade
5,Other Receivables,869.31,825.07,766.89,809.9,1645,1706,1780,1995,2174,1846,1839,1867,1550,1575,-,1763,1947,1369,1589,1503,Upgrade
6,Receivables,27824,25576,26054,21733,28701,27269,24426,19868,25390,24345,28118,26992,31810,35309,-,32013,34464,30918,32253,26990,Upgrade
7,Inventory,20600,23330,22788,21548,23022,24193,28191,24690,27851,26904,26220,22332,24975,23739,-,17988,18828,18846,20527,16566,Upgrade
8,Other Current Assets,45.23,-,53.21,716.4,283.25,1776,3516,4429,45664,13285,371.47,190.89,236.3,1214,-,152.19,240.6,438.68,2292,478.28,Upgrade
9,Total Current Assets,53058,54097,51842,48207,58678,59459,60845,54245,105242,85743,69774,62483,67177,67070,-,61241,55946,53350,60387,50907,Upgrade
10,"Property, Plant & Equipment",1166,1290,1246,1471,1601,1845,2035,2321,2641,3043,3480,3860,4064,3515,-,4463,4981,5337,5394,5992,Upgrade
11,Long-Term Investments,715.05,730.84,819,819,819,819,819,3269,3269,5019,5019,5019,5019,5019,-,5019,5019,5019,5019,5019,Upgrade
12,Long-Term Deferred Tax Assets,222.69,140,222.69,222.69,-,-,82.69,82.69,-,-,85.45,85.45,824.88,824.88,-,230.3,887.79,887.79,1007,119.39,Upgrade
13,Other Long-Term Assets,54171,50847,53208,54439,45899,45999,45899,45899,750,1010,920.2,920.2,1163,1133,-,1133,1133,1067,1068,1068,Upgrade
14,Total Assets,109333,107106,107337,105158,106998,108122,109681,105817,111903,94815,79279,72368,78248,77562,-,72086,67967,65661,72876,63106,Upgrade
15,Accounts Payable,17374,16810,18667,18846,20591,21894,24449,20141,19814,16976,18532,12990,15090,15712,-,13183,8817,7914,14218,12888,Upgrade
16,Accrued Expenses,10838,10576,7738,8551,11624,9788,8415,9900,13325,11344,9259,9605,19061,17931,-,14736,17825,13370,11218,10685,Upgrade
17,Short-Term Debt,13475,13120,14924,12047,16669,16118,18449,17911,19671,13400,-,-,-,-,-,-,-,4390,5897,-,Upgrade
18,Current Income Taxes Payable,147.94,815.25,771.35,438.65,326.42,377.03,402.8,575.64,2235,693.08,1064,551.95,476.62,880.45,-,786.78,771.27,833.36,1356,468.44,Upgrade
19,Other Current Liabilities,361.98,19.13,22.39,282.99,31.09,28.16,67.37,164.59,10.53,33.08,67.33,97.72,109.95,29.51,-,176.27,1163,1065,1168,1262,Upgrade
20,Total Current Liabilities,42197,41340,42122,40164,49241,48206,51783,48692,55056,42446,28922,23245,34738,34554,-,28882,28576,27573,33857,25304,Upgrade
21,Other Long-Term Liabilities,200,200,687.69,687.69,687.69,687.69,737.69,737.69,717.69,717.69,717.69,717.69,717.69,717.69,-,667.69,667.69,667.69,667.69,667.69,Upgrade
22,Total Liabilities,42397,41540,42809,40852,49929,48894,52520,49429,55773,43163,29640,23962,35456,35271,-,29550,29244,28240,34525,25972,Upgrade
23,Common Stock,30364,30364,30364,30364,30364,15182,15182,15182,15182,15182,15182,15182,15182,15182,-,15182,15182,15182,15182,15182,Upgrade
24,Retained Earnings,35053,33683,32645,32424,25186,42528,40460,39688,39429,34952,32938,31705,26092,25590,-,25835,22023,20720,21651,20434,Upgrade
25,Comprehensive Income & Other,1518,1518,1518,1518,1518,1518,1518,1518,1518,1518,1518,1518,1518,1518,-,1518,1518,1518,1518,1518,Upgrade
26,Shareholders' Equity,66936,65565,64528,64306,57069,59229,57161,56388,56129,51652,49639,48405,42792,42290,-,42536,38723,37421,38351,37134,Upgrade
27,Total Liabilities & Equity,109333,107106,107337,105158,106998,108122,109681,105817,111903,94815,79279,72368,78248,77562,-,72086,67967,65661,72876,63106,Upgrade
28,Total Debt,13475,13120,14924,12047,16669,16118,18449,17911,19671,13400,-,-,-,-,-,-,-,4390,5897,-,Upgrade
29,Net Cash (Debt),-8886,-7928,-11977,-7838,-9998,-9898,-13737,-12652,-13333,7809,15064,12967,10155,6808,-,11088,2414,-1244,-582.26,6872,Upgrade
30,Net Cash Growth,-,-,-,-,-,-,-,-,-,14.70%,-,16.95%,320.65%,-,-,61.36%,-15.85%,-,-,89.32%,Upgrade
31,Net Cash Per Share,-2399.95,-2140.32,-3235.90,-7557.24,-2701.23,-2673.17,-3711.34,-3416.11,-3600.85,2109.66,4067.78,3501.78,2742.83,1837.85,-,2994.91,651.55,-335.96,-157.21,2262.19,Upgrade
32,Filing Date Shares Outstanding,3.04,3.04,3.04,1.04,3.04,3.04,3.04,3.04,3.04,3.04,3.7,3.04,3.04,3.04,3.7,3.04,3.04,3.04,3.04,3.04,Upgrade
33,Total Common Shares Outstanding,3.04,3.04,3.04,1.04,3.04,3.04,3.04,3.04,3.04,3.04,3.7,3.04,3.04,3.04,3.7,3.04,3.04,3.04,3.04,3.04,Upgrade
34,Working Capital,10861,12757,9720,8042,9437,11253,9062,5554,50187,43297,40851,39238,32439,32516,-,32358,27370,25777,26530,25603,Upgrade
35,Book Value Per Share,22044.12,21592.87,21251.14,62006.68,18794.67,19505.95,18824.91,18570.47,18485.29,17010.81,13404.32,15941.51,14092.89,13927.66,-,14008.48,12752.87,12323.93,12630.26,12224.18,Upgrade
36,Tangible Book Value,66936,65565,64528,64306,57069,59229,57161,56388,56129,51652,49639,48405,42792,42290,-,42536,38723,37421,38351,37134,Upgrade
37,Tangible Book Value Per Share,22044.12,21592.87,21251.14,62006.68,18794.67,19505.95,18824.91,18570.47,18485.29,17010.81,13404.32,15941.51,14092.89,13927.66,-,14008.48,12752.87,12323.93,12630.26,12224.18,Upgrade
38,Buildings,7954,-,-,7954,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
39,Machinery,23790,-,-,24408,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
