,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Market Capitalization,894162,878438,789808,700463,514626,456016,523203,561800,458160,650430,650430,589675,458160,362382,564659,493898,793381,664725,471740,414560,471740,Upgrade
1,Market Cap Growth,92.63%,92.63%,50.96%,24.68%,12.32%,-29.89%,-19.56%,-4.73%,0%,79.49%,15.19%,19.39%,-42.25%,-45.48%,19.70%,19.14%,68.18%,-12.76%,-48.76%,-51.26%,-37.85%,Upgrade
2,Enterprise Value,808033,829230,740600,694681,491488,432878,491306,571338,451779,646556,659608,617716,481279,380693,589225,498801,798285,657790,459405,412873,473923,Upgrade
3,Last Close Price,125100.00,122900.00,110500.00,97150.78,71376.08,63247.14,71574.35,76854.43,62676.45,88979.04,88979.04,80667.81,62676.45,49574.04,76266.51,66709.06,107159.27,89782.10,63716.33,55993.13,62442.00,Upgrade
4,PE Ratio,8.91,8.87,7.41,7.12,6.97,8.93,12.61,14.53,10.30,10.95,10.68,9.80,9.80,11.28,24.93,20.75,29.36,21.53,13.53,12.95,14.66,Upgrade
5,PS Ratio,1.26,1.23,1.16,1.15,0.98,1.00,1.24,1.40,1.12,1.46,1.50,1.30,1.08,0.94,1.57,1.46,2.60,2.14,1.47,1.34,1.47,Upgrade
6,PB Ratio,2.58,2.54,2.28,2.22,1.83,1.80,2.30,2.50,2.12,3.08,3.33,3.14,2.67,2.39,3.98,3.86,-,5.61,4.24,4.02,3.87,Upgrade
7,P/TBV Ratio,2.54,2.54,2.28,2.22,1.83,1.80,2.30,2.50,2.12,3.09,3.33,3.14,2.67,2.39,3.98,3.86,-,5.61,4.24,4.02,3.87,Upgrade
8,P/FCF Ratio,12.72,12.50,16.79,28.73,-,-,-,14.76,-,-,22.53,26.53,-,-127.63,41.47,-,-,53.36,-,10.21,9.21,Upgrade
9,P/OCF Ratio,8.90,8.90,8.86,9.43,-,5.53,8.48,8.97,8.94,-,10.79,10.40,17.54,25.46,13.00,-,-,19.51,-,9.74,8.40,Upgrade
10,EV/Sales Ratio,1.14,1.16,1.09,1.14,0.93,0.95,1.17,1.43,1.10,1.45,1.52,1.37,1.13,0.99,1.64,1.47,2.62,2.11,1.43,1.34,1.47,Upgrade
11,EV/EBITDA Ratio,6.19,6.54,5.33,5.34,4.87,5.77,7.72,9.32,6.56,7.41,7.29,6.88,6.59,7.01,19.77,28.77,80.17,-,-,-,-,Upgrade
12,EV/EBIT Ratio,7.30,7.76,6.17,6.19,5.86,7.45,10.51,12.84,8.72,9.14,8.89,8.36,8.23,9.45,20.50,16.58,23.61,17.19,10.60,10.32,11.69,Upgrade
13,EV/FCF Ratio,11.50,11.80,15.75,28.49,-,-,-,15.01,-,-,22.85,27.79,-,-134.08,43.27,-,-,52.80,-,10.17,9.25,Upgrade
14,Debt / Equity Ratio,0.06,0.06,0.06,-,0.03,-,-,-,0.09,0.06,0.02,0.10,0.24,0.20,0.20,0.29,-,0.23,0.09,0.08,0.10,Upgrade
15,Debt / EBITDA Ratio,0.16,0.25,0.21,-,0.05,-,-,-,0.45,0.16,0.06,0.19,0.36,0.31,0.55,1.26,-,-,-,-,-,Upgrade
16,Debt / FCF Ratio,0.29,0.29,0.43,-,-,-,-,-,-,-,0.10,0.83,-,-10.85,2.03,-,-,2.24,-,0.21,0.23,Upgrade
17,Asset Turnover,1.66,1.71,2.05,-,2.04,1.53,1.64,1.34,1.82,1.40,1.87,2.04,1.98,1.93,-,-,1.68,1.93,1.46,2.07,Upgrade,
18,Inventory Turnover,6.93,6.03,5.41,4.87,-,6.95,5.23,4.81,3.80,4.88,3.91,5.26,5.63,6.18,6.44,-,-,6.37,6.93,5.02,7.49,Upgrade
19,Quick Ratio,2.15,2.15,2.15,1.65,0.87,1.60,0.96,1.89,1.00,1.15,0.79,0.75,0.72,0.72,0.84,0.53,-,0.69,0.81,0.99,1.54,Upgrade
20,Current Ratio,3.50,3.50,3.50,3.70,2.73,3.45,2.24,4.40,3.17,2.69,3.07,2.41,1.80,1.78,1.84,1.47,-,1.44,1.54,1.88,2.58,Upgrade
21,Return on Equity (ROE),20.14%,22.55%,47.20%,-,41.46%,18.63%,19.37%,9.31%,30.20%,16.07%,36.73%,49.27%,46.02%,20.67%,-,-,25.73%,30.31%,22.27%,30.02%,Upgrade,
22,Return on Assets (ROA),8.43%,11.45%,27.59%,-,24.17%,10.15%,11.62%,5.57%,16.81%,9.25%,19.29%,25.62%,23.89%,10.26%,-,-,11.63%,14.84%,12.30%,16.40%,Upgrade,
23,Return on Capital (ROIC),10.37%,13.96%,33.68%,-,29.60%,12.45%,13.44%,6.55%,20.29%,11.13%,23.43%,31.61%,29.33%,13.02%,-,-,17.01%,21.57%,16.13%,20.10%,Upgrade,
24,Return on Capital Employed (ROCE),29.96%,28.92%,32.51%,35.12%,29.47%,22.61%,20.19%,19.50%,23.58%,32.92%,37.19%,38.52%,33.30%,25.86%,19.67%,22.77%,-,31.16%,37.55%,37.26%,32.08%,Upgrade
25,Earnings Yield,11.22%,11.28%,13.49%,14.05%,14.35%,11.20%,7.93%,6.88%,9.71%,9.13%,9.37%,10.21%,10.21%,8.86%,4.01%,4.82%,3.41%,4.64%,7.39%,7.72%,6.82%,Upgrade
26,FCF Yield,7.86%,8.00%,5.95%,3.48%,4.34%,4.70%,4.54%,6.78%,3.42%,-,4.44%,3.77%,0.73%,-0.78%,2.41%,-,-1.22%,1.87%,2.37%,9.80%,10.86%,Upgrade
27,Dividend Yield,0.79%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.50%,-,-,-,-,-,Upgrade
28,Payout Ratio,7.13%,20.50%,19.14%,-,-,-,67.88%,-,-,-,-,-,-,42.39%,-,-,-,207.45%,-,25.65%,76.65%,Upgrade
29,Buyback Yield / Dilution,-0.00%,0.02%,0.00%,0.03%,-0.07%,-0.00%,0.03%,-0.03%,0.05%,0.00%,-0.02%,-0.11%,-0.05%,0.01%,-0.01%,0.08%,0.08%,-0.04%,-0.01%,0.03%,0.02%,Upgrade
30,Total Shareholder Return,0.79%,0.02%,0.00%,0.03%,-0.07%,-0.00%,0.03%,-0.03%,0.05%,0.00%,-0.02%,-0.11%,-0.05%,0.01%,-0.01%,1.58%,0.08%,-0.04%,-0.01%,0.03%,0.02%,Upgrade
