,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,+4 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019",+4 Quarters
0,Market Capitalization,102372,103523,112725,102372,98922,104482,108316,87228,86270,98731,91861,128606,120618,119020,111117,124925,115720,109000,69000,74000,70500,Upgrade
1,Market Cap Growth,20.00%,-0.92%,4.07%,17.36%,14.67%,5.83%,17.91%,-32.17%,-28.48%,-17.05%,-17.33%,2.95%,4.23%,9.19%,61.04%,68.82%,64.14%,62.69%,-7.38%,-,-,Upgrade
2,Enterprise Value,156961,154432,178058,150573,149525,152069,184423,163309,162351,164109,148692,181850,134923,133325,125422,139230,129188,106403,66403,69787,-,Upgrade
3,Last Close Price,8900.00,9000.00,9800.00,8900.00,8600.00,9083.33,9416.67,7583.33,7500.00,8583.33,7986.11,11180.56,10486.11,10347.22,9780.09,10995.37,9670.78,8867.89,5613.62,6020.40,5350.71,Upgrade
4,PE Ratio,7.29,5.29,6.47,5.45,5.60,6.54,6.13,4.67,4.41,4.87,5.04,8.18,7.92,6.97,5.81,5.74,3.80,3.93,2.56,2.86,3.30,Upgrade
5,PS Ratio,0.52,0.50,0.60,0.55,0.54,0.49,0.48,0.36,0.33,0.37,0.36,0.55,0.54,0.47,0.45,0.50,0.40,0.46,0.28,0.30,0.30,Upgrade
6,PB Ratio,0.67,0.68,0.77,0.72,0.71,0.80,0.85,0.71,0.71,-,0.84,-,1.18,-,-,-,1.24,1.35,0.90,0.96,1.00,Upgrade
7,P/TBV Ratio,0.68,0.68,0.77,0.72,0.71,0.80,0.85,0.71,0.71,-,0.84,-,1.18,-,-,-,1.24,1.35,0.90,0.97,1.00,Upgrade
8,P/FCF Ratio,-,-,-,-,3.28,-,14.09,-4.31,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
