,Fiscal Quarter,Q1 2025,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Cash & Equivalents,17220,36103,5240,17422,17235,14409,8839,30748,9804,32112,-,9156,-,5468,2635,-,-,3233,9933,7604,Upgrade
1,Short-Term Investments,124806,62301,56849,54899,41779,40744,40341,40341,40341,39590,-,39432,-,31075,31075,-,-,24130,20830,20830,Upgrade
2,Cash & Short-Term Investments,142026,98405,62088,72321,59013,55153,49180,71089,50145,71703,-,48588,-,36543,33710,-,-,27363,30763,28434,Upgrade
3,Cash Growth,140.67%,78.42%,26.25%,1.73%,17.69%,-23.08%,-,46.31%,-,96.21%,-,-,-,33.55%,9.58%,-,-,-12.95%,-,7.02%,Upgrade
4,Accounts Receivable,164581,115165,170358,206903,185685,170617,204411,194478,192757,249886,-,240572,-,292296,328473,-,-,352479,330555,335026,Upgrade
5,Other Receivables,20751,11332,102240,77776,67984,8381,51301,27664,63886,28557,-,20085,-,6252,4107,-,-,3815,3342,3973,Upgrade
6,Receivables,452463,186115,272598,284679,253669,235970,255712,222143,256644,278443,-,260657,-,298548,332580,-,-,356293,333897,338999,Upgrade
7,Inventory,377255,378824,347816,359045,359531,353918,365491,351043,355294,303076,-,281956,-,266224,312283,-,-,261284,267787,260963,Upgrade
8,Prepaid Expenses,1811,2583,4047,6045,937.79,2177,4785,4145,1667,2025,-,1130,-,1655,2448,-,-,1812,3022,3707,Upgrade
9,Other Current Assets,151986,102601,81428,74912,78759,73268,68739,65324,64216,18182,-,19736,-,15140,12214,-,-,9332,12376,10561,Upgrade
10,Total Current Assets,1125541,768527,767977,797002,751911,720486,743907,713745,727965,673428,-,612067,-,618111,693235,-,-,656084,647844,642664,Upgrade
11,"Property, Plant & Equipment",400400,389454,366732,358737,353592,263799,260810,227866,230544,167032,-,167489,-,170619,147467,-,-,151858,180850,183723,Upgrade
12,Long-Term Investments,30826,30826,31076,31076,31076,31976,32476,32476,32476,31738,-,32476,-,34476,34476,-,-,34476,34476,34476,Upgrade
13,Goodwill,402.29,414.86,427.43,440,452.57,465.14,477.72,490.29,548.91,-,-,-,-,-,-,-,-,-,-,-,Upgrade
14,Other Intangible Assets,90206,90506,90805,91105,91405,91704,92004,92303,92603,92903,-,93502,-,94101,94402,-,-,95325,95632,95940,Upgrade
15,Long-Term Deferred Tax Assets,114.59,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
16,Other Long-Term Assets,61943,61986,56286,48015,48068,47857,46034,47636,47934,45085,-,49021,-,49941,29440,-,-,28901,35204,35631,Upgrade
17,Total Assets,1709432,1341713,1313304,1326374,1276504,1156287,1175708,1114515,1132070,1010187,-,954555,-,967248,999020,-,-,966643,994006,992434,Upgrade
18,Accounts Payable,66233,54211,62929,58102,43119,31423,52671,36758,34322,33213,-,43807,-,88663,111158,-,-,93584,114035,121813,Upgrade
19,Accrued Expenses,12202,14213,5486,5909,4479,17762,4265,4313,3667,3540,-,4235,-,2620,9309,-,-,10322,8846,8076,Upgrade
20,Short-Term Debt,789401,676776,663539,665411,640508,617787,601760,584556,609429,593401,-,513835,-,499066,484326,-,-,441039,434143,425170,Upgrade
21,Current Portion of Long-Term Debt,42759,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
22,Current Income Taxes Payable,12505,10519,14742,22668,19474,13953,13897,12459,9776,8922,-,8893,-,9013,8120,-,-,13106,12864,11530,Upgrade
23,Current Unearned Revenue,-,-,-,-,-,-,8168,73.99,78.6,83.21,-,4211,-,84.61,88.66,-,-,-,11328,13282,Upgrade
24,Other Current Liabilities,7403,5153,10470,12966,11590,3456,10316,11053,13531,7590,-,10263,-,9773,27669,-,-,15732,9777,8363,Upgrade
25,Total Current Liabilities,930502,760872,757165,765056,719169,684381,691078,649213,670805,646749,-,585244,-,609220,640670,-,-,573784,590993,588235,Upgrade
26,Long-Term Debt,126949,128156,137524,148091,157996,90088,102734,73780,77576,42075,-,48209,-,57328,62759,-,-,69884,74432,79239,Upgrade
27,Long-Term Deferred Tax Liabilities,-,90.39,307.11,307.11,295.19,295.19,268.92,268.92,147.46,-,-,-,-,-,-,-,-,-,-,-,Upgrade
28,Other Long-Term Liabilities,22908,90014,58024,62307,51963,51437,49915,48344,41763,14603,-,24476,-,9660,9610,-,-,30885,30885,30885,Upgrade
29,Total Liabilities,1080359,979132,953020,975761,929423,826202,843996,771606,790290,703428,-,657929,-,676208,713038,-,-,674553,696311,698359,Upgrade
