,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Revenue,695800,598064,934023,165404,266985,135492,152773,140902,262761,212003,228486,204972,181542,129585,264814,134575,255822,144611,197260,93038,Upgrade
1,Revenue Growth (YoY),160.61%,341.40%,511.38%,17.39%,1.61%,-36.09%,-33.14%,-31.26%,44.74%,63.60%,-13.72%,52.31%,-29.04%,-10.39%,34.25%,44.65%,5.69%,-22.25%,8.85%,35.34%,Upgrade
2,Cost of Revenue,586968,536577,810411,101261,210092,77997,89569,88127,214773,151447,163930,136919,129647,74120,199874,71107,195783,93982,147278,52491,Upgrade
3,Gross Profit,108831,61487,123611,64142,56893,57495,63204,52774,47988,60556,64556,68053,51896,55465,64940,63468,60039,50629,49982,40546,Upgrade
4,"Selling, General & Admin",26222,18567,21070,11070,-2038,2753,19448,12324,22717,13723,32320,14304,17112,13238,38087,14243,17035,13272,18322,9816,Upgrade
5,Operating Expenses,26222,18567,21070,11070,-2038,2753,19448,12324,22717,13723,32320,14304,17112,13238,38087,14243,17035,13272,18322,9816,Upgrade
6,Operating Income,82610,42920,102542,53072,58932,54742,43756,40450,25271,46833,32237,53749,34783,42227,26853,49225,43005,37357,31660,30730,Upgrade
7,Interest Expense,-21830,-25211,-24522,-18024,-17443,-20322,-22427,-21012,-21267,-20488,-23038,-20861,-23221,-22331,-24866,-24209,-27808,-27161,-29177,-27796,Upgrade
8,Interest & Investment Income,103.15,165.43,289.29,81.51,124.5,30.66,18.86,64.75,65.49,34.31,7080,65.9,66.21,15.68,13.28,40.72,45.18,10.1,-,425.54,Upgrade
9,Currency Exchange Gain (Loss),146.99,-,-,-,0.02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
10,Other Non Operating Income (Expenses),-4440,-5123,-3814,639.71,-3292,-5088,-7575,-1303,-1571,-223.87,22968,-1000,1025,-448.55,2782,-717.22,-6940,-1003,8161,-647.71,Upgrade
11,EBT Excluding Unusual Items,56590,12751,74495,35769,38322,29363,13773,18200,2498,26155,39247,31954,12653,19463,4783,24339,8301,9202,10644,2712,Upgrade
12,Gain (Loss) on Sale of Assets,1747,-,-,-,139.54,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
13,Other Unusual Items,-2362,-,-,-,-311.99,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
14,Pretax Income,58874,12751,74495,35769,38149,29363,13773,18200,2498,26155,39247,31954,12653,19463,4783,24339,8301,9202,10644,2712,Upgrade
15,Income Tax Expense,3185,3023,2500,2648,2749,2412,2201,2219,2508,335.42,8529,1281,3307,1145,1044,1046,1849,880.52,859.21,1021,Upgrade
16,Earnings From Continuing Operations,55689,9728,71996,33122,35400,26952,11571,15982,-9.69,25820,30718,30673,9346,18318,3739,23293,6452,8321,9785,1692,Upgrade
17,Minority Interest in Earnings,-4478,-6987,-2579,-1507,-4549,-5451,-1100,-1222,-3906,-4755,-8688,-3423,-5804,-3291,-3232,-1109,-5910,-3153,-2053,866.91,Upgrade
18,Net Income,51211,2741,69417,31614,30851,21500,10471,14760,-3916,21065,22030,27250,3542,15027,507.25,22184,542.83,5168,7732,2559,Upgrade
19,Preferred Dividends & Other Adjustments,-,-,-,-,4950,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
20,Net Income to Common,51211,2741,69417,31614,25901,21500,10471,14760,-3916,21065,22030,27250,3542,15027,507.25,22184,542.83,5168,7732,2559,Upgrade
21,Net Income Growth,65.99%,-87.25%,562.95%,114.20%,-,2.07%,-52.47%,-45.84%,-,40.18%,4243.04%,22.84%,552.57%,190.76%,-93.44%,767.07%,-98.31%,-38.32%,-56.49%,9.88%,Upgrade
22,Shares Outstanding (Basic),24,24,24,24,24,23,24,24,24,24,24,24,24,24,24,24,24,24,26,24,Upgrade
23,Shares Outstanding (Diluted),24,24,24,24,24,23,24,24,24,24,24,169,24,24,24,24,24,24,26,24,Upgrade
24,Shares Change (YoY),2.26%,3.58%,-0.11%,0.04%,-1.80%,-3.07%,0.15%,-85.73%,0.05%,0.57%,-0.41%,602.32%,0.71%,-0.69%,-6.83%,-0.04%,8.09%,14.82%,-,34.21%,Upgrade
25,EPS (Basic),2119.01,113.00,2872.00,1308.00,1095.97,918.00,432.73,610.91,-162.73,871.82,911.82,1127.27,147.27,625.45,20.91,920.00,22.73,213.64,296.97,106.06,Upgrade
