,Fiscal Quarter,Q4 2024,Q1 2025,Q4 2023,Q1 2024,Q3 2020,Q1 2020,Q3 2019,Q1 2019
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020","Sep '19 Sep 30, 2019","Mar '19 Mar 31, 2019"
0,Cash & Equivalents,5422,-,8490,-,11619,3113,-,-
1,Short-Term Investments,-,-,263.76,-,-,-,-,-
2,Cash & Short-Term Investments,5422,-,8754,-,11619,3113,-,-
3,Cash Growth,-53.33%,-,-,-,-,-,-,-
4,Accounts Receivable,50962,-,53929,-,43805,59734,-,-
5,Other Receivables,907.57,-,2170,-,1531,2515,-,-
6,Receivables,51869,-,56099,-,45336,62249,-,-
7,Inventory,5701,-,27144,-,76227,82643,-,-
8,Prepaid Expenses,183.41,-,354.04,-,497.91,778.91,-,-
9,Other Current Assets,11675,-,14090,-,8193,2320,-,-
10,Total Current Assets,74851,-,106441,-,141873,151105,-,-
11,"Property, Plant & Equipment",37827,-,46809,-,33992,24378,-,-
12,Other Intangible Assets,3485,-,3629,-,4176,4304,-,-
13,Other Long-Term Assets,835.91,-,1180,-,2470,2840,-,-
14,Total Assets,116998,-,158059,-,182511,182627,-,-
15,Accounts Payable,7624,-,10849,-,60595,27032,-,-
16,Accrued Expenses,5375,-,7136,-,4997,4897,-,-
17,Short-Term Debt,20637,-,51069,-,23468,70518,-,-
18,Current Portion of Long-Term Debt,-,-,3076,-,-,-,-,-
19,Current Income Taxes Payable,178.62,-,149.84,-,1780,786.7,-,-
20,Current Unearned Revenue,1387,-,2353,-,-,-,-,-
21,Other Current Liabilities,1857,-,1843,-,28336,9991,-,-
22,Total Current Liabilities,37059,-,76475,-,119176,113224,-,-
23,Long-Term Debt,8192,-,10905,-,-,-,-,-
24,Long-Term Leases,787.71,-,-,-,-,-,-,-
25,Long-Term Unearned Revenue,1262,-,2514,-,164.11,254.65,-,-
26,Total Liabilities,47302,-,89894,-,119340,113478,-,-
27,Common Stock,54674,-,54674,-,54674,54674,-,-
28,Additional Paid-In Capital,3816,-,3816,-,3816,3816,-,-
29,Retained Earnings,11206,-,9674,-,4681,10658,-,-
30,Shareholders' Equity,69697,-,68165,-,63171,69148,-,-
31,Total Liabilities & Equity,116998,-,158059,-,182511,182627,-,-
32,Total Debt,29617,-,65050,-,23468,70518,-,-
33,Net Cash (Debt),-24195,-,-56296,-,-11849,-67404,-,-
34,Net Cash Per Share,-4422.96,-,-10302.54,-,-2169.63,-12332.07,-,-
35,Filing Date Shares Outstanding,5.47,5.47,5.46,5.46,5.46,5.47,5.47,5.47
36,Total Common Shares Outstanding,5.47,5.47,5.46,5.46,5.46,5.47,5.47,5.47
37,Working Capital,37792,-,29966,-,22698,37881,-,-
38,Book Value Per Share,12740.89,-,12474.63,-,11566.69,12651.16,-,-
39,Tangible Book Value,66212,-,64536,-,58996,64845,-,-
40,Tangible Book Value Per Share,12103.81,-,11810.49,-,10802.10,11863.79,-,-
41,Buildings,19725,-,-,-,-,-,-,-
42,Machinery,49662,-,-,-,-,-,-,-
43,Construction In Progress,46.3,-,-,-,14259,1518,-,-
